ABB (fíggjarætling)	activity-based budgeting; regla ífíggjarætling, at tann, sum hevur ábyrgdina av fíggjarætlanini, skal eisini hava myndugleika at stýra teimum avgerðum, sum ávirka hesa ætlan
ABC (kostnaðarstýring)	activity-based costing; skipan at stýra kostnaðinum neyvt frá orsøk til endaligu vøruna, og sum byggir á ta hugsan, at allur kostnaður hevur eina orsøk
ABC-skipan í goymslustýring	er grundað á, at virkið býtir vøruúrvalið í tríggjar flokkar A, B og C eftir, hvussu virðismiklar vørurnar eru; A-vørur hava størstu virðini, og C-vørurnar tey minstu
absoluttur fyrimunur	eitt land, ið kann gera eina vøru fyri lægri kostnað enn annað land, hevur absoluttan fyrimun í framleiðsluni av hesari vøru; síkomparativur fyrimunur
administratión	sífyrisiting
AEK	allur eindarkostnaður
afturgjalding	lán kunnu verða goldin aftur á ymiskan hátt, til dømis sumannuitetslán,seriulán,fast lánella sum ein samanseting av fleiri hættum
afturgjaldingartíð	tíðin, tað tekur at gjalda eitt lán aftur
afturlatið samfelag	samfelag, ið ikki hevur nakran samhandil við umheimin
afturskriving	verður brúkt í renturokning at rokna núvirði á einari gjalding n ár frammi í tíðini við frymlinum (1+r)-n, har r er árligroknirenta; síframskriving
AIDA-myndilin	leistur, ið verður nýttur at gera lýsingar: attention (lýsingin skal vekja ans), interest (lýsingin skal vekja áhuga), desire (lýsingin skal loypa brell á fólk), action (lýsingin skal fáa fólk at handla); síSOR-myndilin
A-innkoma	løn og aðrar beinleiðis innkomur, sum verða skattaðar um samtíðarskattaskipanina; sísamtíðarskatturogB-innkoma
akkordløn	síavriksløn
AKT	allur kostnaður tilsamans
alheimsgerð	hugtak, ið sipar til ta vaksandi búskaparligu samanrenningina av smærri búskapum til ein heimsumfatandi búskap; síaltjóðagerð
almannaveiting	veiting frá tí almenna til borgara undir ávísum treytum, har eingin mótveiting verður kravd samstundis; síinnkomuflyting
almenni geirin	tað almenna, sum er land, statur, kommunur, almennir grunnar, sjálvsognarstovnar og Kirkjan
almenn nýtsla	tað, sum tað almenna brúkar til lønir til almenn størv og keyp av vørum og tænastum
ALS	Arbeiðsloysisskipanin er stovnur, sum virkar eftir løgtingslóg, og sum hevurarbeiðsloysisstuðulogarbeiðsávísingum hendur
ALS-gjald	síarbeiðsloysisgjald
altjóðagerð	hugtak, ið sipar til tann vaksandi týdningin av handli, avtalum og øðrum sambondum millum lond; síalheimsgerð
altjóðakappingarføri	kappingarførihjá virkjum í einum samfelagi mótvegis útlendskum virkjum; ellakappingarførihjá einum landi mótvegis øðrum londum; síkappingarføri
analogihátturin	kvalitativur háttur at geraforsøgn; sølan av eini nýggjari vøru verður mett við at hyggja at sølugongdini fyri tilsvarandi vøru, sum verður seld á øðrum marknaði; eisini kann verða hugt at sølugongdini fyri aðra vøru, sum líkist, og sum verður seld á sama marknaði
analytiskaravgerðargongdir	avgerðir, har tað er greitt, hvørji málini eru við avgerðini, og hvørjir møguleikar eru at velja ímillum, soleiðis at avgerðin kann sigast at vera optimal, nøktandi ella røtt
anarkiskaravgerðargongdir	avgerðir, ið eru óskipaðar og ólogiskar, ella óskipaðar og óvæntaðar
anleggsnota	sístøðisognarnota
annaðlagsvinna	vinna, ið fyri tað mesta fæst við vøruframleiðslu, til dømis handverk, ídnaður og byggivirksemi; sífyrstalagsvinnaogtriðjalagsvinna
annuitetslán	lán, ið verður afturgoldið við líka stórum gjøldum hvørja termin
annuitetur	ein røð av líka stórum gjaldingum við líka stórum millumbili
arbeiðsávísing	tað at vísa fólki (serliga arbeiðsleysum) á arbeiði
arbeiðsbýti	sundurbýting av arbeiðsuppgávum ímillum deildir og persónar, til dømis eftir objekti ella eftir funktión; sífunktiónsbygnaðurogobjektbygnaður
arbeiðsfjøldin	jøldin av teimum, ið hava arbeiði, og teimum, ið eru arbeiðsleys
arbeiðsleysur	persónur, ið ikki hevur arbeiði, men er tøkur á arbeiðsmarknaðinum og søkir arbeiði
arbeiðsloysi	tað at veraarbeiðsleysur; arbeiðsloysi verður eisini nýtt um tann partin av arbeiðsfjøldini, ið erarbeiðsleysur; síarbeiðsvirkni
arbeiðsloysisgjald	gjald, sum arbeiðstakarar og arbeiðsgevarar gjalda av løn tilALS
arbeiðsloysisorsakir	tað eru ymisk sløg av arbeiðsloysi, alt eftir orsøk:skiftisarbeiðsloysi,árstíðararbeiðsloysi,bygnaðararbeiðsloysiogkonjunkturarbeiðsloysi
arbeiðsloysisstuðul	peningur, iðALSletur arbeiðsleysum, ið lúka treytirnar fyri hesum stuðli
arbeiðsmarknaðargjøld	gjøld, sum arbeiðstakarar og arbeiðsgevarar gjalda av løn, til dømisarbeiðsloysisgjaldogbarsilsgjald
arbeiðsmarknaðarpolitikkur	tiltøk, sum myndugleikar seta í verk, fyri at fáa arbeiðsmarknaðin at virka betur og fáa betri samsvar millum útboð og eftirspurning avarbeiðsmegiinnan ymisk fakøki
arbeiðsmegi	framleiðslufaktorur, ið er tað menniskjaliga íkastið í framleiðsluni, íroknað útbúgving, hugskot og nýhugsan; síframleiðslufaktorar
arbeiðspeningslutfall	lyklatal í fíggjarligari greining: (ogn í umferð)/(stuttfreistað skuld); arbeiðspeningslutfallið gevur eina ábending um gjaldførið hjá virkinum; sígjaldførislutfall
arbeiðspeningur	munurin ímillum ogn í umferð og stuttfreistaða skuld í einari fíggjarstøðu
