badwill	vánaligt umdømi; sísamtaksbadwill
balanced scorecard	leiðsluamboð, sum hevur tað endamál at føra hugskot, mál og strategi út í lívið
bandwagon effekt	sosial keypsorsøk: tað, at ein vøra verður keypt, tí hini keypa hana; sísnobb effekt,veblen effektogthrifty effekt
bankatrygd	váttan frá banka um, at skuldin hjá einum skuldara verður goldin; bankatrygdin ber í sær, at um skuldarin ikki sjálvur klárar at gjalda, so ger bankin tað
barsilsgjald	arbeiðsmarknaðargjald, ið verður goldið av A-innkomu í barsilsskipanina, ið TAKS hevur um hendur; síarbeiðsmarknaðargjøld
barsilsskipanin	lógarásett skipan um barsilsfarloyvi og barsilspening
BCG	Boston Consulting Group; síBoston-myndilin
beinleiðisbroytiligur kostnaður	kostnaður, sum erbeinleiðis kostnaðurfyri eina ávísa vøru, og sum eisini er broytiligur kostnaður
beinleiðis distributión	tað, at framleiðari ella innflytari selur vørur beinleiðis til endaliga brúkaran
beinleiðis kostnaður	kostnaður, sum er beinleiðis fyri eina ávísa vøru og ikki aðra vøru
beinleiðis reklama	reklama, ið vendir sær til navngivnar persónar fyri at geva teimum ta fatan, at hetta er persónligt, hóast reklama er ópersónlig
beinleiðis skattur	skattur, sum persónar og virki gjalda beinleiðis til myndugleikarnar; síóbeinleiðis skattur
beinleiðis útflutningur	tað, at virki selur vørur beinleiðis til útlendskan marknað; síóbeinleiðis útflutningur
BEK	broytiligur eindarkostnaður
benchmarking	tað, at virki samanber egin avrik við avrik hjá teimum bestu virkjunum í sama yrki; orðið stavar frá landmáting
BFI	síbruttofaktorinnkoma
B-innkoma	innkoma, ið ikki verður samtíðarskattað, til dømis yvirskot av egnum virki; síA-innkoma
bíleggingarkostnaður	kostnaðurin fyri at bíleggja
bíleggingarpunkt	tann nøgd, sum goymslan skal koma niður á, áðrenn bílagt verður av nýggjum
bílegging sum inntøkutreyt	bíleggingar, sum virki fær, hava búskaparligan týdning fyri virkið, og tí er tað ein spurningur, um bílegging kundi verið brúkt suminntøkutreyt; í roknskaparpraksis er tað vanliga at rokna inntøkuna, tá ið vøran er veitt kundanum, ella, um umstøðurnar tala fyri tí, tá ið vøran er framleidd
BKT	broytiligur kostnaður tilsamans
bonusløn	ein samanseting avtíðarlønogavriksløn
born global	hugtak, ið sipar til fyritøkur, sum longu frá byrjan hava ein munandi part av søluni uttanlands og til fleiri ymisk lond; ofta er talan um smáar fyritøkur, ið eru stovnaðar við tí fyri eyga at gera seg galdandi á heimsmarknaðinum
Boston-myndilin	strategiskur myndil, sum Boston Consulting Group hevur gjørt, og sum verður brúktur at meta um strategisku støðuna hjá virkinum út frá marknaðarvøkstri og marknaðarparti; síPLC
bókað virði	tað virði, sum einstøðisognstendur at hava í bókhaldinum
bókhald	ein skrásetingarskipan fyri allar búskaparligar hendingar fyri at fylgja við og fyri at kunna gera roknskap
bókhaldskunngerðin	landsstýriskunngerð við heimild í bókhaldslógini
bókhaldslógin	løgtingslóg, sum ásetir, hvør hevur bókhaldsskyldu
bókhaldsskjal	skjalprógv, sum skal vera fyri hvørja bóking í bókhaldinum
bóking	skráseting í bókhaldi
bólkafyriskipan	bygnaður í fyriskipan, har roynt verður at gagnnýta bæði vatnrætta og loddrætta samskipan í tvørfakligum bólkum
brand	navn, merki, tekin, hugtak, ímynd, snið ella ein samanseting av hesum fyri at skilja vørurnar hjá einum útbjóðara frá vørununum hjá øðrum útbjóðarum; símerkivøraogbranding
branding	tað at marknaðarføra eitt brand, soleiðis at tað verður kent aftur av fleiri og fleiri sum nakað serligt og betri enn tað, ið kappingarneytar bjóða; branding merkir upprunaliga at brennimarka, og tað kemur av, at fyrr vóru neyt markað á henda hátt í Amerika; sídifferentiering
bráðkeyp	tað, at keypt verður sum eitt brádligt innskot; sívanakeyp
bráðvøra	vøra, ið verður keypt sum eitt brádligt innskot
breitt úrval	sífjølbroytt úrval
Brexit	Brexit er samanseting av orðunum Britain og exit ella British exit, og sipar til alla tilgongdina, sum førdi til, at Bretland (UK) fór burtur úrEUí 2020
BRIC-londini	felags heiti fyri Brasil, Russland, India og Kina; heitið er uppfunnið, tí hesi lond hava vaksandi týdning í heimsbúskapinum; næstan helvtin av heimsins íbúgvum býr í BRIC-londunum; um londini skuldu verið nevnd eftir týdningi, skuldi heitið verið CIRB-londini, men tað liggur ikki so væl á tunguni
broytiligur eindarkostnaður	broytiligur kostnaður í miðal fyri hvørja eind av vøru ella tænastu
broytiligur kostnaður	kostnaður, ið broytist sum avleiðing av, at framleiðslan/sølan broytist
bruttoavkast	bruttovinningur sum prosent av søluinntøku; bruttovinningur pr. eind sum prosent av søluprísi
bruttofaktorinnkoma	stytt BFI;innkomatilsamans til allar framleiðslufaktorarnar í einum landi í einum ári, uppgjørd í faktorprísum; BFI kann verða roknað sum: løn, avskriving, rentur og avlop
bruttoíløgur	íløgur tilsamans í einum landi í einum ári; bruttoíløgur verða roknaðar við at leggjanettoíløgurogenduríløgursaman
bruttotjóðarframleiðsla	síbruttotjóðarúrtøka
bruttotjóðarinnkoma	stytt BTI;bruttotjóðarúrtøka+ nettoinnkoma úr útlondum
bruttotjóðarúrtøka	stytt BTÚ; virðið tilsamans av vørum og tænastuveitingum í einum landi í einum ári, uppgjørt í marknaðarprísum; BTÚ kann verða roknað sum BFI + avgjøld - studning
bruttotørvur	tann nøgd av vørum og tilfari, ið skal brúkast til eina bílegging; sínettotørvurogMRP
bruttovinningsætlan	partur av rakstrarætlan, sum fevnir um søluinntøku, framleiðslu og framleiðslukostnað fyri selda vøru
bruttovinningur	vinningur eftir at vørunýtsla (framleiðsluvirði á seldari vøru) er drigin frá søluinntøkuni
bruttovirði	regla í roknskaparpraksis, at mótroknast skal ikki millum ognarpostar og skuldarpostar og heldur ikki millum inntøku- og kostnaðarpostar; bruttovirði er í tráð við regluna um týdning; sítýdningur
bruttovirðisøking	stytt BVØ; virði á allari vinnuligari framleiðslu av vørum og tænastum í einum landi í einum ári, uppgjørt í støðisprísum; BVØ kann verða roknað við at draga virði á ráevnum og hjálpitilfari frá framleiðsluvirðinum í støðisprísum
brúkarakeyp	handil, har keyparin er endaligur brúkari
brúkaramarknaður	marknaður, har endaligi brúkarin keypir vørur og tænastur; sívirkismarknaður
brúkaraprístalið	vísital, sum Hagstova Føroya roknar hvønn ársfjórðing sambært løgtingslóg um prístal, og sum vísir, hvussu brúkaraprísirnir í Føroyum eru broyttir síðani støðisárið
brúkaraumboðið	stovnur undir Vinnumálaráðnum, ið hevur eftirlit við marknaðarføringslógini og virkar fyri góðum marknaðarføringssiði
brúksvanar	atferð hjá brúkarum at nøkta tørv av ymiskum slagi; viðhvørt er henda atferð so vanabundin, at hon er ikki løtt at broyta
B-skattur	skattur, ið verður goldin av B-innkomu; síB-innkoma
BTI	síbruttotjóðarinnkoma
BTÚ	síbruttotjóðarúrtøka
burðardygd	tað, at ein verkætlan ber seg búskaparliga
bureaukrati	fyriskipanarháttur, har dentur verður lagdur á at nýta skrivaðar reglur, tá ið avgerðir skulu takast
bureaukratiski skúlin	skúli í klassiskari fyriskipan við hesum meginreglum: (1) eitt virki verður býtt sundur í høvuðs- og undirdeildir við greiðari áseting av myndugleika og ábyrgd, (2) fólk verða sett í starv eftir førleika og ongum øðrum, (3) arbeitt verður eftir føstum reglum, soleiðis at mál av sama slagi verða loyst á sama hátt; sífyrisitingarligi skúlinogvísindalig virkisleiðsla
burturtreinging	sálarlig verjumekanisma ímóti frustratión og vónbrotum
business-to-business	marknaður, har bæði útbjóðarar og eftirspyrjarar eru virki ella stovnar; sí virkismarknaður,ídnaðarmarknaður,millumhandlaramarknaðurogstovnsmarknaður
business-to-consumer	marknaður, har keyparin er endaligur brúkari; síbrúkaramarknaður
buy-grid myndilin	myndil, ið verður nýttur í sambandi við keypsavgerðir; myndilin hevur trý sløg av keypum:nýkeyp,tillagað endurkeypogvanakeyp, og hann hevur 8 stig í keypsavgerðini; myndilin vísir, at er talan umnýkeyp, eru øll stigini í keypstilgongdini viðkomandi, men er talan um vanakeyp, verða tey flestu stigini í keypstilgongdini lopin um
búskaparkreppa	síkreppa
búskaparlig eind	tann eind, sum roknskapur kann gerast um, til dømis eittvirkiella eittsamtak(konsern);samtaksroknskapurer um alla búskaparligu eindina, hóast eittsamtaker sett saman av fleiri løgfrøðiligum eindum
búskaprarlig livitíð	síbúskaparlig lívstíð
búskaparlig lívstíð	tann tíð, sumíløgagevur eitt íkast, ella so leingi tað ikki loysir seg at skifta útbúnaðin út; síteknisk lívstíð
búskaparlig ringrás	myndil, ið vísir streymin av vørum og tænastum millum ymsu geirarnar í samfelagnum; eisini vísir hann pengastreymin millum geirarnar, sum eru húsarhaldini, tað almenna, pengastovnarnir og útheimurin
búskaparlig sjónarmið	sjónarmið í roknskapi: tað mikrobúskaparliga sjónarmiðið vil hava fram, hvørja ávirkan fíggjarligar frásagnir hava á búskaparligar metingar og virksemi í vinnuni; tað makrobúskaparliga sjónarmiðið vil hava fram, at allar vinnur eru partar av eini størri heild; tað samfelagsliga sjónarmiðið vil hava fram, hvussu nógv virkið gevur samfelagnum, og hvussu nógv tað tekur frá samfelagnum
búskaparligur geiri	í einum búskaparrensli verður samfelagið býtt sundur í búskaparligar høvuðsgeirar, sum eru húsarhaldini, tað almenna, pengastovnarnir, virkini og útheimurin; síbúskaparlig ringrás
