dagligar bókingar	skrásetingar í bókhaldi av hendingum, sum henda dag og dagliga; síeftirbókingar
dagligvøra	sígerandisvøra
dagsvirði	tað virði, sum ein vøra ella onnur ogn kann handlast fyri ávísan dag; í sambandi við goymsluvøru verður skilt millumendurútveganarvirðiognettorealiseringsvirði
DDP	delivered duty paid;Incotermsveitingartreyt, sum sigur, at vøran er latin keypara, tá ið hon er komin fram, og har seljarin rindar fyri flutningin
DDU	delivered duty unpaid;Incotermsveitingartreyt, sum sigur, at vøran er latin keypara, tá ið hon er komin fram, og har keyparin rindar fyri flutningin
debitorar	sískuldarar
deflatión	prísminkingar í samfelagnum; síinflatión
degressivur skattastigi	tað, atinnkomaverður skattað minni pr. vunna krónu, hægri innkoman er
delfihátturin	kvalitativur háttur at gera forsøgn í stórum fyritøkum; eitt pallborð av serfrøðingum, ið ikki hava annað tilknýti til virkið, verður sett at meta um søluna av einari nýggjari vøru; við sokallaða delfiteknikkinum verður roynt at fáa sjónarmiðini hjá serfrøðingunum at nærkast, soleiðis at teir at enda koma við einari felags meting um, hvussu sølan fer at vera
demografi	sífólkatalsfrøði
demokrati	fyriskipanarháttur, har øll í virkinum hava ávirkan
demokratisk leiðsla	leiðsluháttur, har leiðarin letur onnur í virkinum fáa ávirkan á avgerðirnar, ið skulu takast; síautokratisk leiðsla
desk research	tað at leita eftir upplýsingum við skriviborðið; sífield research
devaluering	tað, at virðið á einum gjaldoyra verður niðurskrivað, soleiðis at kursir á fremmandum gjaldoyrum verða uppskrivaðir; sírevaluering
differentiering	í marknaðarførslu: at skilja vørurnar hjá virkinum frá vørunum hjá kappingarneytunum; hetta kann vera onkur eginleiki, vøran hevur, tænasta, starvsfólk ellaímynd; síbrandogbranding
direct marketing	marknaðarførsluháttur, har beinleiðis samband er millum virki og kunda, til dømis um telefon, teldupost, post ella á fundi
distributión	eitt av teimum 4 p’unum (place); tað at fáa vøruna frá framleiðara og til møguligar kundar; síávirkingarparameturogfýra p'ini
distributiónsketa	liðini, ein vøra skal ígjøgnum frá framleiðara til endaligar brúkarar; sídistributiónsleið
distributiónsleið	leiðin frá framleiðara til endaligan brúkara; henda leið kann hava fleiri sølulið; sídistributiónsketa
distributiónsstrategi	strategi fyridistributiónsstýring, har avgerð til dømis verður tikin um, hvussu virkið skal selja og distribuera vørur
distributiónsstýring	tann parturin av búskaparstýringini, sum hevur við sølu ogdistributiónat gera; síkapasitetsstýringogvirksemisstýring
diversifikatión	vakstrarstrategi, har virkið roynir at økja um søluna á nýggjum marknaði av nýggjum vørum ella tænastum
djúpt úrval	tað, at úrvalið av frábrigdum í einum vøruflokki er stórt; sígrunt úrval
Dow Jones	amerikanskt partabrævaindeks
downsizing	tað, at virki við vilja selur deildir burturav ella letur tær aftur, tí tær ikki eru lønandi ella nóg lønandi; downsizing verður eisini nýtt í sambandi við hópuppsagnir av starvsfólki í sambandi við afturgongd í virksemi
dótturfelag	ein fyritøka, har eigarin er ein onnur fyritøka, sokallaðmóðurfelag; sísamtak
DPS	dividend per share; sívinningsbýti pr. partabræv
drúgv nýtsluvøra	nýtsluvøra, ið verður brúkt fleiri ferðir, og sum líðandi verður slitin upp
dumping	tað at selja vøru fyri prís, sum er lægri enn kostnaðurin at gera vøruna
duopol	marknaður við tveimum stórum útbjóðarum
duopson	marknaður við tveimum stórum keyparum
du Pont pyramidan	samanhang millum rentingarlyklatøl í fíggjarligari greining; ovast á pyramiduni erognaravkastið, sum errakstraravkastfaldað viðognarumferð
dupulta bókhaldsreglan	regla í dupulta bókhaldsháttinum um, at allar skrásetingar skulu vera dupultar, tí at tá ið ein ogn veksur, so minkar ein onnur ogn, ella veksur ein skuld, ella veksur eginpeningurin; hetta er treyt fyri, at saldojavnin javnvigar; sídupulti bókhaldshátturin
dupulti bókhaldshátturin	ein støddfrøðilig algoritma, sum byggir á grundlíkningina: ogn = eginpening + skuld; hvørja ferð ein postur í líkningini verður broyttur, verður ein annar postur eisini broyttur, soleiðis at líkningin altíð passar; sídupulta bókhaldsreglan
dygd	kvalitetur;góðskaverður ofta sagt um vøruna, og dygd verður ofta sagt um arbeiðið
dygdarkrøv til roknskap	hesi krøv kunnu verða býtt í trý: roknskapurin skal vera viðkomandi; hann skal vera álítandi; og hann skal vera sambærligur
dygdarringur	bólkur av starvsfólkum, ið hava líknandi arbeiðsskyldur, og sum møtast javnan at tosa um arbeiði og vísa á vandamál, koma við hugskotum um ábøtur, vísa á loysnir ella seta loysnir í verk
dynamisk lyklatøl	lyklatøl í fíggjarligari greining, har antin teljari ella nevnari ella bæði teljari og nevnari eru tøl úr rakstrarroknskapinum (innkomuroknskapinum); sístatisk lyklatøl
