EBIT	earnings before interest and taxes; úrslit áðrenn rentur og skattur eru drigin frá;úrslit av primerum rakstri
EBITDA	earnings before interest, taxes, depreciation and amortization; úrslit áðrenn rentur, skattur, avskriving og niðurskriving eru drigin frá;rakstraríkast
e-business	handilsvirksemi á internetinum, ikki bara keyp og søla, men eisini tænasta og samstarv
EEC	European Economic Community; síEU
effektivitetur	evni virkisins at laga seg eftir umstøðunum og gagnnýta framleiðslufaktorarnar á besta hátt
effektiv renta	veruligur kostnaður hjá lántakara fyri eitt lán ella aðra skuld, tá ið lagt er upp fyri kursvirðið á láninum og fyri terminslongdina
EFQM	European Foundation for Quality Management, ið hevur sum endamál at økja um kunnleikan tilTQM; síheildargóðskustýring
EFTA	European Free Trade Area; felagsskapur, har Ísland, Liechtenstein, Noreg og Schweiz eru limir; tað er eingintollurí handli millum hesi lond; síNAFTA
eftiransandi góðskustýringarkostnaður	sígóðskukostnaðuroggóðskustýringarkostnaður
eftirbókingar	bóking, sum ikki eru daglig, men sum verður gjørd við endan á einum ársfjórðingi ella ári, til dømis avskrivingar og tíðarbýtispostar av øðrum slagi
eftirbýti av kostnaði	kostnaðarbýti, sum hevur til endamáls at kanna avleiðingar av avgerðum, sum eru settar í verk; síforbýti av kostnaði
eftirgerðarorsøk	síkeypsorsøkogbandwagon effekt
eftirkalkulatión	síeftirbýti av kostnaði
eftirlitssporið	krav um, at skrásetingarnar í bókhaldi og tilhoyrandi skjalatilfar innihalda upplýsingar, ið krevjast sum skjalprógv fyri, at skrásetingarnar eru rættar; sítransaktiónssporið
eftirspurd nøgd	tann nøgd av vøru, sum keyparar á einum marknaði eru hugaðir at keypa í ávísum tíðarskeiði fyri ávísan prís; síeftirspurningur
eftirspurningsinflatión	prísvøkstur, sum kemur av vaksandi eftirspurningi í samfelagnum; um innkoman í samfelagnum veksur, veksur eftirspurningurin eftir vørum, og tað ger, at marknaðarprísurin fyri hesar vørur fer upp, tí at framleiðarar sleppa av við vørurnar kortini
eftirspurningur	sambandið millum nøgdina av vøru ella tænastu, sum brúkararnir eru sinnaðir at keypa, og prísin, sum verður kravdur fyri vøruna ella tænastuna; síeftirspurdnøgd
eginfígging	broyting í eginpeningi + avskriving; ella:sjálvfígging+ inngoldið til eginpeningin –eginnýtsla
eginkapitalur	munurin millumogn tilsamansogskyldurí fíggjarstøðuni
eginnýtsla	virði, sum eigari í virki tekur úr virkinum til egna nýtslu
eginogn	síeginkapitalur
eginpeningsavkast	síeginpeningsavkast fyri skattogeginpeningsavkast eftir skatt
eginpeningsavkasteftir skatt	úrslit eftir skattsum prosent av miðal eginpeningi
eginpeningsavkast fyri skatt	úrslit fyri skattsum prosent av miðal eginpeningi
eginpeningsnota	kravd nota í roknskapinum; eginpeninginsnotan sigur, hvussu eginpeningurin er samansettur, og hvussu hann er broyttur í árinum
eginpeningspartur	eginpeningur sum prosent avogn tilsamans; sísoliditeturogsolvensur
eginpeningspartur av langfreistaðari fígging	eginpeningur sum prosent av langfreistaðari fígging; sísoliditeturog solvensur
eginpeningur	síeginkapitalur
eginprísur	allur eindarkostnaðurfyri eina vøru
