fakturering sum inntøkutreyt	veiting sum inntøkutreyt
fakturi	bókhaldsskjal, sum er rokning frá seljara til keypara við upplýsingum um mongdir av veittum vørum ella tænastum, veitingardag, prísir, upphæddir, meirvirðisgjald, upphædd at gjalda, veitingartreyt og gjaldstreyt
FASB	Financial Accounting Standards Board, ið gevur roknskaparvegleiðingar út undir heitinumGAAP(Generally Acceepted Accounting Standards)
fastir prísir	virði frá fleiri árum, sum eru reinsað fyri prísvøkstur, soleiðis at tølini einans vísa mongdarbroytingar
fastogn	føst ogn
fastur eindarkostnaður	fastur kostnaðurpr. eind av framleiddari vøru, styttur FEK; fasti eindarkostnaðurin verður roknaður sum (fastur kostnaður tilsamans)/(framleidd mongd); hann veksur, tá ið framleidda mongdin minkar, og minkar, tá ið framleidda mongdin veksur; sífastur kostnaður í lopum
fastur kostnaður	rakstrarkostnaður, sum ikki verður ávirkaður av, hvussu nógv verður framleitt/selt av vøruni; sífastur kostnaður tilsamans,fastur kostnaður í lopumogfastur eindarkostnaður
fastur kostnaður í lopum	fastur kostnaðurkann ikki vera óbroyttur út um alt mark; skal framleiðslan upp um tað, sum virkið kann framleiða við verandi fasta kostnaði, er lop í fasta kostnaðinum, soleiðis at hann fer upp
fastur kostnaður tilsamans	fasti kostnaðurin hjá fyritøku tilsamans í einum tíðarskeiði, til dømis einum ári, styttur FKT; sífastur kostnaður,fastur kostnaður í lopumogfastur eindarkostnaður
fábroytt úrval	lítið úrval av vørusløgum; sífjølbroytt úrval
feilkostnaður	góðskukostnaðurverður býttur sundur ígóðskustýringarkostnaðog feilkostnað, sum aftur verður býttur sundur íinnanhýsis feilkostnaðoguttanhýsis feilkostnað
FEK	fastur eindarkostnaður
felagskostnaður	allur kostnaður tilsamansminus serkostnaðin fyri allar vørurnar; síserkostnaður
field research	tað at gera kanningar fyri at útvega sær upplýsingar, tí at virki hevur tørv á upplýsingum, sum ikki eru tøkar; sídesk research
FIFO	first in first out; goymslumetingarháttur við kostprísum sum grundarlagi, har hildið verður, at vørurnar verða seldar ella nýttar í tí røð, tær eru útvegaðar ella framleiddar; eftir FIFO er goymsluvirði eftir teimum nýggjastu kostprísunum; hinvegin kann framleiðslukostnaðurin vera misvísandi, um framleiðsluprísirnir hava verið sveiggjandi í árinum; sí LIFO,miðalvirði,rullandi miðalvirðiogstakvørumeting
fimm styrkir	myndil at greina kappingarumhvørvið hjá virkinum; tær 5 styrkirnar eru: (1) hóttanin at nýggir útbjóðarar koma inn í vinnuna, (2) kappingin frá vørum ella tænastum, ið líkjast, (3) styrkin hjá keyparum, (4) styrkin hjá veitarum, (5) beinleiðis kappingarstøðan móti næstu kappingarneytum
fiskiárið	tíðarskeiðið frá 1. september til 31. august verður í føroyskum lógarverki nýtt í sambandi við fiskidagar; sífiskidagaskipan
fiskidagaskipan	skipan, ið tillutar fiskiførum avmarkað tal av fiskidøgum í einumfiskiárifyri at avmarka veiðutrýstið og fyri at veiða effektivt
fiskiloyvi	loyvi, sum fiskifør fáa frá Fiskimálaráðnum at fiska undir Føroyum ella í fremmandum sjóøki hjá londum, sum Føroyar havafiskiveiðuavtaluvið
fiskiveiðuavtalur	avtalur, sum Føroyar gera við aðrar fiskivinnutjóðir um, hvussu nógv vit kunnu veiða av ávísum fiskasløgum í teirra sjógvi, og hvussu nógv tær kunnu veiða í føroyskum sjógvi
fiskivinnupolitikkur	tiltøk, ið myndugleikar seta í verk fyri at verja fiskastovnar og fyri at gagnnýta tilfeingi í havinum sum best, til dømis at tillutafiskiloyvi, at áseta talið á fiskidøgum, at steingja ávísar leiðir partar av árinum, at gerafiskiveiðuavtalurvið onnur lond, at skipa fyri fiskiveiðueftirliti og at stuðla gransking
fígging	útvegan av peningi at fíggja pengabindingar í virkinum; fígging kann vera viðeginpeningi ellafremmandapeningi, sum kann veralangfreistaðellastuttfreistaðfígging
fíggingarkostnaður	kostnaður fyri fígging: renta, provisión, kursmissur og tílíkt
fíggingarsamanseting	samanseting av fíggingini, har skilt verður millum fígging við eginpeningi og fígging við fremmandum peningi; fíggingarsamansetingin hevur týdning fyri fíggjarligu gearingina, fígg - ingarkostnaðin og soliditetin; fíggingin kann eisini vera býtt sundur í langfreistaða fígging og stuttfreistaða fígging, um mett verður um gjaldførið hjá virkinum
