GAAP	generally accepted accounting principles; roknskaparvegleiðingar útgivnar avFASB(Financial Accounting Standards Board)
Gantt-talva	talva, ið vísir, nær einstøku partarnir í eini verkætlan skulu byrja og enda
GATT	General Agreements on Tarifs and Trade; felagsskapur stovnaður í 1947 við tí endamáli at arbeiða fyri fríum handli millum lond; síðani 1995WTO
GDP	gross domestic product; síbruttotjóðarúrtøka
gearing	sígearingslutfallum fíggjarliga gearing; rakstrarlig gearing er lutfallið av føstum og broytiligum kostnaði, og tað sigur nakað um kostnaðarliga váðan í fyritøkuni
gearingslutfall	lyklatal í fíggjarligari greining; lutfallið av skyldum og eginpeningi: skyldur/eginpeningur; talið sigur nakað um fíggjarligu gearingina og fíggjarliga váðan í fyritøkuni
gerandisvøra	vøra, ið verður keypt regluliga fyri lítlan prís, soleiðis at lítið verður gjørt burturúr at hugsa seg um
gini-tal	tal, ið lýsir ójavna í samfelagnum, og verður roknað sum økið millum Lorenz-kurvu og 45-stig linjuna býtt við øllum økinum undir 45-stig linjuni; gini-talið er millum 0 og 1 (0 og 100%); størri talið er, størri er ójavnin í samfelagnum; sílívsinnkomaogmesta útjavningarstig
giro	pengaflyting frá einari kontu til aðra
gjaldføri	evnini hjá virkinum at gjalda skuld, so hvørt hon fellur til gjaldingar
gjaldførislutfall	lyklatal í fíggjarligari greining: (ogn í umferð – goymslur)/ stuttfreistað skuld; talið gevur eina ábending um gjaldførið hjá virkinum; síarbeiðspeningslutfall
gjaldførisætlan	sípengastreymsætlan
gjaldingarendamál	eitt av endamálunum við at hava tøkan pening: at gjalda løn, keyp av vørum og tænastum, avgjøld og annað; eru gjaldingarnar ójavnar, skal virkið hava nógvan tøkan pening til stórar gjaldingar, og tí verður tøki peningurin til gjaldingarendamál eisini ójavnur; sívarsemisendamálogspekulatiónsendamál
gjaldingsum inntøkutreyt	í roknskapi kann gjalding verða roknað sum treyt fyri einari inntøku; í praksis er hetta sjáldsamt, tí tað verður hildið at vera í so varið
