hagfrøði	vísindaligt háttalag, ið útvegar, viðger, greinar og tulkar tøl um samfelagslig, búskaparlig og onnur viðurskifti
Hagstova Føroya	stovnur undir Fíggjarmálaráðnum; almenni hagtalsmyndugleikin í Føroyum
haldfelag	móðurfelag, ið hevur sum endamál at eiga í øðrum feløgum og stýra teimum; sísamtakogdótturfelag
hall	undirskot;úrslitið hjá einum virki, tá ið kostnaðurin er størri enn inntøkan íinnkomuroknskapinum
handilsforðingar	tiltøk, sum gera tað truplari at handla ímillum lond, til dømistollur, innflutningsavmarking og innflutningsbann; síteknisk handilsforðingogprotektionisma
handilsjavni	munurin millum virðið á útfluttum vørum og virðið á innfluttum vørum í einum tíðarskeiði; er útflutta virðið størri enn innflutta virðið, er avlop á handilsjavnanum; og er innflutta virðið størri, er hall á handilsjavnanum
handilsketa	samstarv millum smásølur í somuvinnugrein
handilskeyp	keyp, har bæði seljari og keypari eru fyritøkur; síbrúkarakeyp
handilspolitikkur	tiltøk hjá landsmyndugleikum at ávirka innflutning og/ella útflutning, til dømis at stuðla útflutningsvinnum, at leggja toll á innflutningsvørur ella at gera aðrar innflutningsforðingar
handilsvirki	virki, ið selur vørur, sum tað útvegar frá øðrum veitarum; síframleiðsluvirkiogtænastuvirki
handilsvøra	vøra, sum eitt virki ikki ger sjálvt, men sum tað keypir og selur aftur
harmonilógin	sísamlagslógin
hákonjunkturur	tað, at virksemið í samfelagnum er stórt, arbeiði er til næstan øll, framleiðslan veksur, og framleiðslutólini verða nógv brúkt, tí ateftirspurningurin sum heild er stórur; hákonjunkturur hevur oftainflatiónvið sær; sílágkonjunktururogkonjunktursveiggj
HDI	human development index; hugtak, ið er ein roynd at lýsa vælstandin í einum samfelagi sum BTÚ pr. íbúgva, heilsa sum miðal lívstíð og útbúgving sum analfabetisma og miðal skúlagongd
heildargóðskustýring	TQM (total quality management); leiðslustílur, ið hevur sum mál at framleiða og veita dygdargóða tænastu, soleiðis sum kundin fatar hetta
heildarætlan	fíggjarætlanin hjá virkinum, sum fevnir um rakstarætlan, pengastreymsætlan og fíggjarstøðuætlan
heilsøla	handil, ið selur vørur í stórum
Heimsbankasamtakið	samtak av stovnum, ið hava sum endamál at veita lán til mennandi verkætlanir, serliga ímenningarlondum
heterogenur marknaður	marknaður, har einstaki keyparin velur ein útbjóðara fram um aðrar, ella har hann velur vørurnar hjá einstøkum útbjóðara fram um aðrar; ein marknaður kann vera meira og minni heterogenur; síhomogenur marknaður
hjálpitilfar	tilfar, sum verður brúkt í framleiðslu av vøru, men sum ikki er partur av vøruni; sírávøra
Hofstede myndilin	myndil at viðgera munir millum mentanir; myndilin hevur fýra øki at meta um mentanarligar munir: maktmunur, sum kann vera stórur ella lítil; individualisma mótvegis kollektivismu; mótvilji móti óvissu, ið kann vera stórur ella lítil; og maskulinitetur mótvegis feminismu
holding company	síhaldfelag
homo economicus	tann rationelli persónurin, sum búskaparfrøðingar ofta hava í huga, tá ið teir arbeiða við búskaparligum ástøði og myndlum
homogenur marknaður	marknaður, har einstaki keyparin ikki velur ein útbjóðara fram um aðrar útbjóðarar; síheterogenur marknaður
horisontal integratión	tað, at virki økir um virksemi á verandi marknaði við at stovna nýggja fyritøku í somu vinnu ella við at leggja saman við kappingarneytar ella at yvirtaka teir; sívertikal integratión
hópframleiðsla	framleiðsla, harstandardvøraer gjørd soleiðis, at hon er skild sundur í einstakar eindir
hugsjónarligt grundarlag	grundarlag fyri tilveruni hjá virkinum; tann tørvur, sum virkið skal nøkta hjá kundunum; sívirkishugskot
hugskot	sívirkishugskot
humanistiski skúlin	human relations; fyriskipanarligt ástøði um, at eitt virki skal hava atlit at sálarfrøðiligum tørvi hjá starvsfólkunum
húsarhald	persónar, ið búgva saman og taka felags avgerðir um nýtslu og sparing; eitt húsarhald kann eisini vera ein persónur, ið býr einsamallur; síhúsarhaldini
húsarhaldini	høvuðsgeiri í búskaparligu ringrásini; øllhúsarhaldí samfelagnum
hypotesa	hugsan ella útsøgn, sum ikki er prógvað, men sum er orðað og nýtt at lýsa samanhang ella at vera grundarlag undir einari fyribils áskoðan
høvuðsmerki	merki, ið eitt virki nýtir til allar vørur, ið tað selur; sí merkivøra,vørumerkiogundirmerki
høvuðsvirksemi	tilgongdir í virðisketuni, ið hava sum endamál at gera og veita kundanum vøru ella tænastu: inngangandi logistikkur, framleiðsla, útgangandi logistikkur, marknaðarførsla og tænasta; sístuðulsvirksemiogvirðisketa
høvuðsætlan	høvuðsætlan, sum fevnir umrakstrarætlan,pengastreymsætlanogfíggjarstøðuætlan
