IAS	international accounting standards; roknskaparvegleiðingar, sumIASBhevur givið út
IASB	International Accounting Standards Board, ið gevur roknskaparvegleiðingar út undir heitinumIFRS(international financial reporting standards), og sum fyrr gav útIAS(international accounting standards)
ICES	International Counsil for the Exploration of the Sea; felagsskapur, ið hevur sum endamál at geva vísindalig ráð um virksemi, sum ávirkar vistfrøðiskipanina ella kann verða ávirkað av vistføðiskipanini í havinum
IFRS	international financial reporting standards; roknskaparvegleiðingar, sumIASB(International Accounting Standards Board) gevur út
image	síímynd
IMF	International Monetary Fund; felagsskapur, sum hevði sum mál, tá ið hann var stovnaður í 1944, at virka fyri støðugum gjaldoyrakursum; høvuðsuppgávan hjá felagsskapinum er nú at veita lán til lond, sum hava vánaligt gjaldføri
immateriell støðisogn	støðisogn, sum ikki er materiell ella fíggjarlig, til dømis útreiðslur, ið virkið hevur havt til menningarætlanir,patent, keypt rættindi oggoodwill
impulskeyp	síbráðkeyp
impulsvøra	síbráðvøra
Incoterms	international commerce terms; millumlanda veitingar- og flutningstreytir, til dømis:CIF,DDP,DDU,EXW,FOB
indekstal	sívísital
inferiør vøra	vøra, ið verður minni eftirspurd, tá iðinnkoman í samfelagnum veksur; orsøkin er, at brúkarin velur aðrar vørur ístaðin, sum hann ikki hevði ráð til, tá iðinnkoman var minni; síluksusvøraogneyðug vøra
inflatión	varandi og umfatandi prísvøkstur í samfelagnum, sídeflatión
informativ reklama	reklama, ið er upplýsandi og kunnandi um vøru og vørueginleikar; símanipulativ reklama
innanavkast	í sambandi við íløgur verður innanavkast brúkt at lýsa, hvussu nógv ein íløga kastar av sær um árið; er innanavkastið størri ennroknirentan, er íløgan vanliga lønandi
innaneffektivitetur	evni virkisins at gagnnýta framleiðslufaktorarnar; síuttaneffektivitetur
innanhýsis feilkostnaður	góðskukostnaður, ið kemur av feilum, ið verða funnir, áðrenn vøran er latin, og tað kann vera allur framleiðslukostnaðurin, um vøran er ónýtilig, ella kostnaður fyri at gera vøruna nýtiliga
innanhýsis logistikkur	síframleiðslustýring
innanvirði	virði á partabrævi, roknað sum (eginpeningur/partapeningur) faldað við navnvirðinum á partabrævinum; sínavnvirðiogmarknaðarvirði
innflutningsgjald	avgjald, sum verður lagt á ávísar vørur; síavgjaldsvirði
innflutningsinflatión	inflatión, ið kemur av, at prísirnir fyri innfluttar vørur er hækkaður
innflutningskvota	innflutningursum prosent avbruttotjóðarúrtøku; símarginal innflutningskvotaogmiðal innflutningskvota
innflutnings-mvg	meirvirðisgjaldfyri innflutta vøru; verður roknað sum prosent avkostnaðarvirðinum
innflutningur	keyp av vørum og tænastum úr øðrum londum
inngangandilogistikkur	síkeypsstýring
inngjalding	transaktión, ið økir um tøka peningin hjá virkinum
innkoma	úrslití innkomuroknskapinum; tað sama sumavlopogyvirskot; hjá persónum:A-innkomaogB-innkoma
innkomuárin av lønarhækking	tað, at tímalønin hækkar, kann gera, at løntakarar fara at arbeiða færri tímar; síumskiftisárin
innkomuárin av prísbroyting	árin av einari prísbroyting á eftirspurda mongd, sum stendst av, at brúkarin er betur ella verri fyri av prísbroytingini; síumskiftisárin
innkomuárin av skattahækking	ein skattahækking ger, at tøka innkoman minkar, soleiðis at fólk noyðast at arbeiða meira; síumskiftisárin
innkomubýti	býti av allari innkomuni í samfelagnum millum persónar ella millum familjur; ella býti av bruttofaktorinnkomuni millum løn, avskriving, rentur og avlop; sífunktionelt innkomubýti,persónligt innkomubýtiogLorenz-kurva
innkomuelastisitetur	síinnkomuviðkvæmi
