kalkulatión	síkostnaðarbýti
kapasitetsstýring	partur av fíggjarstýring, sum hevur við kapasitet at gera; avgerðir um útvegan og framleiðslu av vørum og tænastum; sívirksemisstýringogfíggingarstýring
kapitaljavni	ein uppgerð, ið vísir, hvussu nógv eitt land skyldar uttanlands, og hvussu nógv tað eigur uttanlands; munurin ernettouttanlandsskuldellanettouttanlandsogn, sum broytist av halli ella avlopi árakstrarpostunum á gjaldsjavnanum og av kursbroytingum á valuta og/ella virðisbrøvum
kapitalkostnaður	sífíggingarkostnaður
kapitalmarknaður	sívirðisbrævamarknaður
kapitalpartur	postur undirfíggjarligaristøðisogn; virðið á tí, sum eitt virki eigur ídótturfeløgum og øðrum fyritøkum
kapitalpostar í gjaldsjavnanum	tann partur avgjaldsjavnanum, sum vísir kapitalbroytingar, sum rakstrarpostarnir hava havt við sær; her sæst, hvussu eitt hall í rakstrarpostunum er fíggjað, ella hvussu eitt avlop er nýtt
kapitaltillaging	sífíggjarligur effektivitetur
kapitaltørvur	tørvur áfíggingtil øktapengabindingí einum virki
kapitalur	sírealkapitalur; kann eisini fevna um pengar og virðisbrøv; í roknskapi verður skilt millum kapitalútvegan, sum erueginkapitalurog fremmandakapitalur, og kapitalnýtslu, sum eru ognirnar, ið kapitalurin er settur í
kapitalvirði	tað virði, sum ein røð av gjaldingum hevur ein ávísan dag, har lagt er upp fyritíðarvirði av peningi, soleiðis at gjaldingarnar eru umroknaðar við ávísari roknirentu; sínúvirðiogroknirenta
kapping	tað, at fleiri persónar ella virki samstundis bjóða somu vøru ella tænastu til sølu á einum marknaði
kappingarføri	hvussu eitt virki er ført fyri at klára seg í kappingini við onnur virki; síaltjóða kappingarføri
kappingarlógin	lóg, ið hevur til endamáls at fremja kapping við mest møguligum gjøgnumskygni og við tiltøkum ímóti avmarking av vinnufrælsi
kappingarparametur	ávirkingarparametur, ið verður nýttur í kapping við aðrar útbjóðarar; síkappingarráð
kappingarráð	tiltøk, ið verða nýtt í kapping við aðrar útbjóðarar; sí ávirkingarparametur,søluráðogvøruráð
kappingarstrategi	eitt virki kann leggja seg eftir at gera vørurnar serligar (differentiering), at halda kostnaðinum niðri (kostnaðarminimering) ella at leggja eftir einum ávísum málbólki (fokusering)
kappingarumhvørvi	tann parturin av umhvørvinum hjá virkinum, sum tað kann hava ávirkan á, til dømis kundar, veitarar og kappingarneytar; sífimm styrkirogumhvørvi sum heild
kassafrágreiðing	daglig skráseting avtransaktiónum, ið eru gjaldingar; kassafrágreiðingin verður stemmað av við tøka peningin
kassakredittlán	lán, ið er skipað sum ein konta í banka við einum avtalaðum hámarki; fíggingarkostnaðurin er stovning, renta og provisión
kassakredittur	síkassakredittlán
kassalán	síkassakredittlán
kassalánshámark	markið fyri, hvussu nógv kann takast út avkassakredittláni
kassalánsskuld	skuldin, ið stendur ákassakredittláninum; saldan ákassakredittláninum
kassamunur	munur millum upptaldan pening í kassa og roknaðan pening í kassauppgerð
kassapeningur	upphædd, ið eitt virki hevur sum tøkan pening at gjalda við
kausalgreiningar	kvantitativ háttaløg at geraforsøgn; kausalgreiningar verða nýttar, tá ið vissa er um, at sølan av einari vøru er treytað av gongdini í einum øðrum faktori, sum hagtøl eru um, ella sum ein forsøgn er um; til dømis verður meiri olja seld, um tað er kalt í veðrinum, og sølan av barnavognum verður helst eftir, hvussu nógv børn verða fødd
kelduskattur	sísamtíðarskattur
keyparamarknaður	marknaður, har keyparin stendur sterkari enn seljarin; sífimmstyrkir ogseljaramarknaður
keypsatferð	atferð, ið kundi hevur í sambandi við keypsavgerðir; síbráðkeypogvanakeyp
keypsavgjald	meirvirðisgjaldav keyptum vørum og tænastum
keypslógin	lóg um avtalur um keyp av vørum og tænastum; lógin skilir millumhandilskeypogbrúkarakeyp, og hon hevur ásetingar, ið verja brúkaran
keypsmotiv	síkeypsorsøk
keypsorka	evni keyparans at keypa vørur og tænastur; keypsorkan tilsamans á einum marknaði kann vera ein partur av greiningini av umheiminum sum heild; sí innkomuviðkvæmi,reallønogPEST
keypsorsøk	tað, at keypari væntar at nøkta ávísan tørv við tí keypi, talan er um; sísosial keypsorsøkogskynsom keypsorsøk
keypsstrategi	strategi um, hvussu eitt virki skal keypa vørur og tænastur; skal hon vera grundað á kapping millum veitarar, samarbeiði við veitarar, ella skal tað vera ein samanseting av hesum báðum
keypsstýring	funktión í virki, ið skal samskipa keyp við ætlaða sølu og goymsluætlan; henda stýring miðar eftir, at vørur og tænastur verða keyptar frá røttum veitarum í røttum nøgdum og rættari góðsku fyri rættan prís, og at veitingin fer fram á røttum staði í rættari tíð
keypsvanar	vanar, sum hanga við, tá ið vørur og tænastur verða keyptar; síbrúksvanar
kinkur í eftirspurningi	serligt fyribrigdi íoligopoli, sum gevur eina ástøðiliga grundgeving fyri, at prísir á hesum marknaði ikki verða broyttir so lætt; roknað verður við, at um virki hækkar søluprísin, fara kappingarneytarnir ikki at gera tað sama, men um virki lækkar søluprísin, gera kappingarneytarnir tað sama
kjarnuførleiki	førleiki í einum virki, sum ger, at tað er okkurt, sum virkið dugir væl; hugtakið verður nýtt ílogistikki at taka støðu til, hvat virkið sjálvt skal gera, og hvat tað skal lata øðrum at gera
klassiskfyriskipan	felags heiti í fyriskipan fyri bureakratiska skúlan, vísindaliga virkisleiðslu og fyrisitingarliga skúlan
kommanditistfelag	sísamløgufelag
komparativur fyrimunur	eitt land hevur komparativan fyrimun í framleiðsluni av einari vøru , um tað kann gera hesa vøru fyri lægrioffurkostnaðenn eitt annað land (tað er: um tað skal ofra minni av øðrum vørum fyri at gera hesa); síabsoluttur fyrimunur
komplementerar vørur	vørur, ið saman nøkta ein tørv hjá keyparanum, tí tær verða brúktar saman; um tvær vørur eru komplementerar, og prísurin fyri aðra verður lækkaður, veksur eftirspurda mongdin eftir báðum vørunum; sísubstituerandi vørur
komplementerir parametrar	tveir ella fleiri ávirkingarparametrar, sum virka saman; um eitt virki til dømis hevur ment eina nýggja vøru og kunnar marknaðin um hana, eru vørumenning ogkunningarparametrar komplementerir parametrar; sísubstituerandi parametrar
konglomerat	eittsamtak, har móðurfelagið stovnar dótturfeløg í øðrum vinnugreinum enn tí, sum móðurfelagið virkar í; endamálið kann vera at minka um váðan
konjunkturarbeiðsloysi	arbeiðsloysi, ið kemur av, at lítið virksemi er í samfelagnum
konjunkturpolitikkur	felags heiti fyri politisk tiltøk, ið hava sum endamál at minka umkonjunktursveiggini;fíggjarpolitikkurellapengapolitikkureru dømi um konjunkturpolitikk
