Landsbanki Føroya	banki hjá landsstýrinum, sum skal varðveita trygg fíggjarviðurskifti og virka fyri javnari útbygging av samfelagnum; landsbankin fór í søguna í apríl 2013, men varð stovnaður aftur 1. januar 2017.
langfreistað fígging	eginpeningur,avsettar skylduroglangfreistað skuld
langfreistað skuld	skuld, ið fellur til gjaldingar um meira enn eitt ár
langtíðarforsøgn	forsøgn, ið roynir at hyggja longri enn tvey ár fram í tíðina; langskygdar forsagnir vera nýttar til avgerðir av strategiskum slagi; sístrategisk avgerð
latingartíð	tann tíð tað tekur frá tí, at vøra er bíløgd, til hon er latin keypara á avtalaðum staði
latingartreyt	áseting í avtalu um keyp og sølu, nær og hvar seljarin skal lata vøruna; síincoterms
lágkonjunkturur	ringar tíðir við lítlum virksemi í samfelagnum, tøkari framleiðsluorku, lítlum eftirspurningi og viðarbeiðsloysi; síhákonjunktururogkonjunktursveiggj
lánsbræv	virðisbræv, sum almennur myndugleiki,kredittfelagellapartafelaggevur út fyri at útvegafígging; tann, ið keypir lánsbræv, hevur tað sum prógv um, at útgevarin skyldar honumnavnvirðið á lánsbrævinum; sívirðisbrøv
leasing	vinnuligt leigumál av framleiðslutólum eftir sáttmála, sum bindur leigaran at gjalda leasingargjald so leingi, sum sáttmálin gongur
leiðsla	tað er eingin alment galdandi definitión um, hvat leiðsla er; ein er at ávirka virksemið í einari fyritøku at náa settum málum; ein onnur er evnini at fáa onnur at arbeiða saman við eldhugi móti ásettum málum og at gagnnýta alt tilfeingi í fyriskipanini og fólkunum, sum starvast har
leiðsluátekning	átekning íársfrásøgnini, har ið leiðslan váttar roknskapin
leiðslufrágreiðing	partur avársfrásøgn, har leiðslan greiðir aðalfundinum frá virkseminum, týðandi hendingum og viðurskiftum
leiðsluhegn	myndil, ið lýsir fleiri leiðslustílar; hegnið hevur tvær dimensiónir: framleiðsla og starvsfólk; til dømis er ein 9,1-leiðari ein, ið leggur stóran dent á framleiðsluna, men leggur lítið í, hvussu starvsfólkið hevur tað; og ein 1,9-leiðari er ein, ið leggur lítlan dent á framleiðsluna, men gongur nógv upp í, hvussu starvsfólkið hevur tað
leiklutur	tað, sum ein bólkur krevur og væntar av tí einstaka í bólkinum
leysafæ	ognarlutir, ið kunnu flytast, til dømis bilar og bátar; síføst ogn
leysagóðs	síleysafæ
