NAFTA	North American Free Trade Agreement; fríhandilsavtala millum USA, Kanada og Mexico; síEFTA
natúrligt tilfeingi	tilfeingi, sum finst í natúruni, til dømis jørð, ráevni og fiskur í havinum
navnvirði	prentaða virðið á einumlánsbrævi ellapartabrævi; síinnanvirðiogmarknaðarvirði
NEAFC	North East Atlantic Fisheries Commission; ráð við umboðum úr Føroyum, Grønlandi, Íslandi, Noregi, Russlandi ogES, ið arbeiðir fyri at gagnnýta fiskatilfeingið í havinum, sum hesi lond vara av, eftir vísindaligum ráðum fráICES
nettofaktorinnkoma	tað, sum er eftir, tá iðavskrivingar eru drignar frábruttofaktorinnkomuni
nettogjalding	munurin milluminngjaldingar ogútgjaldingar í einum tíðarskeiði
nettoíløgur	tær íløgur, sum ikki eruenduríløgur; nettoíløgurnar vísa vøksturin íframleiðslutólum; síbruttoíløgur
nettonúvirði	kapitalvirði: munurin ánúvirðinum á ølluminngjaldingum og øllumútgjaldingum, ið standast av einari íløgu
nettorealiseringsvirði	tann upphædd, ið kann fáast fyri eina vøru, sum erókurant; í roknskapi verður mælt til, at goymsluvørur verða settar til hetta virði, um tað er lægri ennkostvirði, fyri atfíggjarstøðan skal geva einarættvísandi mynd
nettosparing	tað, sum er eftir, tá iðavskrivingar eru drignar frá bruttosparing
nettotjóðarúrtøka	tað, sum er eftir, tá iðavskrivingar eru drignar frábruttotjóðarúrtøkuni
nettotørvur	tann nøgd av vørum og tilfari, ið skal útvegast til eina bílegging; síbruttotørvurogMRP
nettouttanlandsogn	munurin millum tað, sum eitt land eigur á uttanlands, og tað, sum landið skyldar uttanlands, tá ið tað, sum landið eigur uttanlands, er størri enn tað, sum landið skyldar uttanlands; sínettouttanlandsskuld
nettouttanlandsskuld	munurin millum tað, sum eitt land skyldar uttanlands, og tað, sum landið eigur á uttanlands, tá ið skuldin uttanlands er størri enn tað, sum landið eigur uttanlands; sínettouttanlandsogn
nettovinningur	munurin millum inntøkuna hjá einum virki og allan kostnaðin; í roknskapi er nettovinningur úrslit fyri skatt ella úrslit eftir skatt
netverksfyriskipan	liðiligur fyriskipanarháttur, har skiftandi uppgávur verða gjørdar við skiftandi manning eftir tørvi í einum fleirfakligum netverki av fólki
netverksgreining	ein háttur at planleggja og stýra einari verkætlan, har einstøku partarnir hanga saman; partarnir í verkætlanini og samanhangið teirra millum verða teknaðir sum eitt netverk við pílum, ið lýsa treytir, samanhang og tíð; síkritiski vegurin
neutralitetur	sílutloysi
neyðug vøra	vøra, ið er innkomuóviðkvom, sum merkir, at tá ið innkoman í samfelagnum veksur, so veksureftirspurningurin eftir vøruni lutfalsliga minni; sí innkomuviðkvæmi,inferiør vøraogluksusvøra
NFI	sínettofaktorinnkoma
niðara skiftispunkt	tann nøgd, sum í minsta lagi skal seljast, um eitt virki ikki skal hava hall; tann upphædd, sum eitt virki í minsta lagi skal selja fyri fyri ikki at hava hall; síovara skiftispunkt
niðurskriving	tað, at virðið á einari ogn verður niðurskrivað í roknskapinum; munurin áavskrivingog niðurskriving er, at avskrivingin verður gjørd eftir einari ætlan, men niðurskrivingin verður gjørd, tá ið virðið á ognini verður mett at vera minni enn bókaða virðið; síbókað virði,rættvísandi myndoguppskriving
niðursparing	tað, at húsarhaldini brúka meiri pening enn tøku inntøkuna í einum tíðarskeiði; niðursparing er møgulig, tá ið húsarhaldini brúka avuppsparing, ella tá ið tey læna pening; síuppsparing
normur	formlig ella óformlig regla í einum bólki; síformlig fyriskipanogóformlig fyriskipan
notur í roknskapi	útgreiningar ella frágreiðingar um postar í innkomuroknskapinum (rakstarroknskapinum) ella fíggjarstøðuni
NTÚ	sínettotjóðarúrtøka
núvirði	úr íløguteori: afturskrivað virði í dag av gjaldingum í framtíðini við ásettari roknirentu; sí afturskriving,kapitalvirðiogroknirenta
nýkeyp	tað, at virki keypir vøru ella tænastu, sum tað ongantíð fyrr hevur keypt; avgerðin í sambandi við nýkeyp verður ofta tikin ovarlaga í fyriskipanini
nýtarakeyp	síbrúkarakeyp
nýtaramarknaður	síbrúkaramarknaður
nýtsla	øll nýtslan tilsamans í einum samfelagi er nýtslan hjáhúsarhaldunum og nýtslan hjá tí almenna til keyp av vørum og tænastum; síalmenni geirin
nýtslufrávik	frávik millum nýtslu av framleiðslufaktorum og standardnýtslu, roknað í ætlaðum prísum; síprísfrávikogstandardnýtsla
nýtslukostnaður	síkostnaður, nýtsludefinitiónin
nýtslukvota	tann partur av tøku innkomuni hjá húsarhaldunum, sum verður nýttur til keyp av vørum og tænastum; símiðal nýtslukvotaogmarginal nýtslukvota
nýtsluvanar	síbrúksvanar
nýtsluvirði	í íløguteori: tað virði, sum eitt tól hevur fyri virkið, um tað framhaldandi verður nýtt í virkinum; kann tólið verða selt fyri meiri enn nýtsluvirðið, loysir seg at selja
nýttar roknskaparreglur	partur avársfrásøgnini um, hvørjir roknskaparhættir eru nýttir í felagnum
nærumhvørvi	síkappingarumhvørvi
