objektbygnaður	fyriskipanarbygnaður, har arbeiðsuppgávur og deildir eru savnaðar um objektið, ið til dømis kann vera vøruslag, kundaslag ella marknaður
obligatión	sílánsbræv
OECD	Organisation for Economic Cooperation and Development; felagsskapur av ídnaðarlondum, sum ger frágreiðingar um gongdina í teimum einstøku londunum
OEM-veitari	original equipment manufacturer; virki, sum ger originalar vørur, ið eru partar í einari størri loysn hjá kundunum
offurkostnaður	síkostnaður, offurdefinitiónin
offurrenta	avkast, sum eitt virki ofrar við at binda pening; síroknirentaogkostnaður, offurdefinitiónin
ognarar	kreditorar; postur í fíggjarstøðuni undir stuttfreistaðari skuld: upphædd, sum eitt virki skyldar teimum, ið tað hevur keypt vørur og tænastur frá; sístuttfreistað skuld
ognaravkast	lyklatalí fíggjarligari greining: rakstrarúrslit/(ogn í rakstri)
ognaravkast tilsamans	lyklatalí fíggjarligari greining: (rakstrarúrslit + rentuinntøkur)/(ogn tilsamans)
ognarumferð	lyklatalí fíggjarligari greining: søluinntøka/(ogn í rakstri)
ogn í rakstri	ognin í virkinum, ið er við til at fáa rakstrarvinningin; tað er øll ogn uttan fíggjarlig ogn, sum hevur fíggjarliga innkomu við sær; ogn í rakstri er teljari í ognaravkasti
ogn í umferð	postur í fíggjarstøðuni; øll ogn, sum ikki erstøðisogn
ogn tilsamans	høvuðspostur í fíggjarstøðuni:støðisognogogn í umferðtilsamans
oligopol	marknaðarslag við fáum og stórum útbjóðarum; finst í vinnum, har tað er trupult hjá nýggjum útbjóðarum at koma inn á marknaðin
oligopolmarknaður	síoligopol
oligopson	marknaðarslag við fáum keyparum og nógvum útbjóðarum
one-to-one marketing	ein framferðarháttur, ið bjóðar vøru og tænastu til ein kunda í senn, har dentur verður lagdur á serliga tørvin og krøvini hjá einstaka kundanum; síCRM(customer relationship management)
online marketing	tað at nýta internetið í marknaðarførslu
OPEC	Organization of Petroleum Exporting Countries; felagsskapur av londum, ið útflyta olju
operativ avgerð	avgerð, sum verður tikin dagliga, og sum er innan fyri karmarnar av strategiskum og taktiskum avgerðum; sístrategisk avgerðogtaktisk avgerð
operativ fíggjarstýring	daglig fíggjarlig stýring við operativum avgerðum innan fyri karmarnar av strategiskari og taktiskari stýring; sístrategisk fíggjarstýringogtaktisk fíggjarstýring
operativ stýring	daglig stýring við operativum avgerðum innan fyri karmarnar av strategiskari og taktiskari stýring; sístrategisk stýringogtaktisk stýring
optimal keypsnøgd	tann keypsnøgd, sum undir ávísum fortreytum hevur við sær minimering av bíleggingarkostnaði og goymslukostnaði; síoptimal seriustødd í framleiðslu
optimal seriustødd í framleiðslu	tann seriustødd, sum undir ávísum fortreytum hevur við sær minimering av byrjanarkostnaði og goymslukostnaði; síoptimal keypsnøgd
optimalur skuldarpartur	tannskuldarpartur, sum hevur við sær, atskuldarrentaog krav umeginpeningsavkastverður minst; er skuldarparturin lítil, er lítilváði, og tí er skuldarrentan lág og krav um eginpeningsavkast lágt; tá loysir tað seg at økja um skuldarpartin, men bara til eitt vist, tí samstundis økist váðin, og skuldarrentan og krav um eginpeningsavkast verða hægri
ordraframleiðsla	framleiðsla av vøru, ið er bíløgd, áðrenn framleiðslan byrjar
organisk fyriskipan	fyriskipanarháttur, ið leggur dent á samstarv, samskipan, fleksibilitet og óformligar avtalur; organisk fyriskipan er væl egnað, tá ið umheimurin er óstøðugur, marknaðurin er ófriðarligur, og tekniska menningin er skjót; símekanistisk fyriskipan
outsourcing	síútveiting
ovara skiftispunkt	tann nøgd, sum eitt virki í mesta lagi skal selja fyri ikki at hava hall; tann upphædd, sum virki í mesta lagi skal selja fyri fyri ikki at hava hall; síniðara skiftispunkt
