pant	síveð
pantibræv	síveðbræv
partabræv	virðisbræv, sum er tekin um ognarpart í einum partafelagi
partabrævaavkast	earnings yield;lyklatalí fíggjarligari greining: (vinningur eftir skatt)/(marknaðarvirði á partabrøvunum)
partabrævakursur	prísurin fyri eitt partabræv; partabrævakursurin verður til eftir útboði og eftirspurningi, og hann verður ávirkaður av, hvussu marknaðurin væntar, at partafelagið fer at klára seg í framtíðini
partabrævamarknaður	sívirðisbrævamarknaður
partabrævaútgáva	útgáva av partabrøvum í sambandi við, at partapeningurin verður øktur
partaeigari	eigari í einum partafelagi
partafelag	vanliga stytt P/f; vinnurekandi felag við avmarkaðari ábyrgd; partafeløg eru undir eftirliti avSkráseting Føroya; sísmápartafelag
partafelagslógin	serlig lóg um partafeløg
partafelagsskattur	skattur, ið partafeløg gjalda av skattskyldigari innkomu
partapeningur	partur av eginkapitalinum í einum partafelagi; støddin á partapeninginum er sambært viðtøkum felagsins; partapeningurin verður inngoldin, tá ið virkið verður stovnað
partsreiðarí	stytt P/R; felagsformur, har eigararnir hava persónliga, men ikki solidariska ábyrgd; teir hefta tí við øllum, sum teir eiga, men bara fyri tann part av skuldini, sum svarar til teirra ognarpart
partsskipan	sambærtskipanarástøðinum er eitt virki ein skipan, sum er sett saman av lutum, ið virka sum ein heild; hesir lutir kunnu eisini vera skipanir í sær sjálvum, sum verða nevndar partsskipanir, tí tær eru partar av eini størri skipan
patent	immateriell støðisogní roknskapi; rættur at nýta uppfinningar, ið kunnu nýtast vinnuliga; tann, ið hevur uppfunnið okkurt, kann søkja um patentrættindi í einum landi ella í einum patentfelagsskapi, sum fleiri lond eru limir í
P/E lutfall	price/earning ratio;lyklatalí fíggjarligari greining: (marknaðarvirði á partabrøvunum)/(vinningur eftir skatt)
penetrationprice	lágur prísur fyri nýggja vøru við tí fyri eyga at fáa fótafesti á einum marknaði og stóran marknaðarpart; hugskotið er, at brúkarin torir betur at keypa eina nýggja vøru, um prísurin er lágur; sískimming price
pengabinding	tað, at pengar eru bundnir í aðrar ognir, til dømisstøðisognella vørugoymslu; pengabindingin í virkinum ger, at tað hevur minni tøkan pening at gjalda við og verrigjaldføri
pengalig eind	hugtak í roknskaparfrøði; tá ið allar ognirnar í einum virki skulu leggjast saman og samanberast við pengaliga skuld, mugu vit í roknskapi nýta eina pengaliga eind sum felagsnevnara, til dømis krónur
pengapolitikkur	tað, at myndugleikar nýta rentubroytingar og broytingar í pengamongdini at stýra búskaparliga virkseminum í samfelagnum; við stimbrandi pengapolitikki verður útboðið av pengum økt og/ella rentan lækkað, soleiðis at eftirspurningurin í samfelagnum økist, tí at fleiri pengar eru í umferð, og tað er bíligari at læna; við tálmandi pengapolitikki verður útboðið av pengum minkað og/ella rentan hækkað, soleiðis at eftirspurningurin í samfelagnum minkar, tí at færri pengar eru í umferð, og tað er dýrari at læna
pengastreymsroknskapur	roknskapur, ið vísir munin áinngjaldingum ogútgjaldingum; hann kann vera gjørdur út frá innkomuroknskapinum, sum vísir munin á inntøkum og kostnaði, men av tí at tíðarmunur er á inntøkum og inngjaldingum og á kostnaði og útgjaldingum, verður rakstrarúrslitið umroknað til pengaúrslit við avskrivingum, broytingum í goymslum, skuldarum og ognarum og við íløgum og fíggjarligum postum; pengastreymsroknskapurin kann eisini verða settur upp sum gjaldingar
pengastreymsuppgerð	sípengastreymsroknskapur
