TAKS	stovnur undir landinum, ið hevur toll, skatt og avgjøld um hendur
taktisk avgerð	avgerð, sum hevur avleiðingar eitt til tvey ár fram; sístrategisk avgerðogoperativ avgerð
taktisk fíggjarstýring	stýring við taktiskum fíggjarligum avgerðum, ið eru innan fyri karmarnar av strategisku stýringini; sístrategisk stýring
taktisk stýring	stýring við taktiskum fíggjarligum avgerðum, ið eru innan fyri karmarnar av strategisku stýringini; sístrategisk stýring
tálmandi fíggjarpolitikkur	sífíggjarpolitikkur
tálmandi pengapolitikkur	sípengapolitikkur
tekningskursur	tá iðpartapeningurverður teknaður, er tekningskursurin prísurin, ið skal gjaldast fyri hvørtpartabræv; ofta er tekningskursurin størri enn áljóðandi virðið á partabrævinum; síyvirkursgrunnur
tekniska skipanin	sítøkniliga skipanin
teknisk handilsforðing	tað, at eitt land setir teknisk krøv til innfluttar vørur, har teknisku krøvini verða nýtt sum skálkaskjól fyri at verja egna framleiðslu móti kapping uttaneftir
teknisk livitíð	síteknisk lívstíð
teknisk lívstíð	tann lívstíð, sum ein íløga kann hava tekniskt; búskaparliga lívstíðin kann vera styttri enn tann tekniska; síbúskaparlig lívstíð
terminsgjald	gjald, sum lántakari letur lánveitara eina termin: terminsgjald er samansett av rentum og avdrátti; síavdrátturogrenta
tertier vinna	sítriðjalagsvinna
thrifty effekt	tað, at vøra verður keypt bíliga fyri at vísa øðrum, at ein dugir at vera sparin
tilboð	lyfti, sum er bindandi fyri tann, ið gevur tað, um tann, sum fær lyftið, tekur av innan rímiliga tíð; síavtala
tilelving	símotivatión
tilelvingarfaktorar	viðurskifti í arbeiðnum, sum motivera arbeiðsfólkið og kunnu skapa varandi nøgdsemi, til dømis arbeiðsuppgávan sjálv, nyttukensla, viðurkenning, ábyrgd og menning; sírøktarfaktorar
tilfeingi	framleiðslufaktorar, sum búskapurin skal halda hús við; tilfeingi kann vera jørð, ráevni og annað tilfeingi í natúruni; tað kann vera arbeiðsmegiellarealkapitalur
tillagað endurkeyp	tað, at eitt virki, ið keypir, hevur royndir av vøruni og veitaranum, sum verða tiknar við í avgerðina; hetta er ikkivanakeyp, tí ynski kunnu vera um broytingar í prísi og øðrum, og møguleiki kann eisini vera fyri at skifta veitara
tiltakspeningur	postur undir eginpeningi í roknskapi hjá partafeløgum; tiltakspeningur kemur av, at felagið hevur havt avlop
tilverugrundarlag	síhugsjónarligt grundarlag
tilvísingarbólkur	bólkur, ið tú undir ávísum umstøðum kennir samleika við ella bert teg saman við, og sum tí merkir tína atferð
tíðaravmarking	sítíðarbýti
tíðarbýti	í praksis verður kravt, at øll virki gera ársroknskap, og tí eru reglur um, hvussu inntøkur og kostnaður av verkætlanum, sum vara tvørtur um ársskifti, verða býtt sundur millum árini
tíðarbýtispostar	hesir postar finnast bæði undir ogn og undir skuld í roknskapinum hjá einum virki; tíðarbýtispostar undir ogn koma av, at virkið eigur vøru ella tænastu til góðar, sum eru goldnar frammanundan; tíðarbýtispostar undir skuld koma av, at virkið hevur skyldu at veita eina vøru ella tænastu, sum tað hevur fingið pening fyri
tíðarløn	løn, sum verður avroknað eftir, hvussu leingi løntakarin er til arbeiðis, til dømistímaløn; síavrikslønogbonusløn
tíðarmunir	munir millum roknskaparligt úrslit og skattskyldugt úrslit, sum kunnu koma av, at avskrivingar í ársroknskapinum ikki eru tær somu sum skattligar avskrivingar, ella at missur av skuldarum er ikki tann sami í roknskapi og í skattliga úrslitinum; tíðarmunir gera, at virkið antin fær útsettan skatt sum skyldu undir avsetingum ella eina skattaogn undir støðisogn; sískattlig avskrivingogskattligt virði
tíðarseriugreiningar	kvantitativ háttaløg at gera forsagnir út frá søguligum tølum, til dømis útrokning av glíðandi miðaltølum, útrokning við eksponentiellum útjavningarkonstanti ella útrokning av trendinum; síforsøgn,kvantitativar forsagnirogtrendur
tíðarvirði á peningi	tað, at til dømis 100 krónur, sum tú hevur í dag, eru meira verdar enn eitt lyfti um at fáa 100 krónur einaferð í framtíðini; síafturskriving,framskrivingogroknirenta
tímaløn	løn, ið verður goldin eftir, hvussu nógvar tímar løntakarin er til arbeiðis
tjóðarroknskapur	roknskapur um búskaparliga virksemið í einum landi í einum ári; síbruttotjóðarinnkoma,bruttotjóðarúrtøka,bruttofaktorinnkomaogbruttovirðisøking
tollur	avgjald, sum verður lagt á innflutta vøru, antin sum ein føst upphædd pr. eind av vøruni (eindartollur), ella sum prosent avtollvirðinum (virðistollur)
