umferð	heiti fyri, hvussu ofta ein stødd, til dømis goymsla, verður skift út um árið
umferð av langfreistaðari skuld	lyklatal í fíggjarligari greining: søluinntøka/ (ogn í rakstri – stuttfreistað rakstrarskuld)
umferð í vøruskuld	lyklatal í fíggjarligari greining: (vørukeyp í árinum)/(miðal vøruskuld)
umheimsmyndilin	myndil, ið býtir umheimin hjá einum virki í tvey: kappingarumhvørvi(nærumhvørvi) ogumhvørvi sum heild(fjarumhvørvi)
umheimur	síkappingarumhvørviogumhvørvi sum heild
umhvørvi	síkappingarumhvørviogumhvørvi sum heild
umhvørvisfrágreiðing	síumhvørvisroknskapur
umhvørvisgjald	avgjald, sum verður lagt á vørur, ið skaða umhvørvið; síumhvørvispolitikkur
umhvørvispolitikkur	tiltøk, ið myndugleikarnir seta í verk at ávirka atferðina hjá fólki fyri at verja umhvørvið
umhvørvisroknskapur	frágreiðing, ið sigur umheiminum, hvat virkið ger fyri at verja umhvørvið
umhvørvi sum heild	tann parturin av umhvørvinum hjá einum virki, sum tað onga ávirkan hevur á, til dømis nýggjar lógir og kunngerðir, oljuprísir, gongdin í fólkatalinum og í búskapinum, sosialar og mentanarligar broytingar; síkappingarumhvørviogPEST
umsetningur	søluinntøka: søluprísur faldaður við seldari mongd fyri hvørja vøru, og síðani lagt saman; síinntøka
umskiftisárin av lønarhækking	tað, at løntakarar hava hug at arbeiða meira, tá ið lønin er hægri, tí nú hevur frítíðin hægri offurkostnað; árinið er, at meira verður arbeitt, tá ið lønin hækkar; síinnkomuárin
umskiftisárin av prísbroyting	árinið av einari prísbroyting á eftirspurda mongd, sum stendst av, at brúkarin skiftir til aðrar vørur ella frá øðrum vørum; síinnkomuárin
umskiftisárin av skattahækking	skattahækking ger, atoffurkostnaðurfyri frítíð lækkar, sum ger, at fólk fara at arbeiða minni
umskiftisvørur	sísubstituerandi vørur
undanførsla	sálarlig verjumekanisma ímóti brostnum vónum; undanførsla er ein roynd at lýsa ósigrar á ein hátt, ið kann góðtakast, ella at royna at halda lítið um tað, ið ein kortini ikki megnar
undirmerki	eitt av mongum merkjum, ið sama virki nýtir til einstøku vørurnar; síhøvuðsmerkiogvørumerki
undirskot	tað sama sumhall; úrslitið hjá einum virki, tá ið kostnaðurin er størri enn inntøkan
Uppsala-myndilin	myndil, ið lýsiraltjóðagerðav einum virki sum eina tilgongd, ið fer fram tveir vegir samstundis, har virkið økir um virksemi í einum landi, samstundis sum tað fær virksemi í fleiri londum; navnið kemur av, at granskarar í Uppsala hava gjørt myndilin
uppseting av roknskapi	síroknskaparuppseting
uppskriving	materiell støðisognkann verða uppskrivað, fyri at roknskapurin skal geva einarættvísandi myndav virðinum; síavskrivingogniðurskriving
uppskrivingargrunnur	postur undir eginpeningi í roknskapi; hesin grunnur er komin av, atmateriell støðisogner uppskrivað; so hvørt sum uppskrivað ogn verða avskrivað, verður uppskrivingargrunnurin niðurskrivaður
uppsparing	tað, athúsarhaldbrúka minni pening enn tøku innkomuna í einum tíðarskeiði; í ringum tíðum kann uppsparingin vaksa, tíhúsarhaldverða varin, og avleiðingin er minnieftirspurningur, men tað rakar ikki allar marknaðir líka; síniðursparingogtøk innkoma
USP	unique selling proposition; marknaðarførsla hjá einum virki, ið vísir á eginleikar, sum hetta virkið einsamalt hevur; síESPogISP
utilitarisma	ástøðilig hugsjón: um ein handling er røtt ella skeiv verður gjørt av eftir tí nyttuvirði, sum handlingin hevur við sær
uttaneffektivitetur	evni hjá einum virki at laga seg eftir umstøðunum uttan um virkið; síinnaneffektivitetur
uttanhýsis feilkostnaður	góðskukostnaður, ið kemur, tá ið kundin finnur feil við vøruni; hetta er kostnaður fyri eyka tænastu, dupult arbeiði og er eisini offurkostnaður, sum er mistur vinningur, av tí at virkið missir kundar
