vakstrarmatrix Ansoff	talva, ið hevur tveir faktorar: vøru og marknað, sum síðani eru býtt sundur í verandi og nýtt; á tann hátt hevur talvan 4 strategiir:marknaðarpenetreringvið verandi vøru á verandi marknaði,marknaðarmenningvið verandi vørum á nýggjum marknaði,vørumenningvið nýggjum vørum á verandi marknaði, ogdiversifikatiónvið nýggjum vørum á nýggjum marknaði
vakstrarstrategi	um virki hevur sum mál at vaksa, kann valið vera millum fleiri strategiir, til dømis at økja um søluna av verandi vørum ella tænastum á verandi marknaði, at menna nýggjar vørur ella tænastur, at fara inn á nýggjar marknaðir ella at velja eina samanseting av fleiri strategium
VALS-myndilin	value and lifestyle; amboð, ið býtir kundar sundur eftir lívsstílum, og verður nýtt ísegmenteringav marknaði
valutapolitikkur	virði á einum gjaldoyra verður til sum úrslit av útboði og eftirspurningi; lond við egnum gjaldoyra ávirka meira og minni útboð ella eftirspurning fyri at forða fyri ov stórum sveiggjum í kursinum; eisini kemur fyri, at lond niðurskriva ella uppskriva gjaldoyrað fyri at ávirka gjaldsjavnan ella onnur samfelagsbúskaparlig mál; sídevalueringogrevaluering
valuti	gjaldoyra í londum, sum ikki hava sama gjaldoyra sum vit
vanakeyp	tað, at nýtsluvanar og keypsvanar ráða, tá ið keyparin ger av, hvat hann skal keypa; síbráðkeypogtillagað endurkeyp
varaseting	substitutión; tað, at ein framleiðslufaktorur kann verða nýttur í staðin fyri ein annan; síisokvantkurvaogisokostlinja
varsemi	hugtak í roknskaparpraksis; varsemisreglan verður ofta nýtt at viðgera óvissuna, sum er í arbeiðnum við ársroknskapi, og varð fyrr mett sum ein neyðug mótvekt ímóti optimismu millum leiðarar og eigarar og sum ein forðing fyri, at ov nógv bleiv goldið út sumvinningsbýti
varsemisendamál	at hava pening tøkan við tí endamáli at kunna standa ímóti óvæntaðum hendingum; sígjaldingarendamálogspekulatiónsendamál
váði	hugtak fyri ta óvissu, sum er í sambandi við íløgur, tí tað er ilt at siga, hvat fer at henda í framtíðini
veblen effekt	sosial keypsorsøk; tað, at ein vøra verður keypt fyri at vísa øðrum, at keyparin hevur ráð; tað er tí ein treyt, at vøran er kend fyri at vera dýr
veð	ogn, ið er veitt sum trygd fyri lán
veðbræv	skuldarbræv, ið skuldari skrivar, tá ið hann hevur sett fasta ogn ellaleysafæíveðfyri skuldina
veðhaldslán	lán, sum ognir eru settar íveðfyri sum trygd
veðhavi	ein, ið hevur veitt lán við trygd í ogn, sum er sett íveð
veðrættur	rættur hjá veðhava til ogn, sum er sett íveð
veðsetari	ein, ið hevur sett ogn íveð
veikleikar í lyklatølum	innbygdir veikleikar í lyklatølum eru til dømis íognaravkastinum, sum er ávirkað avavskrivingum í bæði teljara og nevnara; aðrir veikleikar eru, um lyklatølini erustatisk
veitingarjavni	uppgerð, ið vísir alla tilgongd av vørum og tænastum í landinum, og hvat henda tilgongd er farin til; tilgongd erbruttotjóðarúrtøka(BTÚ) oginnflutningur, og tilgongdin ernýtsla,íløgur ellaútflutningur
veitingarketa	keta, har einstøku liðini eru veitarar av rávøru og lutum, framleiðarar av vøruni, heilsølur og smásølur, ið arbeiða saman um at nøkta ein tørv hjá brúkaranum; tey einstøku liðini geva hvørt sær eitt íkast til, at brúkarin gerst nøgdur
veitingarstrategi	avgerð um, hvørjar vørur eitt virki skal gera sjálvt, hvørjar tað skal keypa, og hvussu tætt tað skal samarbeiða við veitarar av vørum
veiting sum inntøkutreyt	veiting er tann mest vanliga inntøkutreytin í roknskapi, tí at inntøkan verður roknað, tá ið vøran skiftir eigara; sí bílegging,framleiðsla,gjaldingogtrygd
verjumekanismur	sálarligar tilgongdir, sum verja ímóti frustratiónum og vónbrotum, til dømisundanførsla,endurbótogburturtreinging; hevur týdning í sambandi við einstaklingin í fyriskipanini
verkbann	tað, at arbeiðsgevarar nokta fólki at koma til arbeiðis; verkbann kemur fyri, tá ið eingin sáttmáli er, og samráðingar um nýggjan sáttmála eru steðgaðar; síverkfall
verkfall	tað, at arbeiðsfólk leggja arbeiði niður; verkfall kemur fyri, tá ið eingin sáttmáli er, og samráðingar um nýggjan sáttmála eru steðgaðar; síverkbann
verkætlananarfyriskipan	ein tíðaravmarkað fyriskipan í fyriskipanini, tá ið talan er um serstaka uppgávu, ið krevur serkøna vitan í virkinum og uttaneftir; símatrixfyriskipan
vertikal integratión	tað at økja um virksemi við at fara inn á onnur lið í veitingarketuni, antin aftureftir, har veitararnir eru, ella frameftir, har kundarnir eru; síhorisontal integratión
viðkomandi kostnaður	í íløgurokning: kostnaður, ið broytist av íløguavgerð, og skal tí takast við í útrokningarnar; síóviðkomandi kostnaður
viðkvæmi	sí prísviðkvæmi,innkomuviðkvæmiogviðkvæmisgreining
viðkvæmisgreining	ein greining at meta um óvissuna við einari møguligari íløgu; greiningin skal lýsa, hvussu viðkvom einíløgaer fyri broytingum í fortreytunum
viðlíkahaldsfaktorar	sírøktarfaktorar
vinningsbýti	tað, sum verður goldið partaeigarum í einum partafelagi av avlopinum eftir skatt
vinningsbýti pr. partabræv	partabrævalyklatal: vinningsbýti/tal á partabrøvum
vinningsbýtisavkast	partabrævalyklatal: vinningsbýti/marknaðarvirði á partabrøvunum
vinningsbýtisdekningur	partabrævalyklatal: vinningur eftir skatt/vinningsbýti
vinningsbýtispartur	partabrævalyklatal: vinningsbýti/vinningur eftir skatt
vinningsføri	evni hjá virki at fáa vinning burtur úr virkseminum; síbruttoavkastograkstraravkast
vinningur pr. partabræv	partabrævalyklatal: vinningur eftir skatt/tal á partabrøvum
vinnubræv	loyvi frá fútanum at hava virki í ávísari kommunu
vinnugrein	partur av vinnulívinum, sum arbeiðir við sama slagi av vørum ella tænastum; vanliga verður vinnulívið býtt sundur í 9 høvuðsflokkar, sum aftur eru býttir sundur í nógvar vinnugreinir
vinnugrundarlag	síhugsjónarligt grundarlag
vinnuligur fiskiskapur	fiskiskapur við tí fyri eyga at fáa vinning til manning og reiðarí; heitið verður nýtt í lógum og reglum, sum ikki eru galdandi fyri fiskiskap til egið húsarhald
vinnupolitikkur	tað, at myndugleikar seta tiltøk í verk at broyta korini hjá vinnuligum virkjum; til dømis at stuðla gransking og útflutningi, veita lagalig lán og annað
vinnurekandi grunnur	sígrunnur
vinnuskifting	yvirlit, ið vísir, hvussu fólk í arbeiði eru skift millumfyrstalagsvinnu,annaðlagsvinnu ogtriðjalagsvinnu
virðisbræv	skjal, ið prógvar rættin til pening, ella prógvar ognarrætt í virki, til dømispartabrævogskuldarbræv
virðisbrævamarknaður	marknaður, har virðisbrøv verða umsett; til dømis Kauphöll Íslands, Københavns Fondsbørs, Oslo Børs og NYSE
