ábyrgd hjáeigarum í virki	ábyrgdin hjá eigarum kann vera persónlig (við øllum, ið teir eiga) ella avmarkað til tað, sum teir eiga í virkinum; síavmarkað ábyrgdogpersónlig ábyrgd
ábyrgd og myndugleiki	símyndugleika- og ábyrgdarbýti
áhugabólkar	bólkar, sum hava áhuga í einum virki, til dømis kundar, starvsfólk og eigarar
áljóðandi renta	tann renta, ið er prentað á lánsbræv, og er tann renta, sum verður goldin av áljóðandi virði, ið er tað sama sumnavnvirði
áljóðandi virði	sínavnvirði
áogn	sískuldarar
áognardagar	sískuldaradagar
áognarumferð	sískuldaraumferð
árligt íkast	hugtak, sum verður brúkt í sambandi við meting av íløgum, til dømis hvussu stórt skal árliga íkastið av íløguni vera, fyri at íløgan skal vera lønandi
ársfrásøgn	árlig frásøgn hjá virkjum viðleiðsluátekning, roknskapi,leiðslufrágreiðingoggrannskoðanarátekning; síársroknskapur
ársins skattur	postur í roknskapi hjá partafeløgum; ársins skattur er munurin millum úrslit fyri skatt og úrslit eftir skatt
ársprísir	prísir í einari uppgerð, ið vóru galdandi tað árið, uppgerðin vísir til; sífastir prísir
ársroknskaparlógin	lóg sett í gildi í Føroyum við kongligari fyriskipan um, hvussu ávís feløg skulu leggja roknskap fram
ársroknskapur	árligur roknskapur við innkomuroknskapi (rakstrarroknskapi), fíggjarstøðu, pengastreymsroknskapi og notum; partur avársfrásøgn; síinnkomuroknskapur,fíggjarstøða,nýttar roknskaparreglurogpengastreymsroknskapur
árstíðararbeiðsloysi	arbeiðsloysi, ið er ávísar tíðir á árinum, tí at minni er at gera partar av árinum; orsøkin kann vera veðurlagið ella tað, at eftirspurningurin eftir vøruni ella tænastuni er ikki javnur alt árið
ávirkingarbólka	allir bólkar í nær- ella fjarumhvørvinum, sum virkið kann ávirka, ella sum kunnu ávirka virkið
ávirkingarparametur	faktorur, sum eitt virki kann brúka at ávirka eftirspurningin eftir vørum ella tænastum; sígrundparametur,kunningarparameturogkappingarráð
