óbeinleiðis distributión	tað, at framleiðari ella innflytari selur vørur um eitt ella fleiri millumlið til endaliga brúkaran
óbeinleiðis kostnaður	kostnaður, ið er fyri tvær ella fleiri vørur og ikki beinleiðis viðvíkur bert einari vøru; síbeinleiðis kostnaður
óbeinleiðis reklama	reklama, har eingin móttakari er settur á lýsingarboðskapin; síbeinleiðis reklama
óbeinleiðis skattur	skattur, ið persónar og virki gjalda óbeinleiðis til myndugleikarnar, til dømismeirvirðisgjaldog onnur avgjøld; síbeinleiðis skattur
óbeinleiðis útflutningur	tað, at eitt virki selur vørur til annað virki í sama landi, sum síðani selur vørurnar av landinum; síbeinleiðis útflutningur
óformlig fyriskipan	tann parturin av fyriskipanini, sum er vorðin til av sær sjálvari uttan um formligar ásetingar; síformlig fyriskipan
ófullkomin kapping	felags heiti fyri marknaðarsløg, sum liggja ímillum fullkomna kapping ogmonopol
ókurant vøra	vøra, ið er illa seljandi, og sum annaðhvørt verður seld fyri nógv niðursettan prís, ella verður beind burtur; síkurant vøra
óvanligir postar	postar í innkomuroknskapinum, ið umboða hendingar, ið sjáldan koma fyri og eisini eru óvæntaðar; síóvanligur missurogóvanligur vinningur
óvanligur missur	missur í innkomuroknskapinum, ið er sjáldsamur og óvæntaður
óvanligur vinningur	vinningur í innkomuroknskapinum, ið er sjáldsamur og óvæntaður
óviðkomandi kostnaður	í íløgurokning: kostnaður, ið ikki broytist av íløguni og tí ikki skal takast við í útrokningarnar; síviðkomandi kostnaður
óvild	síbadwill
