d	1(lingv.)konsonant2(lingv.)4. bogstav i det færøske alfabet (kaldes )3(musik)tone og tilsvarende node4fork. fordesi-(som i desimetur, desilitur (dm, dl))
d.	fork. fordeyð(ur)
D	romersk taltegn for 500
dadda	barnepige, babysitter,sita daddavære barnepige, babysitter
daddast	(talesp.)være barnepige el. babysitter, passe børn, babysitte,vit kundu farið, um eg fekk onkran at daddastvi kunne gå, hvis jeg fik nogen at være barnepige el. babysitter
daddudrongur	plejesøn
daddusonur	plejesøn
daddusøga	ammestuehistorie, røverhistorie
dadla	(bot.)daddel
dadlupálmi	(bot.)daddelpalme(Phoenix dactylifera)
dadlusteinur	daddelkerne
daffa	bagtale, bagvaske, rakke ned, smæde,daffa fólkbagtale folk
daga	1komme til syne, dukke op, vise sig i silhuet,tindurin dagar upp móti luftinibjergtoppen kommer til syne op mod luften;teir daga uppi á egginide kommer til syne på bjergkanten;trø og hús dagaðu upp úr morguntokunitræer og huse kunne ses i morgentågen;(overf.)hava latið nakrar einstakar løtur daga upp um tær vanligulade nogle øjeblikke være mere betydningsfulde end andre i ens dagligdag2blive dag,tá var farið at dagada var det ved at blive dag
dagamunur	forskel, forandring fra dag til dag,tað sæst dagamunur á (e-m)der sker en ændring fra (den ene) dag til den anden
dagaskil	rede på ugens dage(deres tal og orden),missa dagaskiliðikke have rede på dagene;vita dagaskilhave rede på ugens dage;ikki vitael.duga dagaskil1ikke have rede på dagene2være ganske dum, enfoldig, uvidende
dagast	komme til syne, dukke op, vise sig i silhuet,ikki eitt fjall ella tindur dagaðisthverken fjeld eller bjergtop kom til syne;høgar mastrar dagaðust uppi í myrkrinumde høje master blev synlige i mørket;ein bátur dagaðist úti í fjarðarmunnanumen båd kom til syne i fjordmundingen;tað dagast fyri e-men lægger mærke til el. opdager noget,nú tað dagast fyri honum, hvat ið hent ernu han opdager hvad der er sket
dagatal	1antal dage,eg skal telja tær dagatal, so tú fert ikki villurjeg skal tælle dagene for dig, så du ikke tager fejl af dem2kalender, almanak
dagavillur	ikke klar over hvad dag det er
dagblað	dagblad, daglig avis
dagbók	1dagbog2journal
dagbóka	journalisere
dagbót	(jur.)dagbøde
dagdeild	(med.)ambulatorium
dagdreymur	dagdrøm
dagdroymari	dagdrømmer, eskapist, drømmer
dagdvølja	tidsfordriv,hon hevði funnið eina frálíka dagdvøljuhun havde en god måde at fordrive tiden på
dagfallin	forfalden, betalbar
dagfesta	datere, tidsfæste, tidsbestemme,í brævi dagfestum 25. mai 1990i et brev dateret 25. maj 1990
dagfesting	datering
dagføra	ajourføre, opdatere
dagga	gå langsomt, slentre,hann fór daggandihan slentrede af sted
daggamal	(om fisk o.lign.)daggammel
dagglæma	lysstribe på himlen ved daggry
daggrýti	(geol.)dagbjergart
daghol	hovedgang i kulmine
dagkrem	dagcreme
daglangt	í daglangthele dagen,hav tú hetta í daglangtbehold du dette resten af dagen
dagleið	dagsrejse
dagligstova	(talesp.)dagligstue
dagligur	daglig,dagligt breyðdagligt brød;-ligadag og dagligahver eneste dag;dagliga dagshver dag
dagljóst	tað er dagljóstdet er blevet dag
dagløn	dagløn
dagmerki	datomærke
dagmerkja	datomærke,nú verða nærum allar matvørur dagmerktarnu bliver næsten alle madvarer datomærket
dagna	(poet.)blive dag,minn meg á ta síðstu stund, tá ikki meir tað dagnar
dagpeningaskipan	dagpengesystem
dagpeningaveiting	dagpengeydelse
dagpeningur	1dagpenge, arbejdsløshedsunderstøttelse2dagpenge(i forb. med tjenesterejse)
dagræði	1i ordforb.fáa dagræðinå frem før det bliver mørkt2dagslys,dagræðið var ikki heilt fánað burturdagslyset var ikke helt forsvundet;dagræðið hvarv spakuliga í vestridagslyset forsvandt langsomt mod vest
dagrøkt	dagpleje
dagrøktarbarn	dagplejebarn
dagrøktarmamma	dagplejemor
dagrøktarpláss	dagplejeplads
dagrøktarskipan	dagplejeordning
dagsarbeiði	dagsarbejde
dagseta1	skumre, mørkne, aftne,nú fer at dagsetanu skumrer;nú er dagsettdagslyset er borte
dagseta2	datere, tidsfæste, tidsbestemme,brævið er dagsett 25. mai 1990brevet er dateret den 25. maj 1990
dagseting	datering
dagsetur	dagslysets ophør, mørkets indtræden, skumring, mørkning,um dagsetur í gjárkvøldiði skumringen i går aftes
dagsferð	1dagsrejse,tað var langt at fara, einar tvær dagsferðirdet var langt at gå, cirka to dagsrejser2dagsrejse,vit gjørdu eina dagsferð til Vágsvi foretog en dagsrejse til Vágur
dagsgerð	dagsarbejde,hatta er ein heil dagsgerð at gera tildet er et strengt dagsarbejde
dagsglæma	lysstribe på himlen ved daggry,dagsglæman roðar í eysturætt
dagskeið	(skole)dagkursus
dagskúli	(skole)dagskole,mods.kvøldskúli
dagsleið	dagsrejse
dagsljós	dagslys,mods.náttljós,eg síggi at lesa við dagsljósijeg kan læse i dagslys
dagslýsi	dagslys,í dagslýsii dagslys;eg fekk dagslýsi til húsjeg nåede hjem inden skumringen faldt på
dagsløn	dagløn
dagsmøði	dagens slid,bera boð um góðan frið aftan á dagsmøðina
dagsprísur	dagspris,húshaldsvørur, sum verða seldar limunum eftir dagsprísihusholdningsvarer, som bliver solgt medlemmerne til dagspris
dagsróður	dagsrejse,hiðani til Hetlands eru tveir dagsróðrar, halda mennman regner med at der er to dagsrejser fra Færøerne til Shetlandsøerne
dagssetningur	udført arbejde i en dag
dagsskipan	dagsorden, agenda
dagsskrá	dagsorden, forretningsorden, agenda,dagsskráin verður kunngjørd samstundis sum fundurin verður lýsturdagsordenen offentliggøres samtidig med at mødet bekendtgøres
dagstevndur	(om dato)bestemt,á dagstevndum degipå en bestemt dag;koma dagstevndan dagkomme en bestemt dag;hann kom dagstevnt á hvørjum árihan kom den samme dag hvert år
dagstíð	tid på dagen,um somu árstíð og somu dagstíðom samme årstid og samme tid på dagen
dagstjørna	(astronomi)morgenstjerne
dagstovnur	1daginstitution2dagcenter (hvor pensionister kan opholde sig om dagen)
dagstútt	daglig, hver dag
dagstøtt	daglig, hver dag
dagsverður	portion
dagsverk	dagsværk,tá ið dagsverkið var lokiðda dagsværket var forbi
dagtilhald	1dagcenter2daginstitution,dagtilhaldið er opið allar dagar í vikunidagcentret er åbent alle dage i ugen
dagtjóvur	dagdriver, lediggænger, drivert, flanør
dagur	1dag;ein daginen (el. anden) dag;nú ein daginforleden dag;nú á døgumnu til dags;árla dagstidligt på dagen;á degiom dagen;í dagi dag;um daginom dagen;við deg(i)numved daggry;fyri dagfør daggry;góðan daggoddag2dagslys,nú er dagurnu er det dag;tað lýsir av degiel.tynnir fyri degidagen gryr;halda e-t upp fyri daginholde noget op for lyset (for bedre at kunne se det)3døgn, dag,í árinum eru 365 dagaråret har 365 dage;átta dagarotte dage,(talesp.)en uge;fjúrtan dagarfjorten dage4isærlevetid, levedage, tid,farin av døgumdød;taka av døgumslå ihjel;á døgum hansarai hans tidel.meðan hann var á døgummens han levede;eg havi aldri í mín dag hoyrt slíktjeg har aldrig i mine levedage hørt sådan noget før;okkara dagur er ikki uppivores dage er ikke talte endnu5bevidsthed,dagurin fór frá eygunumdet sortnede for øjnene;hon fekk ikki dagin aftur, fyrr enn góð løta var farindet varede en god stund, før hun kom til sig selv igen6i ordforb.hetta var dagur í vikudet blev en usædvanlig dag;dag sum náttdag ud og dag ind (nat som dag);dag og dagligahver eneste dag;annan dag(in)anden dag (2. juledag);fyrsta daginen af de første dage;sum fyrsta daginfrisk som en fisk,tað verður seinur dagurel.seinna dagindet vil vare længe;ein av døgunumen af dagene;dagur dettur av degien dag går, en anden kommer;enn á døgumendnu den dag i dag;fyrr á døgumtidligere, i gamle dage;dag frá degiel.dag undan degidag for dag, dag efter dag;koma fyri ein dagkomme for en dag;føra til dagsajourføre;dagliga dagshver eneste dag;taka dag(ar) (í)millumtage parti for;tað man vera ilt at taka dagar partanna millumdet er svært at tage parti for den ene af de to parter
dagvakt	(mar.)dagvagt
dagverk	dagsarbejde
dala	1dale,kavaflykrurnar dala av himlisnefnuggene dalede ned2(om lys)dæmpe, afdæmpe, neddæmpe, moderere,lampan fánarlampen dæmpes
dalbingur	person fra bygden Dalur
dalbotnur	det inderste af en dal
dalbúgvi	dalbo
dalbygd	bygd som ligger i en dal
dalda	1(om mennesker)strejfe, flakke, føjte,hví gongur tú og daldar við hasum?hvorfor går du og føjter med dette?2svinge,línan daldaði nakað nógvlinen svingede temmelig meget;fossurin daldar aftur og fram (í vindinum)3logre,hundurin daldar við halanumhunden logrer med halen
dalfinna	(biol.)klitoris, kildrer
dall	lyd, kimen,tað síðsta dallið frá kirkjuklokkuniden sidste kimen fra kirkeklokken
dalla	1bralre,slatra, sleyga og dallasladre og bralre2ringe, kime,nú dallar kirkjuklokkannu ringer kirkeklokken
dalsbotnur	det inderste af en dal
dalsifals	fjas, pjank, fjant, fjolleri, pjankeri, fjanteri, fjaseri, pjatteri,fást ikki við sovorðið dalsifalsdu må ikke beskæftige dig med sådan noget pjank;tað mesta, tey vinna, fer fyri dalsifalsstørstedelen de tjener bruges til pjank og fjas
dalsíður	1sid,ganga dalsíðurgå med for langt nedhængende buksebag2tung,hatta var ein dalsíður dagurdet var tung dag
dalsmunni	dalmunding
dalur	dal,tey gingu fram ígjøgnum dalinde gik frem i dalen
Dalur	(stedn.)bygd på Sandoy,í / úr Dali;til Dals
dalverpi	en lille dal
dama	dame, kvinde
dambla	plaske, pjaske, sjaske
daml	let plasken med årerne, langsom roning
damla	plaske let med årerne, ro sagte,so damla vit okkum norður við landinumså ror vi sagte mod nord langs stranden
damm	(leg)dam
damma	spille dam
dammborð	(leg)dambræt
dammfiskur	(mar.)fisk der opdrættes i en dam
dammstilli	havblik
dammtalv	(leg)dam
dammur	dam
dampa	damp,tað dampar úr ketlinumkedlen damper
dampari	(skib.)damper, dampskib
dampketil	dampkedel
dampmaskina	dampmaskine
dampskip	(skib.)dampskib, damper
dampur	1os2damp, røg
danadái	(bot.)slægt i kurveblomstfamilien(Senecio),loðin danadáialm. brandbæger(S. vulgaris)
danadrotning	Danmarks dronning
danakongur	Danmarks konge
danastjórn	den danske regering
Danaveldi	Danmarks rige
danda1	vippe, gynge (til leg)
danda2	1rokke, vippe,akrarnir aldaðu og dandaðu undan vindinum;báturin lá og dandaði á vágnibåden vippede i vigen;tað dandar undir mærjeg er godt vippet til efter sejlturen,(overf.)ganga dandandivære åndsfraværende;hugur tín dandar sum reki á vág2(leg)vippe, gynge,børnini dandaðu á danditræbørnene gyngede på et vippebræt
dandakelda	hængedynd
dandifjøl	vippebræt
dandiskur	dannet, kultiveret, civiliseret, velopdragen, urban,hann er ikki dandiskurhan opfører sig ikke på en dannet måde
dandisligur	ikki dandisligurutiltalende
dandisvullur	hængedynd
danditræ	vippe
danga1	(neds.,mar.)plimsoller
danga2	gå langsomt,hann kemur dangandihan går langsomt
danguldrív	i ordforb.ganga upp á danguldrívdrive den af, dandere den
danguldríva	drive den af, dandere den
dani	dansker
dank	(talesp.)i ordforb.dríva dankdrive omkring
dankuldrívari	lediggænger, dagdriver, flanør, drivert
