A,a1	1málljóð2bókstavur3nóti, tóni;A-dur, a-mol; enstrøget a kaldes kammertonensíkammertonen4hann ella tað sum kemur fyrst ella er best;han spiller på A-holdethann er á A-liðnum;har man sagt a må man sige bnú má svíða sum svøllur;han kender sit fag fra a til zhann er fullkønur í sínum yrki;fredet i klasse Afriðhalgaður5A (st) ampere; anno; avance6altjóða frámerki á akførum úr Eysturríki(Austria)7(evnafr.) argon
a2	1(bú.) 5 kg a 7 kroner5 kg fyri 7 kr (hvørt);der er 7 a 8 km til kirkentað eru einir sjey­átta km til kirkjuna2(ítr.)javnleikur, javnt;det står a firetað stendur fýra fýra, javnleikur fýra fýra3(st) a' af; ude a' detfrá sær sjálvum, á gosi4a(úr fronskum)føre noget ajourdagføra eitthvørt;holde ajour meddagføra, kunna;aproposviðmerking til umrøðuevni5(bú.) a metahelvt um helvt, helvtarbýtt, javnbýtt, fyri felags rokning;(bú.) a contoí avgjøldum, á kontu6a priori(givið) frammanundan(mótsav royndum)7(bú.) a vista-veksel sýningarveksil8í samb a la(upprá la mode de)í sama sniði sum, eins og, sum, eftir, sambært;frisure a la Cæsarhársnið sum Cæsar;a la cartesum á kortinum;a la grecquesía la grecque-bort
A/S	
A3-format	A3-stødd (pappírstødd 29, 7 x 42, 0 cm)
A4-format	A4-stødd (pappírstødd 21, 0 x 29, 7 cm)
A5-format	A5-stødd (pappírstødd 14, 8 x 21, 0 cm)
ab	(serst bú)frá, av, úr;ab fabrikav verksmiðju;ab lagerav goymslu;et parti hvede ab Århusein sending av hveiti úr Áarósael.Århus;frit ab Londonókeypis umborð í London (samheiti við fob London);ab 1. april1. apríl íroknaður
ab-	(framman fyri hjáljóðeis a-,framman fyri c, k, tab)avsøgn, avkannan, burturbeining;(td)abdiceresiga frá sær, avnokta
abacus	1(byggl.)súlupláta2(støddfr)roknifjøl; kúluramma til rokning
abandonnere	(løgfr.) sleppa, lata av hondum
abbed	(kat.) abbati, fyristøðumaður í munkakleystri, kleysturhøvdingi
abbedi	(kat.) kleysturkirkja
abbedisse	(kat.) abbatissa, fyristøðukona í nunnukleystri
abbedværdighed	(kat.) abbatatign
abbreviation	stytting
abbreviatur	styttingartekn, styttingarmerki;td&
abbreviere	stytta
ABC	1stavrað2stavingarbók, smábarnalestur3(flm)grundarlag, byrjanarstig, grundreglur;atkunne sin ABCat duga sína ABC (tá stendur ikki illa til);han kan mere end sin ABChann dugir meira enn barnalærdómin, hann er ikki føddur í gjár;sømandens ABCgrundreglur í sjómansskapi (tað, ið sjómaður í minsta lagi eigur at duga);ABC-en i kærlighedens sproggrundreglurnar í kærleikans máli
ABC-krig	ABC-kríggj; síABC-våben
ABC-staterne	ABC-londini(Argentina,Brasilia ogChile)
ABC-våben	kjarnorku-(atom-),lívfrøði-(biol-)og evnafrøði-(chem-)vápn
abdicere	(um ríkisstjóra) siga (gevael.lata) valdið frá sær; (um kong) siga kongsheiti frá sær
abdikation	avsøgn, avkannan, frásigan
abduktor	(likam.) útliðari (um vødda)
abe1	1(dý.)apa2(flm)apukattur;den ene a. får den anden tilat gabegeispi gongur millum manna, geisp smittar3miseydnað tomat4en halv a.ein hálv fløska av akvavitti5sísorteper, sende aben videre
abe2	herma eftir einum
abe3	apu-; fjantutur, skaputur, láturverdur
abeagtig	apukendur, sum minnir um apu
abeblomst	(plfr.) apublóma(Mimulus);åben a.gul apublóma(Mimulus guttatus)
abebrødstræ	(plfr.) apubreyðstræ(Adansonia digitata)
abefest	rukkuveitsla, rukkugildi
abekat	1(dý.)apa; ts. s.abe112(flm)apukattur, apuspjót, spektakkul; lapsur, mótaprinsur
abekattestreg	skálkabragd, neis, neisa;lave abekattestregergera skálkabrøgd, vinna neisur
abelignende	apu-, líkur apu
abemenneske	apumaður (millumliður millum apu og menniskju sum hildin verður at hava verið til)
