B,b	1málljóð2(bók)stavur3(tónl.)B (nóti, tóni);B-dur, b-mol4(tónl.)lækkandi forteknið b, sum lækkar tónan eitt hálvt fet5altjóðafrámerki á akførum úr Belgia
B.A.	(st.) bachelor of arts; síbachelor
Ba	(evnafr.) (st) barium
Baal	Báal
Babel	1(bíbl.)Bábel (1. Mós. 11, 9)2(fl.m.)siðleysur býur; ruðuleiki, ørska
babelsk	bábelskur síBabel2.
babelstårn	bábeltorn
babser	boppur, bróst
baby	nýføðingur, pinkubarn, reivabarn, blæubarn, kind, reivlingur, nalvungi, reiðraungi, ómæli, lítlin;hunventer en b.hon er við barn, hon er tvílívað,(tlm.)hon er upp á vegin
babyagtig	smábarnsligur
babyalarm	pinkubarnalurt
babyboom	barnabráðvøkstur, bráðvøkstur í burðartali
babyface	barnsligt andlit, dukkuandlit;(niðr.)skøndil
babylift	barnalyfta, babylift
Babylon	(fl.m.) um ørligan og siðleysan stórbý
babylonier	bábylonari
babylonisk	babylonskur, babyloniskur,(serst. bíbl.)bábelskur;b. forvirringbábelskur hurlivasi, bábelsk ørska;b. fangenskabbábelskt fangilsi
babymajs	(plfr.) pinkumajs
babyrocker	(skemt, slang)pinkuvargur
babysitning	barnaansing;(tlm.)at vera(el.sita) dadda
babysitte	vera dadda
babysitter	dadda, barnagenta, barnapíka
babysprog	barnamál
babysæl	(dý.) nósi
babytrøje	pinkubarnatroyggja
babyudstyr	barnabúnaður
baccarat	bakkarat (eitt hasard kortspæl)
Bacchus	(gudal.) síBakkus
bachelor	prógv av lærdum háskúla eftir trý ár (í DK. síðan 1989);bachelor of arts; (st)B. A. er hugvísindagreinar;bachelor of science; (st)B. S. er náttúruvísindagreinar
bachelorgrad	ts. s.bachelor
bacille	(lækn.) stavskapað bakteria, basilla
bacillebærer	(lækn.) basilluberi, bakteriuberi
back	(ítr.) bakverji, bakkur (í fótbóltiosfr.),verjuleikari
backfisch	hálvvaksin genta
backgammon	backgammon (spæl á bretti við terningum)
backhammer	(ítr.) armlás, armlæsing (í glíming)
backinggruppe	(tónl.) fylgispælarar
backlash	baksláttur
backup	(teld.)trygdaravrit
backupkopi	(teld.)trygdaravrit; trygdarmakaskjal
bacon	roykt flesk;skive b.(roykt) fleskaflís
bacongris	fleskagrísur
bad	1bað;tage (sig et) b.baða sær, fáa sær bað, vera í bað;lejligheden har tre værelser og b.í íbúðini eru trý rúm og bað;byen har fået et nyt friluftsbadbýurin hevur fingið nýtt uttandurabað;romersk b.guvubað;der er ikke noget så godt som et varmt b.einki er betri enn heitt bað2(átr.) badet og bordetskírnin og altargangurin3løgur;fotografiske badeframkalliløgur;galvaniske badegalvaniskur løgur
bade	baða, fáa sær bað, vaska sær, fara í leyg,(serst.nýføðingar) leyga; svimja (á sjónum);b. sig isolensóla sær;være badet i svedvera alsveittur;b. fra åben strandsvimja út frá opnari strond
badeanstalt	1baðihøll, bað, baðstova, baðistaður2svimjihøll
badebassin	svimjihylur svimjingarhylur
badebukser	svimjibuksur
badedragt	svimjiklæði
badegæst	baðigestur, strandagestur (á baðihotelli)
badehotel	baðihotell
badehus	skiftihús (á baðistrond)
badehætte	baðihetta, svimjihetta
badehåndklæde	baðihandklæði
badekabine	baðklivi
badekar	bað(i)kar
badekur	baðviðgerð
badekåbe	baðikápa
badelagen	(nýtt eftir bað ella á strondini) stórt handklæði
bademester	baðvørður (í svimjihøll)
badering	svimjiringur
badesalt	baðisalt
badesanatorium	baðheilsubótarstøð
badested	bað(i)staður
badestrand	baðistrond
badesæbe	baðsápa;flydende b. uden parfumeflótandi angaleys baðsápa
badesæson	baðiárstíð
badeulykke	svimjivanlukka
badevand	baðivatn;(fl.m.) kaste barnet ud (el.bort) medbadevandetbeina fyri onkrum virðismiklum (tá ið okkurt verður burturbeintel.broytt)
badevægt	baðivekt
badeværelse	bað(i)rúm, baðstova
badge	bringuskelti (við herrópio.tíl.á)
badland	(jarðfr.) illlendi (oyðilendi, sum er berkað og gjøgnumgrivið av regni)
badlands	(jarðfr.)badlands el. ørkenområderilllendi
badminton	(ítr.) fjaðurbólt, badminton
badmintonbold	(ítr.) badmintonbóltur
badmintonketsjer	(ítr.) badmintonketsjari
badolje	baðolja
badstue	baðstova, leygarhús (til russiskt og finskt guvubað)
badulje	(gl) deila, deiling, skersla, illstøða, rumbul;helebaduljenalt sum er; øll somul
badut	(ítr.) springe b. lopfjalalop
badutspring	(ítr.) lopfjalastøkk
badutspringer	(ítr.) lopfjalaleypari, lopfjalastøkkari
Baffinsbugten	Baffinsflógvi
bag1	1bak, ryggur;(fl.m.)have mange år på bagenhava nógv ár á baki, vera gamal2afturpartur, rassur, setur3(á knívi) bakki;bagen på en knivbakkin á knívi;bagen af håndenhandarbakið
bag2	bakstur, bakkulsi;er det dit eget b.er hetta heimabakað; hevur tú bakað
bag3	aftan, aftan fyri, fyri aftan- A.sumfshun stod b. dørenhon stóð aftan fyri hurðina;hun har en broget fortid b. sighon hevur livað eitt samfingið lív;føre én b. lysetvillleiða, lumpa- B.sumhjaftanfyri, (á skipi) aftur, afturi;b. kulisserneaftan (fyri) leiktjøld; í duldum, í loyndum;b. scenenaftan fyri pallin;b. efter hamaftan á honum, honum á baki;den ene b. den andenhvør í hølunum á øðrum;gå b. af dansendragna afturúr;de løb om b. ved husetteir runnu aftur um húsini;komme b. på énkoma óvart á ein; taka ein á bóli;hvad ligger der b. hans afslaghvat hevur hann í kvittanumel.hvat býr undir, nú hann sýtir;for og b.framman og aftan;march tæt b. hinandenganga tætt á træðri;stå b.skipa fyri;(bú.) skrive b. påáskriva, tilbekja, ábekja;skrive sig det b. øretleggja (sær eitt) í geyma, minnast;(fl.m.) han er ikke tabt b. af en vognhann er ikki føddur í gjár, hann er ikki komin tvørur í heiminel.ikki roykrotinel.ikki skolaður út av látriel.ikki fyri ongum
bagage	viðføri, viðførningur, ferðagóðs, ferðaviðføri
bagageboks	viðførisboks, viðførissmoga
bagagebærer	viðførisberi (á súkklu)
bagagenet	viðførisnet
bagageopbevaring	viðførisgoymsla
bagageplads	viðførispláss, viðførisstaður
bagagerum	viðførisrúm (í bili)
bagagerumsklap	bakfjøl
bagageudlevering	viðførisútflýggjan
bagagevogn	viðførisvognur, viðfestivognur
bagaksel	(tøkn.) bakásur, afturásur
bagatel	smálutur, okkurt smávegis, smámunir, smáputl, viðfáningur;hænge sig i bagatellerat vera smámuninel.smámunaligurel.smáskygdur, krøkja seg í smálutir;det er en b. formighatta er einki fyri hjá mær;en ren b.einki fyri; einki upp á seg;tal ikke om det, det er en ren b.hatta er einki at tosa um;hans litterære forsøger kun bagatellerbókmentaligu royndir hansara eru bara viðfáningur
bagatelagtig	smávegis, smámunaligur, pinkulítil, elalítil
bagatellisere	lítilsgera, lítilsvirða, lítilsmeta, undirmeta, fara lættliga um, gera lítið burturúr, tala vanvirðisliga um, ikki meta sum nakað serligt;mansøgte at b. farenroynt varð at fara lættliga umel.lítilsmeta vandan
bagben	afturbein, afturfótur;(fl.m.)sætte sig påbagbeneneseta seg upp ímóti
bagbinde	bakbinda, fjøtra
bagbord1	(sigl.) bakborð
bagbord2	(sigl.) tværs om b. tvøran um bakborð;læggeroret b.leggja róðrið í bakborð;til b.um bakborð;have land om b.hava land um bakborð;kahyttener i bagbord(s) sidekahúttin er bakborðsmegin, kahúttin er í bakborð;han havde køje i b.hann hevði koyggju í bakborð, hann hevði bakborðskoyggju
bagbords	(sigl.) bakborðs;han drejede hovedet til højreind mod land i b. retninghann snaraði høvdinum til høgru inn móti landi í bakborð
bagbordslanterne	(sigl.) bakborðsljós
bagbordsside	(sigl.) bakborð
bagbordsvagt	(sigl.) bakborðsvakt, stýrimansvakt, bestamansvakt
bagbutik	bakkrambúð (krambúð aftan fyri vanligu krambúðina)
bagdel1	afturpartur, endi, rumpa, dintil, gumpur, rassur, arsur, reyv
bagdel2	vansi (móts.fordel)
bagdækning	(herm.) afturlið
bagdør	bakdyr;holde en b. åbenhalda bakdyr opnar;(fl.m.) viser man ham ud ad fordøren, kommerhan ind ad bagdørenvísir tú honum høvuðsdyrnar, kemur hann inn ígjøgnum bakdyrnar
bage	1baka;b. brødbaka breyð;(fl.m.)slå størrebrød op end man kan b.gera ov nógv av; taka munnin ov fullan2(um sólarhita)solen bagteel.bagedesólin bakaðiel.glæsti;blive bagtel.baget i solenvera bakaður í sól;n lhsumldet er bagende varmttað er kolandiel.bakandi heitt
bageevne	(um mjøl) bakievni
bageform	bakiformur, kakuformur, formur
bagefter	aftaná, eftir;komme drattende b.koma darlandi aftaná; ov seint; seinni, síðan; omaná; í eftirstøðu, afturúr, aftanfyri;være langt b. med sit arbejdeonga leið vera komin við arbeiðinum, vera langt afturúr við arbeiðinum;(ítr.) to mål b.tvey mál færriel.aftanfyri;det er for sent at angre b.ov seint er at iðra seg aftaná
bageovn	bakarovnur, bakiovnur
bagepappir	bakipappír
bagepensel	bakipensil
bageplade	bakipláta
bagepulver	bakipulvur
bager	bakari
bagerbutik	bakarí, bakarabúð
bagerbørn	(fl.m.)give b. hvedebrødgeva bóndans børnum kjøt
bageri	bakarí, bakaravirki, bakivirki
bagermester	bakarameistari
bagerst	aftastur, (tveir) aftari;vi sad på bagerste rækkevit sótu á aftasta raðiel.bonki
bagersvend	bakarasveinur
bagfjerding	afturfjórðingur (á flettum dýrakroppi)
bagflik	hælur
bagflikke	leggja upp undir hæl
bagfra	aftan, aftanífrá;begynde b.byrja aftanífrá;grebetb.baktikin, tikin aftanífrá, tikin bakleiðis
baggade	bakgøta (móts.hovedgade)
baggang	bakgong; móts..forgang
baggrund	1grund, botnur, botnlitur;på b. af dissebegivenhedervið hesum tilburðumel.hendingum í huga;begivenhederne er trådt i baggrunden imin bevidsthedtilburðirnir eru kámaðir í huga mínum;de ædle helte virker grelt på b. af desorte skurkeheiðurligu hetjurnar tykjast áleypandi aftur ímóti illmennunum;god b. fornogetgott at byggja á; gott støði undir;ridsebaggrunden opgreiða í høvuðsheitum frá umstøðunum;murren i baggrundenmurran aftanfyri;træde i baggrundenhalda seg aftan hurðarbak, vera aftan hurðarbak2baksýni;i baggrunden af billedet ses en dørí baksýninum áel.aftast í myndini er ein hurð3bakstøði, grundarlag; støði;de har en fælleskulturel b.tey hava felags mentanarligt grundarlagel.støði, tey hava somu mentan
baggrundsforskning	støðisgransking (støðið undir frálæru)
baggrundsmateriale	(tekst)grundarlag
baggrundsmusik	tónleikur aftanfyri
baggrundsprogram	(teld.) bakforrit
baggrundsstråling	umhvørvisgeisling, baksýnisgeisling (frá Brestinum Mikla)
baggrundsstøj	(sjónl.) larmur aftanfyri (leiktjald)
baggrundstælling	tað at telja umhvørvisgeisling (í kjarnalisfrøði)
baggrundsviden	støðiskunnleiki
baggællesnegl	(dý.) baktáknusnigil (Opistobranchia)
baggård	bakgarður;bo i en b.búgva í bakgarði
baggårdslejlighed	bakgarðsíbúð
baghave	bakgarður
baghjul	(tøkn.) bakhjól, afturhjól
baghjulsbremse	(tøkn.) bakhjólsbremsa, bremsa á afturhjólum
baghjulsophæng	(tøkn.) bakhjólsfesti
baghjulstræk	(tøkn.) bakhjólsdráttur, afturhjólsdráttur
baghold	slys, slysálop;ligge i b.liggja í slysi;lokke i et b.lokka í slys;(fl.m.) skud fra b.illa fyriskipað roynd;angribe én fra b.leypa á úr slysi;falde i b.falla í slys
bagholdsangreb	slysálop
baghoved	nakki;få et slag i baghovedetverða sligin í nakkan;have noget i baghovedethava eitthvørt ómedvitað í huga; hava okkurt niðurvið, vera lúnskur
baghus	bakhús (sum stendur aftan fyri hús, ið horvir móti gøtu)
baghånd	afturhond; handarbak;(ítr.)(í tennis) handarbaksslag;(kortsp.)bakhond;være i b.sita í bakhond;(fl.m.) have noget i baghåndenhava eitthvørt til at taka;(fl.m.) en trumf i baghåndenein trumf til at taka;(fl.m.) have en overraskelse ibaghånden (uml.)mangir leikir eru í longum talvi;(fl.m.) komme i b. med nogetkoma í afturhond við einum, vera eftirbátur
baghåndsslag	handarbaksslag
bagi	í aftan, í afturpartin(um);et spark b.spark aftaní
Bagindien	Fjarindia
bagkant	(flogm.) veingjarafturtrom, jarki
bagkappe	(tøkn.) (í skógvi) hælkappi
bagklog	eftirsnarur, eftirráðin;det er lettere at være b.end forklogbetri er at vera fyrivarin enn eftirsnarur
bagklogskab	eftirsnarleiki, eftirráð;hans holdninger bar prægaf b.hansara hugburður bar dám av at hann var eftirsnarur
bagklædning	bakklædningur, bakstykki, aftura lúka, baklúka
bagkrop	(á dýrum) afturkroppur, døv
baglader	(herm.) bakløðari
bagland	(herm.) upplendi;baglandet for en havnlendið uttan um eina havn;(fl.m.) sikre sig baglandetunder en forhandlingtryggja sær stuðul undir samráðing;det er godt at have et godt b. nårman er syggott er at hava góðan stuðul tá ið tú ert sjúkur
baglanterne	(sigl.) hekkuljós
baglem	afturlimur, afturfótur;b. på sælfit, fitja
baglokale	bakhøli, bakrúm, rúm aftanfyri
baglomme	baklummi, reyva(r)lummi;(fl.m.) have enoverraskelse i baglommenhava okkurt óvart til at taka, taka fólk á bóli
baglygte	bakljós, afturljós
baglys	bakljós
baglæns1	eftir hæli;i b. løbrenna eftir hæli
baglæns2	aftureftir, aftur eftir hæli, afturav, bakleiðis;tageen b.taka ein bakleiðis;bevæge sig b.fara aftur eftir hæli, hopa eftir hæli;køre b.bakka; koyra aftureftir;læne sig b.leggja seg afturav
baglås	baklás; ísamb. døren er gået i b.hurðin er farin í baklás;(fl.m.)fara í baklás, læsast;(t.d.um samráðingar) standa í botni;på grund afpartiernes uenighed er sagen helt gået i b.av ósemju flokkanna millum er málið farið í baklás
bagmand	bakmaður; stuðulsmaður;der må være en b.har stýrir onkur, har skipar onkur fyri, onkur togar í træðrirnar
bagmandspoliti	bakmansløgregla
bagmandsvirksomhed	bakmansvirksemi
bagning	baking, bakstur
bagom	afturum,fordøren var lukket så jeg måtte gå b.úthurðin var læst so eg mátti fara afturum
bagover	afturav, afturá, aftur á bak; (aftur) eftir hæli;gå b.af forbavselsefara (aftur) eftir hæli av undran, detta uppeftir av bilsni, gerast ovfarin
bagparti	afturpartur;(sk.)gumpur
bagperron	(byggl.) bakpallur
bagpote	(dý.) afturlabbi
bagpå	aftan, aftanfyri, aftanífrá, aftur, afturí, bak;sidde b.sita aftanfyri;(fl.m.)komme b.gera bilsnan, koma óvart á, taka á bóli
bagrem	(dýralfr.) lærfetil í týggjum; lærreim í aktýggjum
bagrude	bakrútur
