C,c	1bókastavur2(tónl.)C, nóti, tóni;C-dur, c-mol3rómverskt taltekn, C =1004(st) celcius, coulombogcarbon5(st) centel.centime6(st) cirka
c/o	
Ca.1	síkalcium
ca.2	
cabriolet	1tvíhjólaður rossavognur við skjóli2gamalt bilaslag við kalessju
cache	kovi, goymslustaður;(eis. teld)kovi, forminni(t.d.til harðdisk í teldu)
CAD	(teld.) (st) Computer Aided Design teldustuðlaðir formar (snið og formar, gjørd við teldum;t.d.til maskinur og bygningar)
caddie	(í golfi) snøllur [-ll-] (ein, sum ber kylvurnar)
cadeau	vinagerð, vinaváttan; kurteisi;det var en c. tilmig, at festen blev udsat, til jeg kom hjemtað var vinagerð móti mær, at veitslan varð freistað, til eg kom heim
cadmium	síkadmium
caesium	blágrønur
caespitosa	túrak
cafe1	kaffi við heitari mjólk
cafe2	kaffistova, kaffihús
cafeteater	el.-teatret, -teatrekaffileikhús (leikhús, har borðreitt verður, tá ið sýningar eru)
cafeteria	kafeteria, sjálvtøkumatstova
cairnterrier	(dý.) kairnterriari (hundaslag)
calcium	(evnafr.) calcium, kalsium
calciumklorid	(evnafr.) kalsiumklorid
caldera	(jarðfr.) spreingigosker
California	Kalifornia
californier	kaliforniabúgvi
californisk	kaliforniskur
calisthenics	(ítr.) vakurleikafimleikur (enskur konufólkafimleikur)
callgirl	skøkja (ið ringt verður eftir)
calmettevaccination	(lækn.) kalmettukoppseting (fyri tuberklar)
caloric	svenskur punsur
calvados	kalvados (franskt súreplabrennivín)
calvinisme	kalvinstrúgv, kalvinisma (Jean Calvin 1509­64 fransmaður, sum virkaði í Sveis)
calvinist	kalvinsmaður
calvinistisk	kalvinskur
calvinsk	kalvinskur
calypso	kalypso (dansur)
calypsorød	kalypsoreyður, korkareyður
calzone	kalsona (samanløgd pizza (hálvmánasnið) fylt við skinku og osti)
CAM	(teld.) (st) Computer Aided Manufacturing teldustuðlað virking (verður brúkt at stýra arbeiðsgongd,t.d.tá ið bilar verða framleiddir)
Cambodja	(sern., landafr.)Kambodja
cambodjaner	kambodji
cambodjansk	kambodiskur
cambric	kambrik (tættvovin hvítur líndúkur)
Cambridge	Cambridge
camembert	ostaslag
Cameroun	(sern., landafr.)Kamerun (ríki í Vesturafrika)
camerouner	kameruni
camerounsk	kamerunskur
camouflage	hyljing; dulbúnaður, hyljingarbúni; skálkaskjól;soldaterne anvendte grene som c. påkanonernehermenninir brúktu greinar at hylja kanónirnarel.goturstykkini;(fl.m.) hendes godehumør var blot en c. for hendes tunge sindgóða lagið á henni var bara skálkaskjól fyri tunga sinni hennara
camouflere1	hylja, fjala; dylja, loyna;camoufeleredeolietankehuldir oljutangar;(fl.m.) hans venligespørgsmål var et camoufleret angrebhansara vinaligu spurningar vóru duld álop
camouflere2	hylja, krógva, fjala; dulbúgva
camp	uppgjørdur, fjákutur, grunnur (um listaligan hugburð)
campere	tjalda, búgva í tjaldiel.húsvogni, vera á legu
campet	uppgjørdur, fjákutur
camping	tjalding, tjaldlega
campingbil	húsbilur
campingplads	tjaldstaður, tjaldingarstaður
campingvogn	húsvognur;feriere i c.halda frí í húsvogni
campist	tjaldbúgvi
campus	skúlaøki, øki;byggeri på universitetets c.bygt verður á økinum við lærda háskúlan
Canada	(sern., landafr.)Kanada
canadagås	(dý.) øshvít gás(Branta canadensis)
canadier	kanad(iar)i
canadisk	kanadiskur
canasta	kanasta (kortspæl)
cancan	kankan (slag av dansi)
cancer	(lækn.) krabbamein, krabbi, krabbavøkstur
cancermetastase	(lækn.) krabbameinsfrávøkstur
cand.	fyrri liður í heitum sum(t.d.) cand. mag., cand.scient. osfr;(ein ið hevur staðið prógv á lærdum háskúlael.samsvarandi høgum stovni)
cand.act.	
cand.agro.	
cand.art.	
cand. brom.	
cand.comm.	
candela	kandela eind fyri ljósmegi,stcd
cand. geom	
cand. hort.	
cand. jur.	
cand. lact.	
cand. ling. merc.	
cand. mag.	
cand. med.	
cand. med. vet.	
cand. merc.	
cand. merc.aud.	
cand. merc.cems.	
cand. merc. int.	
cand. negot.	
cand. odont.	
cand. oecon.	
cand. pharm.	
cand. phil.	
cand. polit.	
cand. polyt.	
cand. psych.	
cand. pæd.	
cand. scient.	
cand. scient.adm.	
cand. scient. oecon.	
cand. scient. pol.	
cand. scient. soc.	
cand. silv.	
cand. tech. soc.	
cand. theol.	
candyfloss	vattísur, sukurvatt
cannabis	1(plfr.)indiskur hampur(Canabis)2kannabis (hasj, marijuana)
cantabile	(tónl.) syngjandi (sum kann verða sungið)
cantaloup	(plfr.) kantalupmelón(Cucumis melocantalupensis)
canyon	(jarðfr.) gjógv, glyvur, gjóta
canzone	(tónl.) vísulag, songlag (við orðumel.ongum orðum)
cape	(stutt)kápa, (stuttur) møttul (ofta úr feldi)
Cape Town	Høvdastaður, Kappabýurin
capo	umaftur!, einaferð afturat!
cappella	(tónl.) sía capella
cappuccino	cappuccino (sterkt kaffi við guvukókaðari mjólkel.róma í)
capriccio	(tónl.) tónlistarverk í frælsum formi
caraiber	karibari
caraibisk	karibiskur;Det caraibiske HavKaribiahav
carambole	stjørnufrukt (Averrhoa carambola)
caravan	sícampingvogn
carbon	(evnafr.) kolevni (frumevni)
carbondioxid	(evnafr.) koltvísúrevni
carboxylsyre	(evnafr.) carboxylsýra
cardigan	opnatroyggja, kardigan
cardigansæt	opnatroyggjusett, kardigansett
care of	(staddur, býr) hjá, verður borið til;(st) c/o
cariere	(tannlfr..) brenna (um tenn)
caries	(tannlfr..) tannabruni, tannarot, hol í tonnunum;med c.við brendum tonnum; (um tenn)hærgesaf c.brenna illa, vera illa brendar
caritas	bróðurkærleiki
cariøs	(tannlfr..) brendur, holuturcarnet-et, -stollpass til bilar
carnet de passage	tollloyvishefti til akfør við gildi í fleiri londum
carpe diem	brúka tíðina, meðan hon er; lat ikki høvið gleppa tær av hondum; nýt lívið, áðrenn ov seint er
carport	bilskýli
carrageentang	(plfr.)karageentari(Chondrus crispus)
carte blanche	veita óavmarkaða heimild, geva fríar ræsur, geva fríar hendur;man gav arkitekten c.b. til at udstyre husetarkitekturin fekk fríar hendur at búgva húsið
casanova	konufólkarevur
case	(sálfr.) sjúkudømi, sjúkutilburður; stakføri; sjónleikur, har hugsað dømi verður leikt sum lærifyridømi
case-story	(sálfr.) sjúkudømissøga; ófyrireikaður leikurt.d.um rættarmál; heimildarfrásøgn
case-study	(sálfr.) sjúkudømiskanning
case-work	(sálfr.) sjúkudømisarbeiði
castrum doloris	líkkistupallur(serst.til ríkfólk)
casu	síincasa
CAT	teldustuðlað týðing
catalina	katalina (flogfar, sum kann lenda á sjógvi og landi)
catering	matveitingar, vistaveitingar;SAS c.SAS vistaveitingar
catgut	(lækn.) tarmstrongur, viljatráður (skurðtráður úr seyðavilum; brúktur til innvortis skurðviðgerð)
causa	(løgfr.) rættargrund
causere	práta, sussa, tosa, hugleiða
causeri	løtt grein, lættur fyrilestur, hugleiðing
causør	undirhaldshøvundur
cayennepeber	(plfr.) keyennupipar
CB	
CD1	diplomatliðið
CD2	
CD3	
CD-afspiller	(tøkn.) fløguspælari
CD-I	(teld.)(st) compact disc interactivesamvirkin fløga
CDN	altjóðafrámerki á kanadiskum akførum
cd-rom	(teld.)teldufløga;(st) compact disc read-onlymemory
CD-station	(teld)fløgustøð
C-dur	(tónl.) C-dur
CD-V	(teld.)(st) compact disc videomyndafløga, sjónfløga
ceder	(plfr.) sedristræ, sedrisviður(Cedrus deodara)
cedertræ1	(plfr.) sedristræ
cedertræ2	sedrisviður;bordet var indlagt med c.borðið var lagt við sedrisviði
cedille	krókur (í neðra á bókstavi;t.d.ç)
celeber	kendur, gitin, víðagitin, viðgitin, navnframur; fínur, frægur, tignarligur, navngitin, stásiligur; hátíðarligur;en c. personkent fólk;en c. middagfínur døgurði;celebert selskabfínt gildiel.fylgi
celebrant	(kat.) selebrantur (maður, sum í katólskari kirkju lesur messu)
celebrere	(kat.) hátíðarhalda; einans ísamb. c. messehalda messu; messa
celebritet	víðagitið fólk, gitiðel.kent fólk; navnframi
celesta	(tónl.) selesta (ljóðføri líkt klaveri, við stálstongum í staðin fyri streingir)
celle	1klivi, fangaklivi, myrkastova, einseta, einsetuvarðhald; svøvnklivi; kleysturklivi; smárúm;arrestanten faldt til ro i cellentann handtikni sissaðist í klivanum;munken sad i sin c. og skrevmunkurin sat í klivanum og skrivaði;de dødsdømtes c.klivi teirra deyðadømdu;bierne fyldte deres celler med honningbýflugurnar fyltu sínar klyvar við hunangi2(lívfr., lækn.)kykna;hjernecelleheilakykna;alle dyr og planter er opbygget af cellerøll dýr og allar plantur eru bygd av kyknum3(stjmfr.)sella (grundeindin í kommunistiskum flokki)4(teld.)puntur(serst.í rokniørkum)
celleafsnøring	(lívfr.) kyknusnidran (í vakstargarði)
celleblære	(lívfr.) kyknubløðra
celledannelse	(lívfr.) kyknugerð
celledeling	kyknubýti;formere sig ved c.fjølgast við kyknubýti
celleformet	(lívfr.) kyknuskapaður
celleforskning	(lívfr.) kyknugransking
cellegift	(lívfr.)kyknueitur;cellegiftsbehandlingkyknueitursviðgerð
cellehenfald	(lívfr.) kyknufelli
cellekammerat	klivfelagi
cellekerne	(lívfr.) kyknukjarni
cellelære	(lívfr.) kyknufrøði
cellemellemrum	kyknuglopur
celleskifter	(ravm.) laðskiftari, battarískiftari
celleslim	(lívfr.) kyknuflot
cellet	(lívfr.) kyknaður, kyknutur
cellevæg	(lívfr.) kyknuveggur
cellevæv	(lívfr.) kyknuvevnaður
cellist	(tónl.) selloleikari
cello	(tónl.) sello
cellofan	(evnafr.) glarpappír, meykarglæra
celluloid	(evnafr.) træningur
cellulose	1(evnafr.)viðarmeyk, træni2(plfr.)sellulosa
celluloselak	(evnafr.) meykarlakk
celsius	selsius;vandet fryser ved 0 grader c.vatnið frystir, tá ið tað er 0 stig celsius;(st) C
cembalist	(tónl.) kembaloleikari
cembalo	kembalo
cement	sement
cementere	sementa, stoypa;en cementeret gårdstoyptur garður;(fl.m.)innsigla, styrkja, verja, staðfesta; læsa;den lille strid cementerede kun deresvenskabhasin kurilin styrkti bara vinalag teirra
cementering	styrking, verja, staðfesting, festing;(fl.m.)staðfesting; læsing
cementfabrik	sementverksmiðja
cementmørtel	steinlím;udfylde med c.fylla við steinlími
cementslam	sementgrugg
cementstøber	stoypari, sementstoypari
cendre	jarpur(serst.um hár), øskulittur
censor	próvdómari; ritskoðari; brævskoðari; eftirlitsfólk;fremmed c.próvdómari uttaneftir;c.der skal sikre ensartet standardeftirlitsfólk, sum skal tryggja fyrisett mát;han var c. i tysk vedstudentereksamenhann var próvdómari í týskum til studentspróvtøkuna
censorat	próvdómarastarv
censorkorps	próvdómaralið
censorregister	(løgfr.)censorregister for testamenter og ægtepagtermiðstøð fyri testamenti og hjúnasáttmálar
censur	1eftiransing, eftirlitunder krigen var aviserne under c.undir krígnum vóru bløðini undir eftirliti; sensurur2ritskoðan, brævskoðan3próvdøming, dómur, vitnisburður;et kvarter efter eksamen faldt censureneitt korter eftir próvhoyringina fall dómurin
censurere	1hava eftirlit við2ritdøma, ritskoða, skoða3próvdøma, døma
censurkomité	dómsnevnd (á framsýning)
