D,d1	1málljóð;det hårdeel.lukkede dlokaljóðið d;det blødeel.åbne dtrongaljóðið d2bókstavur3(tónl.)D (nóti, tóni);D-dur, d-mol4rómverskt taltekn, D = 5005(bú.) dbretsk stytting fyri penny6altjóðafrámerki á týskum akførum(Deutschland)7(st) dominusHarrinel. dominiHarrans
d.2	1(st) den2(st)II. død
da.	
da1	- A.sumhjtá ið, tá; av tí at, við tað at; meðan, um tað mundið, ta ferðina, tá á sinni, tá í tíðini;lige d.júst tá, beinanvegin tá ið, beint tá ið;hvad d.hví ikki;uha d.for ólukkan, dekilin taki, huff, huff;d. det kom til stykkettá ið av tornaði, tá ið samanum kom;indtil d. havde jegikke været sygfyri ta tíð hevði eg ikki verið sjúkur;netop d.júst tá;nu og d.av og á- B.sumsbtá, tá ið, meðan;nu d.nú ið;nu davejret var til det, drev man fiskerinú ið viðraði, róðu teir út;d. han ikke selv kunne komme,sendte han....av tí at hann kundi ikki koma sjálvur, sendi hann....
da2	(í víðkaðari merk); so meðni, íðan;hold d. helt op!tvætl í teg!;ja ja d.!ja ja, alt í lagið!; tú gert, sum tú vilt!; tað kann (væl) vera!;nu og d.av og á, stundum, viðhvørt;nå, d. d.!oy!; oy!, hvat sigur tú!, hvat sigur tú!;nå d.!hygga síggj!;så sku' d. fanden stå i detillanstíð, tramanstíð;sådan d.so toliliga;når han ikke er sømand, hvad er han daer hann ikki sjómaður, hvat er hann so;nej d.!nei, nú lýgur tú!, ádú allarsøtasti!;hvad vil De d. have mig til at gøreíðan, hvat vilja tygum hava meg at gera;det ved du d. nokmen tað veitst tú; det var d. mærkeligtløgið kortini;jeg er d. ligegladfyri mína skyld kann hann bara verða verandi;fy d.tú skuldi skammast, tú mátti havt skomm av tær
DA3	
dacapo	(tónl.)frá byrjan; uppafturtøka, endurtøka, róp um uppafturtøku;hun spillede d.c.hon spældi umaftur;publikum råbte: d. c.áhoyrarafjøldin rópti: umaftur
dacaponummer	eykalag; lag, sum verður spælt umaftur
dada	(barnam.) brestur, fleingja
dadaisme	dadaisma (rák í myndlist og bókmentum sum tók seg upp í 1915; upployst í 1922; úr dadaismuni spratt surrealisman)
dadaist	dadaistur (ein, ið tekur undir við dadaismuni)
daddel	(plfr.) dadla
daddelblomme	(plfr.) dadlublomma(Diospyros kaki)
daddelkerne	dadlusteinur
daddelpalme	dadlupálmi(Phoenix dactylifera)
dadel	1brek, lýti, last, skamm (nú bara ísamb.) enridder uden frygt og d.óræddur og lýtaleysur riddari2atfinning, ábreiðsla, átala, skortfleingja, nasasjógvur;der vankede både ros og d.har vóru bæði rós og atfinningar
dadelfri	lýtaleysur, sum ikki kann verða lastaður
dadelværdig	lastverdur, atfinningarverdur, verdur at lasta
dadle	lasta, brigða, finnast at, átala, geva ábreiðslu, kasta einum fyri;d. énfinnast at einum, geva einum ábreiðslu;ikke d. én for nogetikki siga ein illan fyri eitt;jeg må i højeste grad d. din ubesindighedeg fari av álvara at átala tíni óráð
dadlelysten	sum dámar væl at lasta, sum er skjótur at finnast at, atfinningarsamur
dadlesyg	
dafnie	(dý.) æti (ymisk sløg av smáum krabbadýrum, sum liva í vatni(Cladocera dafnia)
dag-	dag-, dagligur, samdøgur-
