E,e	1málljóð2bókstavur3(tónl)E-dur, E-mol4(st) europavej5(st) enhed6(st)altjóðafrámerki á bilum úr Spania(Espania)7(st)eftirlitsmerki (á lidnum vørum, sum borgar fyri, at nøgd eftir vørulýsing er í)
EAN	(st) European Article Numberevropeiskt vørumark (sum er gjørt við grindli, og undir tí tøl, ið eyðmerkja upprunaland og virki, og lýsa
eau decologne	kølnarvatn
e. b.	(st) efter bemyndigelsevið heimild (vísir, at tann, ið skrivar undir bræv fyri ein annan, hevur heimild til tess)
ebbe1	1fjøra;flod og e.flóð og fjøra;det er e.tað er fjøra;blive e.fjara;ved e.á fjøru;så langt som e. og flod gårso langt sum fløðir og fjarar, sjóvarmáli;øen har landforbindelse ved e.gangandi er til oynna tá ið turrfjarað er2(fl.m.) der er e. i kassenkassin er tómur;have e. i kassenvera sørurel.vera á troti (við peningi)
ebbe2	fjara;e. udfjara burtur; doyggja út, linka, minka;hans liv ebbede udhann fánaði burtur, hansara lív fjaraði burtur;teatersæsonen ebberudsjónleikatíðin er farin at halla
e-bog	ravbók, e-bók
e-bogslæser	ravlesifjøl, e-lesifjøl
ebonit	hert gummi, ebonitt
EC	ts. s.EuropæiskUnion (st) EUEvropiska Samveldið(st)ES
eccehomo	(bíbl.) síherer maðurin (Jóh. 19, 5); mynd av Kristusi tornakrýndur
echappere	rýma, flýggja
echaufferet	flt-edeheitur, (upp)østur;hun ser meget e. udhon tykist uppøst;vi må blive lidt for at afkøleos, for vi er så echaufferedevit mugu steðga og svala okkum á, tí vit eru so heitir
echelon	(herm.) (hernaðardeildir skipaðar soleiðis, at allar kunnu skjóta frameftir)
eclat	fynd, flog, glansur; tyngd;han talte med en vis e.tað var flog yvir tí, hann segði
ecrufarvet	óbleiktur, ólitaður, gulligur
EC-tog	evrobýartok (snartok millum teir stóru býirnar í Evropa)
Ecuador	(sern., landafr.)Ekvador (ríki í norðara parti av Suðuramerika)
ecuadorianer	ekvadorbúgvi, ekvadori
ecuadoriansk	ekvadorskur
ed.	útgáva, útgevari
