F,f	1málljóð2(bók)stavur3nóti, tóni;F-dur, f-mol; f-nøgle(basslykil,móts.g-lykil)4(st) Fahrenheit5(málfr.) (st) femininum6(tónl.) (st) forte7(st) og følgende; side 3 f.bls. 3 og fylgjandi; síeis.ff8(st) for9(st) født10altjóðafrámerki á akførum úr Fraklandi
fa	(tónl.) fa (fjórði tónin í durstiganum)
fa.	
fabel-	fábul-, sagnkendur, sagnvorðin
fabel	1fápil, dømisøga2(fl.m.)skrøggsøga, pentasøga, skvaldur, skrøgg;det er kun en f.hatta er bara ein søga, hatta er bert skrøgg; (um fólk)blive en f.gerast sagnarhetja, gerast sagnkendur; tiltak;han erblevet en f. for hele byentikið verður til hansara um allan býin3fápil, fápla, hendingagongd (í skaldaverki);fablen i skuespillet er lånt fra et gammelt sagnfápilin/fáplan í leikinum er lænt úr gamlari søgn
fabelagtig	undranarverdur, ævintýrakendur, ótrúligur;defabelagtigste historiertær ótrúligastu søgurnar;det er dog en f. pris for så lidt!tað var tó ein ótrúligur prísur fyri so lítið!;en f. prisframúr prísur;han spillede fabelagtigt!hann leikti framúrskarandiel.framúr væl!;han er f. righann er ótrúliga ríkur
fabeldigter	dømisøguskald, fábulskald
fabeldyr	hugadýr (dýr, ið bara er til í fólkatrúgv)
fable	møsna, skjaldra, skvaldra, penta saman, bjórafablea-enel.-et,einkifltfablea (tilfar til bókabind, taskuro.a.)
fabrik-	sífabriks-
fabrik	verksmiðja, virki, ídnaðarvirki
fabrikant	verksmiðjueigari, virkiseigari
fabrikat	ídnaðarvøra
fabrikation	virking, framleiðsla, tilbúningur, vørugerð, verksmiðjuverk
fabrikationsfejl	framleiðslubrek, virkingarbrek;varer med f.vørur við framleiðslubreki, virkingarbreki
fabrikationshemmelighed	ídnaðarloyndarmál
fabrikationspris	virkingarprísur, framleiðsluprísur
fabrikere	virka, gera, smíða, vinna;f. på stribevirka á træðri; spræna út;f. tekstilervirka klæði
fabrikering	virking, gerð, vørugerð
fabriks-	verksmiðju-, virkis-; arbeiðs-
fabriksarbejder	verksmiðjuarbeiðarifabriksarbejder(ske)-n, -rverksmiðjukona
fabriksassistent	verksmiðjuhjálpari
fabriksbestyrer	virkisstjóri, verksmiðjustjóri
fabriksdrift	virkisrakstur
fabrikseftersyn	virkiseftirlit, virkisumsjón
fabriksejer	verksmiðjueigari
fabriksfløjte	verksmiðjufloyta, verksmiðjulúður
fabriksfremstille	verksmiðjugera, gera í verksmiðju;t lhsumlfabriksfremstilletverksmiðjugjørdur
fabriksgaranti	verksmiðjuváttan
fabriksingeniør	virkisverkfrøðingur
fabriksinspektør	virkiseftirlitsfólk (tænastumaður, ið hevur eftirlit við, at lógin um arbeiðaravernd verður hildin)
fabrikskylling	búrhøsn
fabrikslovgivning	(løgfr.) verksmiðjulóggáva, lóggáva um arbeiðaravernd
fabriksmærke	vørustempul, virkisfrámerki
fabriksmæssig	ídnaðarligur, ídnaðar-, verksmiðju-
fabriksny	nýggjur, óbrúktur;f. knallertnýtt prutl
fabrikspris	verksmiðjuprísur
fabriksrullet	keypt sigarett
fabriksskorsten	verksmiðjuskorsteinurfabrikstilsyn-et, -0verksmiðjuumsjón
fabriksvare	ídnaðarvøra
fabulant	skrøggari
fabulere	penta (saman), bjóra (saman), skrøgga, siga hugfloygt frán lhsumlen fabulerende stilháfloygt snið
fabulering	skrøgg, samanpenting, samanbjór
