G,g	1málljóð(málfr) det blødeel.åbne gtrongaljóðið g, mjúkt g(spirant); det hårdeel.lukkede glokaljóðið g(klusil)2bókstavur3(tónl) G-dur, G-mol, G-nøgle4(st) gram5(st) gymnasieklasse6G(st) giga-7(st)rómverskt talteknG t.e.400
Ga	
gab	1gap, kjaftur, gákur; geisp;døren står på vid g.dyrnar standa upp á víðan vegg;med et stort g.lagde han sig tilbage i stolenvið einum hjartaligum geispi legði hann seg afturá í stólin2(fl.m.) dødens g.deyðans føvningur;gå lige iløvens g.ganga (seg) beint í úlv(s)ins kjaft;smidenoget i gabet på énnøgta ein;det teknologiskeg. mellem U. S. A. og Europatøkniligi dýpiðel.munurin millum USA og Evropa;gabet mellemde to landes forskningskapacitet er vokset støtmunurin millum granskingarførleikan í báðum londunum er alsamt vaksin3munni (áar-, fjarðar)
gabardine	(klæði) vaðmalsvond (oftast eftirviðgjørd til at tola vætu)
gabe	1gapa; geispa; gána, bína;g. af kedsomhedgeispa av ringum huga;stå og g.standa og gána;(fl.m.) påtage sig mere end man kan g.overkanna sær ov stóran bita, átaka sær meira enn ein megnar2sumlgabendegapandi;gabende sårflika, opið sár, skrædl;her er en gabende tomhedher er gapandi tómleiki, her er endaleysur tómi, her er so tómligt, her er oyðið og tómt
gaben	gapan; geisp; gánan, bínan
gabestok	1(gl)gapistokkur (revsiamboð vanliga ein peli við jarnhelsiel.jarnhespu har ránsmenn vóru sýndir fram á almennum stað);sætteel.stille i g.seta í gapistokk2(fl.m.); revsa; gera til láturs, háða
gabesyge	(gl) (dýralfr.) (hjá fugli) gapisjúka;(lækn.)geisparið, geispakrampi
Gabon	(sern., landafr.)Gabon (lýðveldi í Miðafrika)
gaboneser	maður íel.úr Gabon
gabonesisk	gabonskur, íel.úr Gabon
gade	1gøta, vegur;blind g.blindgøta, botngøta;g. med ensrettet færdseleinvegisgøta;gå g. op og g. nedganga oman og niðan gøturnar;feje g.sópa gøtur;handle på gadenselja á gøtuni, ganga hurð av hurð og selja;hen ad gadenniðri í gøtuni;på åben g.á opnari gøtu;trække på gadendyrgja á gøtuni;værelse til gadenrúm (ið vendir) út ímóti gøtuni2(fl.m.) på gadenheimleysur, á gøtuni;der er sjov i gadentað er lívligt á gøtuni;manden på gadenHanus og Janus, vanligi maðurin;stå på gadenstanda á gøtuni, ikki hava tak yvir høvdið;blive sat på gadenverða koyrdur úr íbúðel.húsi, missa hús og heim
gadeagitator	útirøðari
gadebekendtskab	1(um konufólk) flogsa, túnateys2fólk ið ein er komin at kenna á gøtuni, fólk ið ein kennir leysliga
gadebetjent	løgreglumaður
gadebørn	gøtubørn, geilabørn, heimleys børn
gadedreng	ótangi, túnadrongur
gadedrengeløb	(ítr.)kætislop
gadedrengestreger	ótangagerð;lave g.gera ónáðir
gadedør	úthurð, høvuðsdyr
gadedørsnøgle	úthurðarlykil
gadefejer	gøtusópari
gadegøgler	gøtuskemtari; gøtuíspegil, gøtugyklari
gadehandel	handla á gøtuni
gadehandler	gøtuseljari, gøtusølumaður
gadehjørne	gøtuhorn, geilarhorn; vegamót
gadeinterview	(sjónv.) útiviðtal (samrøða við fólk á gøtuni)
gadekryds	1krossvegur, vegamót2(fl.m.)(um hund) blandhundur
gadekær	(í bygd) tjørn
gadelygte	gøtulykt
gademylder	gøtumyldur
gadeoverskæring	vegamót, krossvegur
gadepige	flogsa, túnateys
gadeplan	ísamb.viðpå g.á gøtuni;videresalg afmorfinpiller som på g. har en værdi af femmillioner kronerframboð av morfintablettum, sum á gøtuni hava eitt 5 millióna virði
gadespejl	gøtuspegil
gadesælger	gøtuseljari
gadeteater	gøtuleikur, gøtusjónleikur (sjónleikháttur við framsýningum har fólk eru savnaðt.d.á gøtum og torgum)
gadetøs	túnateys, flogsa­
gadeunge	ótangi; gøtubarn, heimleyst barn
gadeuorden	gøtuófriður
gadevise	túnavísa (vísa ið er um gerandishendingar; ætlað almenninginum og sungin á gøtum og torgum)
gaffatape	gaffateyp
gaffel	1gaffil;(landb.)kvísl, hoytjóvur;(sigl.)gaffil;(herm.) bringe et mål i g.skjóta seg inn á málið2(óvand.) prøve at få steg på gaflenroyna at skutla sær eina steik (renna eftir konufólki),Strola;Ssætte gaflen i nogetskaffa eitt, gogga í eitt, krøkja eitt;I kan få gaflen i 1200 læsereved at sætte et flot billede på forsidentit kunnu skaffa 1200 lesarar seta tit eina flotta mynd á forsíðuna3eis.ísmst (t.d.) åregaffeláragaffil,telefongaffeltelefongaffil
gaffelben	(dý.) (á fugli) samanvaksið óstbein
gaffelbidder	sildabitar, gaffilbitar (slag av kryddsild)
gaffeldeling	klovningur, tvígreining
gaffeldelt	tvígreinaður, farin í tvíningar, klovin;blive g.greinast, klovna
gaffelform	greining, grip, klov
gaffelformet	tvígreindur, klovin, kloyvdur
gaffelløfter	(tøkn.) gaffillyftari
gaffelnøgle	(tøkn.) gaffilllykil, fastalykil
gaffelsejl	(sigl.) gaffilsegl
gaffelske	gaffilskeið
gaffelstabler	(tøkn.) gaffillaðari
gaffeltopsejl	(sigl.) gaffiltoppsegl
gaffeltruck	gaffiltrukkur
gaffelvogn	(tøkn.) gaffilvognur
