h. a.	el.hujus annií hesum ári
HA1	vinnubúskaparligt prógv; útbúgving í vinnubúskapi
HA2	vinnubúskaparfrøðingur
ha3	
ha4	ha!, há!, haha!;ha (ha) tænkte jeg det ikke nok!ha, ha mundi eg ikki altíð halda tað! mundi tað ikki vera hatta!ha (ha), nu forstår jeg det hele!ha, ha nú skilji eg alt!
habanera	(tónl.) habanera (kubanskur-spanskur dansur)
habeat	fast taki honum
habengut	ognarlutir, ogn, eigindómur; alt sum er; stórt sum smátt;han gik med hele sit h.hann fór við øllum, hann átti
habil	1dugnaligur, dugandi, dugiligur (væl)skikkaður, hagur2(løgfr.)gegnigur, luttøkuførur; loyvdur
habilitere	gera skikkaðan til, geva førleika, geva heimild, heimilda;h. siggera seg skikkaðan til
habilitet	1dugnaskapur, dugni, føri, førleiki2(løgfr.)gegni, luttøkuføri; málføri, málsræði
habilitetsmangel	(løgfr.) gegnisbági;speciel habilitetsmangelserstakur gegnisbági
habit	klædningur, klæði, búni
habitat	(dý., plfr.) lívlendi, búøki, vakstrarstaður, umhvørvi, tilhald;kålormens habitat er kålbladetkálblaðið er vakstrarstaðurin hjá kálormi; (stundum brúkt ombiotop)
habituel	1vanabundin, vanligur2(lækn.)hava til vana(t.d.at smakka sær ríkliga á(alcoholismus habitualis),eitt nú tænari á vertshúsi, hvat ikki nýtist at bila;abortushabitualiskona, sum ferð eftir ferð hittir reis)
habitus	ali, lyndi, vera, mura, evni, eginleikar, eginmenska, tæri, tilstøða;hans udtalelser erkarakteristiske for hele hans åndelige h.tað hann sigur, eyðkennir hansara andliga tæri
hachis	(um mat) prikkakjøt (malið kjøt í brúnari sós)
hacienda	garður, bóndagarður(serst.í Suðuramerika)
hacker	(teld)teldusníkur (ein sum ólógliga fer inn á teldukervi hjá øðrum)
hacking	(teld) innbrot í teldukervi, teldusníking
