I,i1	1málljóð2bókstavur;det satte prikken over i'ettað fullfíggjaði verkið3rómverskt talteknI ts.s.14altjóðafrámerki á akførum í Italia5(st) jod(frumevni)6(st) indsprøjtningsmotor
I2	dutú;(hvønnfoghvørjf) jertit;(hátíð) eder, edersel.jer (jert, jere)tær;det er lettere for ham end for jer andretað er lættari hjá honum enn hjá tykkum;de er stærkere end Itey eru sterkari enn tit;jeg traf ham før jereg møtti honum áðrenn eg sá tykkum;jeres hus er smukthús tykkara eru vøkur
i3	- A.sumfsi aften í kvøld;i aftesel.i går aftesí gjárkvøldið;han var her i gårhann var í gjár;i morgesí morgun;i forgårsfyrradagin;i dagí dag;i årí ár;i fjorí fjør;i de sidste to årtvey tey seinastu árini;i to timer(í) tveir tímar;i alttil samans, samanlagdur;det blev 50 kr. i alttað erfaldí hvussu er;jeg kommer i alt fald ikkeeg komi ið hvussu er ikki;hun er lidt for kraftig i dethon er heldur hyldlig;i flængupp á gjøt, hvørt um annað, í blendi; hissini burturúr; fyrilitaleyst;jeg kender ingen her i gadeneg kenni ongan her í grannalagnumel.her á garðinum;i ham har du en god venhann er tær hollur;i det hele og storesum heild;hænge fast i nogetvera áfastur við;i hele sin længdeeftir allari longdini;i og for sig er han dygtigí sjálvum sær er hann dugnaligur;være i gangvera í gongd;i og med dette års tilvækst vil befolkningstallet være fordobletvøksturin hetta árið taldurel.roknaður uppí verður fólkatalið tvífaldað;bruge mælk i kaffenbrúka mjólk út í kaffið;sukker i tesukur í te, sukur aftur í te;have noget i sindehava eitt í huga;han kommer i stedet for mighann kemur (í staðin) fyri meg, hann kemur í mín stað;gå i ståsteðga (upp);slå i stykkerbróta;i øvrigtannars, aðramáta;i videst muligt omfangmest møguligtel.gjørligt- B.sumhjsynke i til halsensøkka upp undir øsið, fara undir hendur, fara næstan undir kav;hænge istríðast;falde idetta útí;springe ileypa útí;stemme iseta íel.taka undir (at syngja);skænke i (glasset)skeinkja uppí;sætte i med et skrigskera í róp;har I været i (vandet)hava tit verið útií;vil du have fløde ivilt tú hava róma útí;en pung med penge ipungur við pengum í;kommeel.være i med énvera at einari (kvinnu kynsliga);lukke døren ilata hurðina aftur
IA	(st) intelligensaldervitevnisaldur
IAEA	(st) International Atomic Energy AgencyAltjóða kjarnorkuráðið
iagttage	eygleiða, eygbera, eygfara, hyggja at, líta at, skoða, ansa (eftir), varnast, vara eftir, sketta eftir, gáa eftir, geva einum gætur, geva gætur eftir einum, gæta; njósna, kóla, krána, sneita; halda(t.d.reglur);i. dyrenes liveygleiða dýralívið;(fl.m.) han iagttog visse reglerhann helt ávísar reglur;(fl.m.) iagttage tavshedtiga
iagttagelse	eygleiðing, viðraking, eftirgáan, athyggja; kannan, kanning; gætur; hald;i. af reglerhalda reglur;jeg gjorde en interessant i.eg rakti við okkurt áhugavert;gøre sine iagttagelservarnast ymiskt, ansa einum, gáa eftir einum;som hvilerpå iagttagelsersum er grundað á eygleiðingar
iagttagelsesevne	eygleiðingarevni
iagttager	eygleiðari
IATA	Altjóða Loftferðslufelagsskapurin
iatrogen	sum stendst av læknanumel.viðgerðini
ib.	
ibenholt	svartviður; íbinviður (ættinDiospyros); sort somi.svartur sum íbinviður
iberegne	rokna uppí, telja uppí, telja við, taka við;serst.t lhsumliberegnetíroknaður, taldur við, tikin við;50kr. alt iberegnetdividendenbýtispeningur taldur uppí;jeg selviberegneteg sjálvur íroknaður
iberer	(sø.) iberari (íbúgvi í Iberia)
Iberien	Iberia(Spania fyri rómverjatíð)
iberisk	iberiskur;Den iberiske halvøIberianes (Spania og Portugal)
iberisk skovsnegl	(dý.)morsnigil (lat.Arion lusitanicus)
ibid.	á sama stað (nýtt tá ið endurgivið verður úr somu bók fleiri ferðir í staðin fyri at útgreina kelduna hvørja ferð)
ibis	(dý.) -er (dý.) bognev; nilaríbis(Threskiornisaethiopicus)
iblande	blanda saman, blanda uppí;mel iblandet klidmjøl blandað við sáðir
iblanding	íbland, bland, blandingur
iblandt	oghjsíblandt
iblødsætningsprogram	(á vaskimaskinu) blotskrá
iboende	(um menniskjaligar eginleikar) íborin, sum liggur í, sum liggur í blóðinum, natúrligur, viðføddur;i. egenskaberviðføddir eginleikar;ensjælen i. længselein longsil ísálfr.;en legemet i.driftí kroppin íborin trá
ibrænde	brenna í;serst.t lhsumlen kasse ibrændtfabrikkens mærkekassi við verksmiðjumerki íbrendum, kassi verksmiðjumerkið brent niðurí
ibskal	(dý.) jákupsskel(Pecten jacobaeus)
icecream	rómaísur
IC-tog	
id1	(skaldsk.) ídni, íðinskapur, virki, gerð
id2	(sálfr.) id, `tað' (í sálarfrøðini hjá Sigmundi Freud tann ótilvitaði parturin av sjálvmenskuni, ið er bundin at frumtørvum)
ide,idé	1hugskot, hugbirting, hugsan, ætlan, innskot, hugs(t.d.vit fáa okkurt hugs burturúr);god i.frálíkt hugskot, hugbirting, innskot;han fik en lys i.hann fekk eitt frálíkt hugskot;jeg synes, ideen er godeg haldi tað vera frálíkt hugskot;hvad er det for en i.hvat hugsar tú fyri tær;sikken en i.(sum gleppur úr einum) hvat hugsar tú fyri tær;stjæle ens ideernápa hugskot frá einum;udkaste idéen til et foretagendeleggja fram2hugmynd, hugfesti, hugarensl, hugfang, ímynd;besat af en i.einhugsin;fiks i.heilakast, hugfesti, einøði (tað at vera sjúkliga bundin at einari hugsan, einum lutiosfr.);ikke den fjerneste i. omikki hava hóming av;du gør dig ingen i. om, hvor gerrig han ertú dugir ikki at hugsa tær, hvussu natin hann er;(heimsp.) hestens i.ímynd rossins (hugsað ross, sum bara hevur eginleikar sum øll ross hava)3grundregla, hugsan;det strider egentlig mod parlamentarismens i. at have en mindretalsregeringtað er í royndum í andsøgn til tingræðishugsanina at hava minnilutastjórn
ideal1	hugsjón, fullkomin ímynd; fyrimynd; stavnhald, stevnumið, hugmál;danne sig idealergera sær fyrimyndir, hava hugsjónir;han var drengens i.hann var fyrimyndin hjá dreinginum;højeste i.fullkomnasta ímyndin;slå af på sine idealerslaka við hugsjónunum
ideal2	fyrimyndarligur, lýtaleysur, fullfíggjaður, fullkomin; hugsjónarligur;det ideale samfundfullkomna samfelagið;cirklen er den ideale figurkringurin er tann fullfíggjaða myndin
idealbillede	fyrimynd
idealisere	fyrimynda, gera fullkomnan;i mindet idealisererman ofte fortidení minninum fyrimyndar ein sær ofta fortíðina;han ser hende i idealiseretskikkelsehann sær hana sum fullkomna
idealisme	1hugsjón, hugsjónarandi, hugstevna; sjálvgloymska, ósjálvsøkni;blåøjet i.býttislig sjálvgloymska;ingen tvivler på hans i.eingin er í iva um hugsjónir hansara;en brændende i. gavhende kræfter til at gennemføre sagengløðandi hugsjónarandi veitti henni mátt at fullfíggja málið2(heimsp.)hugsjónarstevna (læra og heimsáskoðan, sum skoðar hugmyndina, andan og tilvitskuna sum tað týdningarmesta; listarák, ávirkað av hesi fatan)
idealist	hugsjónarfólk
idealistisk	hugsjónarligur, hugsjóna-; aðalborin, aðalsinnaður; ósjálvsøkin
idealitet	hugsjónaskapur
idealprincippet	(sálfr.)hugmyndarmeginreglan
idealsamfund	fullkomið samfelag
idealscore	(í golfi) fyrimyndarskoring;et huls i.fyrimyndarskoringin hjá einum holi (tað høggtal iðvanl.krevst fyri at fáa bóltin í holuna)
ideassociation	hugasamband, hugmyndasamband
idebank	hugskotsbanki
idedrama	hugmyndaleikur, hugmyndaleikrit (leikur sum letur ávísa hugmynd seta dám á leikgongdel.leikaralýsingar)
ideel	1fyrimyndarligur, stakgóður, frálíkur, merkis-;deter en i. løsning på problemettað er stak góður máti at loysa málið, soleiðis skal málið verða loyst2hugsjónarligur, hugsjóna-;ideelle motiverhugsjónarligar atvoldir;hans bevæggrunde eruden tvivl ideellegrundir hansara eru ivaleyst hugsjónarligar
ideforladt	hugmyndasørur, innantómur, andleysur, keðiligur, leiðiligur, andsørur, hugmyndaleysur
idegrundlag	hugmyndarstøði
idegruppe	hugskotsbólkur, framtaksbólkur
idehistorie	hugmyndasøga (aðalhugsjónir ið sett hava dám á ymisk tíðarskeið søguliga lýst)
idekatalog	el.-en, -erhugskotsskrá
idekonference	ts. s.brainstorming
idel	einskærur, reinur, berur, ósvíkiligur;i. glædeber gleði
idelig	íðiligur, støðugur, áhaldandi, endaleysur, altíð og stund, javnt og samt;idelige beklagelserendaleys gremjan-sumhji. gentagnetilnærmelseríðuligt og áhaldandi fjepp
ideløs	hugtómur, hugsørur, hugleysur;for øjeblikket erjeg ganske i.í løtuni eri eg rættiliga sørur við hugskotum, í løtuni veit eg einki dugi eg einki at siga;den idéløse jagt efter succeshugleysa jagstranin eftir eydnu;stykkets handling varganske i.gongdin í leikinum var rættiliga hugtóm
idemand	hugskotssmiður(t.d.á lýsingastovu)
identificerbar	sum kann eyðmerkjast, sum kennist
identificere	1eyðmerkja, gera av hvør ein er, sanna hvør ein er, kenna, áseta;politiet identificerede hamsom den eftersøgteløgreglan eyðmerkti hann sum tann leitað var eftir2i. sig medgerast eitt við, sameina seg við, liva seg inn í, samlíkjast við;skuespillerenidentificerer sig med den person, hanfremstillersjónleikarin samlíkist við tað fólk, hann myndar
identificering	eyðmerking; samlíking, innliving
identifikation	eyðmerking; samlíking, innliving;identifikationsbevissamleikaprógv
identisk	eins, samlíkur, samvorðin, samur, (um skjal) einsljóðandi;bogens hovedperson er i. medforfatterenhøvuðspersónurin í bókini er høvundurin sjálvur;betragte A som værende i.med(el.et med) Bjavnseta A og B;muslingensskaller er identiskeskeljarnar á kræklingi eru samar
identitet	samleiki; einleiki, líkleiki;man fastslog straks hans i.samleiki hansara varð staðfestur beinanvegin
identitetskort	samleikakort;(st) ID-kortel.id-kort
identitetskrise	samleikakreppa;ord som fremmedgørelse ogidentitetskrise opstod samtidig med atCPR-numrene gjorde navne overflødigeorð sum fremmandgering og samleikakreppa tóku seg upp um somu tíð sum persónstølgjørdu nøvn óneyðug
identitetsløs	samleikaleysur
identitetsvidne	(løgfr.) samleikavitni
ideografi	orðteknabrúk
ideografisk	orðtekna-;i. skriftorðteknaskrift
ideogram	orðtekn (tekn, ið mynda orð,t.d.tal, prosent, grein, skrifttekn); ts. s.piktogram
ideolog	(stjmfr.) hugmyndafólk, hugmyndafrøðingur, ideologur
ideologi	(stjmfr.) hugmyndafrøði, ideologi;liberalismens i. er udformet af Adam SmithAdam Smith hevur myndað ideologiina hjá liberalismuni;forfatterens i. er præget af hans religionhugmyndafrøðin hjá høvundinum er ávirkað av gudstrúgv hansara
ideologikritik	(stjmfr.) hugmyndavandni (í marxistiskum samfelagsástøðiserst.atfinning ímóti sambandinum millum tær følsku hugmyndir sum eitt fólkel.ein tjóð hevur og tey veruligu viðurskifti,serst.búskaparlig áhugamál, ið stýra hesum)
ideologisere	(stjmfr.) i. sine standpunkter snara støðu síni móti hugmyndafrøðini
ideologisk	(stjmfr.) hugmyndafrøðiligur
iderig	ráðsnarur, skjóttonktur, uppfinningarsamur, hugmyndaríkur, hugkvæmur;en energisk og i. bestyrelseeitt virkið og uppfinningarsamt stýri
