J,j	1málljóð2bókstavur3(st) Jod4(st) Joule
ja1	ja, jaorð;han svarede med et klart jahann svaraði við einum greiðum ja;hun gav ham sit jahon játtaðist honum;mit ja er så godt som hans nejmítt ja er eins gott og hansara nei, míni orð eru eins eftirfarandi og hansara;ja og amenja og amen
ja2	1sum játtandi svar;sig nu jasig nú ja, játta nú;sige jajátta, sig ja, taka við(el.ímóti);ja netop!júst tað, júst so, jú soleiðis er!;er han egnet tilhvervet? jeg mener jaer hann skikkaður til starvið? tað haldi eg2(í viknaðarimerk); jeg kan først komme imorgen; ja, så kan det ikke nytteeg kann ikki koma fyrr enn í morgin; íðan so gerst einki;ja ogamensíamen3(herðandi);der er hundrede ja mange fleretað eru hundrað enntáel.jú so nógv fleiri4(fyrileggjandi treytar- og viðgongusetningar)ja,var det sommer rejste vijú, hevði tað verið um summarið høvdu vit farið;ja det er en anden sagja tað er nakað heilt annað5(ymssamb.) ih jasjálvandi, so sanniliga, so vissuliga;ja absolut (uml.)ja so avgjørt, ja vist;ja,det kan du bande på!ver vísur í tí!;ja ja da!ja ja meðni!, íðan so, meðni; tú gert sum tú vilt! gjarna! jú! tað kann væl vera!ja endogja enntá;ja, den er go' med dig!okkurt sigur tú!;ja janú so!, nú, á ja;ja, det må du nok sigepúra samdur (við tærel.teg);ja, det skal jeg love for hangjorde!jú tað gjørdi hann, tað er ikki um at tala!;ja, det skulle jeg menesjálvandi, so sanniliga, so vissuliga, tað skal eg ætla;ja sånú so, so, ája, eg skilji;ja takjú takk;ja veleg skilji;ja vistja vist, ja so avgjørt, av sonnum, sanniliga; veruliga;vissuliga; í roynd og veru;ja,værsgojú ger(ið) so væl
jabiru	(dý.) jøvurstorkur(Jabiru mycteria)
jack	(tlf.) hólkur; proppur; enskt eyknevni á matrósum
jacketkrone	kápukrúna
jackpot	1(í eydnuspæli og poker) stórvinningur2(fl.m.)óvæntað hepni
jacta est alea	(fl.m.) nú vendist ikki aftur, nú má svíða sum svøllur
jade	(jarðfr.) jada, játa, játusteinur (grønur gimsteinur)
jag	1skundur, tuskan;vi havde et j. for at fåarbejdet færdigtvit totaðust at fáa arbeiðið frá hondini;hektisk j.hurran, hávasták2(lækn.)flog, stingur (av pínu);han mærkede etj. i benethann fekk ein sting í beinið; hvøkkur, rykk
Jagannatha	Jagannata(upprí indiskari trúarlæru heiti á heimsins harra)
