K,k	1málljóð2bókstavur3(postm.)postumdømi í Keypmannahavn;københavner med Kkeypmannahavnari við K4(st) kelvin5kodet6(st)Köchel7rómaratal fyri 2508(st)kalium
K/S	
kabale	1(um kort) kabál(a);kabalen går opkabálan gongur upp;lægge kabaleleggja kabálu2(fl.m.)lokabrøgd, svikaráð, loyniráð, ráðagerð
kabalekort	kabálukort
kabaret1	1kabarett (lítil matstova við undirhaldi)2teiti, kabarett (undirhaldið á tílíkari matstovu, meðan fólk eta);politisk k.politiskt teiti
kabaret2	kabarett (morgunmatarborðreiðing á fati, smárættir ella viðskeri eru hvør í síni deild)
kabaretfad	kabarettfat (fat ið kann verða snarað; nýtt tilmorgunmatarborðreiðing)
kabaretforestilling	teiti(t.d.ólavsøkuteiti)
kabaretsanger	kabarettsangari
kabaretteater	teitisleikhús, kabarettleikhús
kabbala	(átr.) kabbala (miðaldar jødisk trúgv)
kabbalist	dulvitringur
kabbalistisk	dularfullur
kabbeleje	(plfr.) sólja(Caltha)
kabel	1kaðal, kápil;optisk k.ljósleiðarakaðal2tjúkkur veirur
kabelbane	rennistrongur, kaðalbreyt
kabelbrønd	kaðalbrunnur
kabelfjernsyn	kaðalsjónvarp
kabelgarn	(sigl.) tráður í togi, táttur
kabellægger	kaðalleggjari
kabellængde	kaðallongd (mátieind á sjónum; 1/10 fjórðingt.e. uml 185 m)
kabelskib	kaðalskip
kabelslået	(sigl.) kápullagdur
kabeltelegram	kaðalfjarrit
kabeltov	(sigl.) trossi, endi
kabeltracé	kaðalrás
kabel-tv	kaðalsjónvarp (antennubákn verða send ígjøgnum kaðal, sum sambindur fleiri sjónvørp í einum øki við miðstadda móttøkuantennu)
kabine	1klivi, smárúm; rúm, sovirúm2(flogm.)ferðamannarúm3(sigl.)skiftirúm (í baðstovu)
kabinepersonale	(flogm.) flogtænastufólk
kabinescooter	kabinuskutari, skjólskutari
kabinet	1kamar, klivi; stova2húsi til ymisk tól(t.d.ur, sjónvarps-el.útvarpstól)3í útlondum (ríkis)stjórn, ríkisstýri; stjórnardeild, stjórnarráð
kabinetflygel	stovuflygil
kabinetsregering	(sø.) ráðharrastýri
kabinetssekretariat	kongsskrivstova, hovskrivstova
