L,l	1málljóð2(bók)stavur3(st.)rómverskt talteknLts. s. 504(st.) large II.5altjóðafrámerki á akførum úr Luksemborg6(st.) lire7(st.) lov8í latínskum plantu- og dýranøvnum ts. s. Linné (svenskur náttúrugranskari 1707­1778)9(st.) liter
l0.	(st.) linie el.linje
la1	(tónl.) la (sætti tónin í durtónastiganum)
la2	la (endurtikið tá ið lag verður sungið einsamalt)
la3	síII. a
lab	1hond, labbi(serst.á bjørn); (um stóra hondeis.)lálla2(fl.m.) suge på labbenhjálpast við lítið;Ikommer nok til at suge på labbentað man fara at verða svangligt hjá tykkum; tit munnu fara at bíta nøtir
lab.	(st.) laboratorium
laban	jassur, stavnur, vittuggi, bakbeist, bartrog, ókrút, ótangi, búrhundur, skálkur, skarnsungi, skarnsvætti, forherðingur;din l.títt vittuggi
labanalder	ótangaár, sleppingsaldur
labanstreg	ótangagerð, skálkabragd, skálkagerð; frekleiki, nasadirvi
labbe1	sníkja seg, sníkjast; skjølka, hólka, hólpa
labbe2	1leppa; slafsa;l. i sigleppa í seg, slafsa í seg2(fl.m.)sita undir hvørjum orði;han labbedehvert ord i sig som hun sagdehann sat undir hvørjum orði hon segði
laber	1(veðurfr.)(um vind) linligur;l. briselítið lot;l.kulingandøvsgul;l. vindlot2eiggiligur;en l. larveein steik
labial1	(ljóðfr.) varraljóð
labial2	varra-
labialisere	(ljóðfr.) mynda ljóð við at runda varrarnar
labil	skiftandi, (eis.løgfr.) óstøðugur, støðuleysur, vinglutur, ójavnur, óálítandi, hvørvlyntur; skiftandi sinnalag (móts.stabil); han er noget l. af karakterhann er heldur óstøðugurel.støðuleysur;et labilt begrebsveimandi hugtak
labilitet	(eis. løgfr.) skiftandi sinnalag, óstøðuleiki, støðuloysi
labiodental	(ljóðfr.) tannvarra-
laborant	starvsstovuhjálpari, rannsóknarhjálpari
laborator	starvsstovustjóri
laboratoriepraksis	starvsstovusiður, royndarstovusiður
laboratoriesikkerhed	starvsstovutrygd, royndarstovutrygd
laboratorieøvelse	(í skúla) starvsstovuvenjingar
laboratorium	starvsstova, royndarstova, rannsóknarstova, kanningarstova
laborere	gera royndir, rannsaka, kanna, eftirkanna, granska, royna
labrador-retriever	(dý.) labrador-retrievari
labsalve	(sigl.) tjøra;skrabe og l. skibsbundreinsa/skava og smyrja botnin á skipi
labsalving	(sigl.) skrabning og l. af skibsbund tað at skrava og smyrja botnin á skipi
labskovs	1(í matgerð) kjøtvevjingur (verður úr smáum kjøtbitum o. ø.)2(fl.m.)fløkja, hurlivasi, vavgreytur, vavstur;artiklen er blevet en underlig l.greinin er vorðin ein vavgreyturel.hurlivasi
labyrint	1villiniborg(villingasom fløkja av gøtum), troyinborg, treyinborg,(sø.)vølundarhús2(likam.)klingruvasi (partur av innoyranum)3(fl.m.)hurlivasi, fløkja;en l. af korridorer ogsmårumein hurlivasi av gongum og smáum rúmum
labyrintisk	fløkjaligur, fløktur, torgreiddur, tvørligur, kronglutur
lad1	last(t.d.á bili), lað; gólv í kornløðu
lad2	latur, dovin, makligur, dølskur;ligge på den ladesideliggja ikki á løgg, spilla tíðina burtur;hanligger ikke på den lade sidehann spillir ikki tíðina burtur
ladcykel	vørusúkkla (súkkla hjá býdrongi at koyra vørur út til viðskiftafólk við), laðsúkkla
lade1	1løða, hoyløða, kornløða, hoyggjhús;høet erkommet i l.hoyggið er innkomið;(bíbl.) sanke i l.bera saman í løður (Matt. 6, 26)2(fl.m.)fáa til høldar
