M	1málljóð2bókstavur3rómverskt talmerkiM(úr latínimille= 1000)4(st.)metur; m2ts sfermetur; m3ts srúmmetur5mega-(st.) monsieur6Maltjóðafrámerki á akførum úrel.av Malta7(st.) m.ts. s.med; kælder m. arbejdsrum
M,m	
M/F	(st.) motorfærge
m/k	(st.) mand eller kvinde mannfólk ella konufólk
M/S	(st.) motorskib
m/sek	(st.) meter i sekundet metrar í sekundið
M/T	(st.) motortankskib
m/u	(st.) med eller uden við ella við ongum
mA	(st.) milliampere
M.A.A.	(st.)Medlem afAkademiskArkitektforening limur í danska akademiska arki tektafelagnum
maar	(jarðfr.) spreingigoshol
machete	skógarknívur, masketa /-t eta/ (stórur knívur við breiðum blaði)
machiavellisme	1machiavellisma (politisk uppfatan sum heldur uppá, at stjórnarvaldið hevur (altíð) rætt og tí skyldu at nýta øll tøk ráð at fremja ætlanir sínar)2machiavelliskur politikkurel.machiavellisk mannagongd
machiavellist	machiavellistur; símachiavellisme
machiavellistisk	1machiavelliskur (stjórnarvaldinumel.valdshavanum er alt loyvt at røkka málum sínum;`hensigten helliger midlet'`tilætlanin halgar tólið' ert.d.machiavelliskt hugtak)2samvitskuleysur, eirindaleysur, fyrilitsleysur, sum ikki hevur fyrilit
machmåler	machmálari, machmát
macho1	(oftaniðr.)maður, ið altíð roynir at bera seg at sum rættur maður
macho2	(oftaniðr.)sum ber seg at sum rættur maður, kallmansligur
machtal	machtal (gevur lutfallið millum flogferð og ljóðferð)
macon	macon (reyttel.hvítt bourgognevín)
mad1	matur, kostur, føði, føðsla; máltíð; æti, át(t.d.tað er einki át í einum smáseiði), krás, vist;m., der fylder megetbúkfylla (við lítlum føðsluvirði);elendig m.hungursføði;varm m.heitur matur;m. og drikkematur og drekka;m., der ikke spises med skeátumatur;m., der spises med skesúpimatur;god m.góður matur, hetta slær ikki falskar mentir (í teg);har fuglene (fiskene) fået m.?hava fuglarnir (fiskarnir) fingið?, hevur tú givið fuglunum (fiskunum)?;har køerne fået?eru neytini ambætað, hevur tú lagt fyri kúnna?;har fårene fået?hevur tú givið seyðinum?;vil du have noget m.?vilt tú hava okkurt at eta, ert tú svangur?;lave m.matgera, gera mat, kokkast;han laver god m.hann dugir væl at matgera, hann er góður kokkur;sætte maden på bordetborðreiða;uden at få m. eller drikkevið turran munn, við turra tonn;en bid m.matarbiti, matarmoli(t.d.ikki matarmoli í húsunum)
mad2	breyðflís, smørklíningur
madaffald	rusk, burturkast, drav, avnotir, avrisp
Madagaskar	(sern., landafr.)Madagaskar (stórt oyggjarríki í ein landsynning úr sunnara parti av Afrika)
madagasser	madagaskarbúgvi, fólk íel.úrel.áelav Madagaskar
madagassisk	madagaskiskur, sum er íel.úr Madagaskar
madam	(niðr.)kona;en skrap m.ein brita;(skemt.) m.Blåkaffikanna
madame	(skemt.)frúgv, frúa (tittul framman fyri navnið á giftari konu í franskmæltum londum);hvordanhar m. det?hvussu hevur frúan tað?, hvussu livir frúan?, hvussu veit frúuni við?(t.d.frúa hjá arbeiðskonu)
madamme	símadam
maddike	1(kál)ormur; matmaðkur; ormvera;summendelyd fra maddikermaðkatos2(fl.m.)bleikt og feitt fólk, neyðarsligur maður, ómenni
maddikebefængt	maðketin, fongdur við maðkum, tað skríður skarpt
madding	agn, beita,(noaorð)biti, útgjar;sætte m. påegna
made1	láglendi, fløta
made2	mata (ein), geva einum (mat);m. et barngeva barni;m. med skegeva við skeið
madeiravin	madeiravín
mademoiselle	frøkun, ungfrú (tittul nýttur framman fyri navnið á ógiftum konufólkum í franskmæltum londum)
madforgiftning	mateitran
madglad	matligur, matglaður, matfróur, matfegin, matgóður, matin, matigur;m. personmatvinur
madglæde	matgleði
madinteresseret	matáhugaður, sum hevur áhuga fyri mati; sum dugir væl at gera mat
madjord	velt jørð, bøur
madkasse	matskrín, matkassi
madkender	matkennari, ein, ið hevur gott skil á mati
madkultur	matmentan(t.d.í ymsum londum)
madkulør	brúningur, matlitur
madkurv	matkurv, mattæga
madkær	matligur, matglaður, matfróur
madkæreste	(sø.)drongur, matdrongur (hjá tænastugentu)
madkæresteri	(sø.)matkærleiki (kærleiki, ein letst hava fyri einum//einari við tí í hyggju at fáa fyrimun burturúr)
madlavning	matgerð;daglig m.daglig matgerð;kokkepige tildaglig m.køksgenta til dagligu matgerðina
madlede	eingin matarlystur, matleiði
madlugt	matarroykur
madlyst	matarlystur
madlysten	sum hevur góðan matarlyst
madmor,madmoder	(gl.)matmóðir, húsmóðir
madning	tað at geva einum, mating
madolie	olivinolja, matarolja
madonna	1Maria moy2fløskuupplatari
madonnaansigt	einglabrá, vakurt sakleyst andlit, gentuligt andlit
madonnabillede	mariumynd
mados	hjararoykur, matarroykur
madpakke	matpakki
madpapir	matpakkapappír, pergamentpappír
madras	madrassa, metta;sove på blød m.sova á bleytari madrassu
madrester	avlop, leivdir,(serst.av fiski) rut, rusk, fiskarut, fiskarusk
madrigal	1(tónl.)madrigalur (miðaldarligur lýriskur yrkingarháttur)2(tónl.)madrigalur (stuttur verðsligur fleirraddaður songur við ongum ljóðføri)
madrigalkor	madrigalkór
madro	matnáðir;give en m.geva einum matnáðir
Mads	har jeg uret, må du kalde mig Madstað er so púra vist, so vist sum eg standi her
madske	(gl.)sleiv
madskubber	[mataramboð, sum verður nýtt at skumpa matin upp á skeið, tá ið smábørn læra seg at eta]
madsminke	lit-, bótar- og haldevni í matvørum
madspild	matoyðsl
madsted	matstova;er det et godt m.?er maturin góður har?
madstræv	matstrev
madtillavning	matgerð
madudbringning	m. til ældrematútbering til gomul
madvarer	matvøra, matvørur
madvin	matvín
madæble	matarsúrepli, átusúrepli
maestoso	(tónl.) hátíðarliga, tignarliga
maestro	1meistari, lærari2(óalment) tignarheiti, nýtt um tónlistafólkel.tónaskald
mafia	mafia (loyniligur yvirgangs- og brotsmannafelagsskapur;eis.ísmst.í øðrum samanhangi)(t.d.) kulturmafia
mafiaboss	mafiuovasti
mafiaforbryder	mafiubrotsmaður
mafiamedlem	mafiumaður, mafiulimur
mafiamord	mafiumorð, mafiudráp
mafiaorganisation	mafiufelagsskapur
mafioso	mafiumaður
mag	í frið(i) og náðum, hóvliga, makliga, við ongan skund
mag.	(st.) magister;(t.d.)cand. mag., mag. art., cand. scient., mag. scient.
magasin	1goymsla, goymslurúm, goymsluhús, pakkhús, stórt handilshús, sølumiðstøð2tíðarrit, vikublað, mánaðarblað3(í byrsu) magasin, húsi
magasinbjergart	(jarðfr.) goymslugrýti; ts. s.reservoirbjergart
magasinere	goyma, savna saman
magasinformat	í lítlum broti
magasingevær	magasinrifla
