N,n	1málljóð2bókstavur3(st.,evnafrøðiligt merki fyri køvievni), sínitrogen4(í støddfrøði heiti fyri tilvildarligt tal)i en n-kant er vinkelsummen n ·180° ÷ 360°í n-kanti er vinklasamløgan n ·180° ÷ 360°, í einum n-kanti eru vinklarnir samanlagdir/til samans n · 180° ÷ 360°5[altjóða frámerki á norskum akførum]6(st.) nord
Na	(st.) natrium
nabo	granni, nábúgvi;Danmarks n. mod sydgrannaland Danmarkar sunnanfyri;han er minnærmeste n.hann er næsti granni mín;ikke ståtilbage for naboerne (viðv.bilum, sjónvarpiosfr.)ikki standa aftan fyri grannarnar;optræde somen god n.vera góður granni;vi var naboervit vóru grannar, vit vóru túnabørn
nabo-	granna-(t.d. -hús, -land, -býur);nærindis-(t.d.-bøur, -bygd, -fólk); næstur; sum er, stendurel.liggur uppat; sum er nærindis, í námind, í nánd
nabob	1(gl.)ríkmaður (evropeariel.innføddur, ið hevur vunnið nógvan pening,serst.í India)2(gl.)ríkur livimaðurel.njótingarmaður);(sø.)varakongur, landshøvdingi; varamaður
naboby	grannabýur, nærindisbýur
naboejendom	grannaogn, grannahús
naboerske	grann(a)kona
nabofamilie	grannafamilja
nabofarve	grannalitur
nabofolk	1grannar, nábúgvar, grannafólk2grannatjóð
nabogård	grannagarður
nabolag	grannalag, býlingur, nábúlag, grend, kvarter;hanbor her i nabolagethann býr her í grannalagnum;hele nabolaget var på benenefor at hjælpeallir grannarnir góvu eina (hjálpandi) hond
naboland	grannaland
naboskab	grannaskapur;god n.grannafriður, góður grannaskapur;hvad gør man ikke for det godenaboskabs skyld?hvat verður ikki gjørt fyri grannafrið
nabosprog	grannamál
nabosprogsundervisning	undirvísing í grannamáli
nabotone	(tónl.) grannatóni
nabovenlig	sum góður granni
nabovinkel	grannavinkul, grannahorn (vinkul, ið hevur annað beinið saman við grannavinkli, og báðir vinklarnir til samans eru 180°)
nachspiel	eftirspæl, eftirleikur; seinnaveitsla(t.d.halda fram við veitslu aðrastaðni)
nadir	(stjfr.) anddepil, beint niður; nadir (á himmalkúluniel.himmalhválvinum, móts.zenit)
nadver	(átr.) altargangur, altargongd, altargonga,(gl.)nátturði;nadveren i begge skikkelseraltargangur bæði við breyði og víni;nadverenaltargangurin, altargongdin; heilaga/halga kvøldmáltíðin;nadverens sakramente (átr.)altarsins sakramenti, heilaga/halga kvøldmáltíðin, kvøldmáltíðarsakramentið;den hellige n.heilaga/halga kvøldmáltíðin;den sidste n.síðsta kvøldmáltíðin
nadverbord	altarborð
nadverbrød	altarbreyð
nadverfællesskab	altar(gangs)felagsskapur (tá ið fólk í ymsum kristnum trúarbólkum fara til altars saman)
nadvergæst	ein, ið fer til altars, altarsfólk;nadvergæsteraltarsgestir, messufólk
nafta	nafta (slag av litleysum, tunnflótandi og eldførum løgi; úrdráttur úr rápetrolium)
naftalin	naftalin (litleyst evni fingið úr steinkolstjøru)
