O,o	1málljóð2bókstavur3(lat.; evnafr.) O oxygeniumsúrevni, oksigen, oxygen,(tlm.)ilt
o1	síoh
O2	1málljóð2bókstavur3(evnafr.)O súrevni (frumevni);(st.)O4(st.) omkring
o/m	(st.) omdrejninger i minuttet snúningar um minuttin
o.a.	1(st.)og andetel.og andreog annað (mangt), og aðrir//aðrar//onnur)2oversætterensanmærkningviðmerking týðarans
oase	1(gróðrarblettur í oyðimørk) grasoyggj, grøna, grønka, grøni, graseyga, oyðimarkaroyggj, oasa2(fl.m.)broyti, fráber, skái;lørdag aften er en o. i hans regelbundne tilværelseleygarkvøld eru vælgerandi broyti/kærkomið fráber í reglu bundnu tilveru hansara
oaseged	fínt, mjúkt og litað geitarskinn (afrikanskt geitarskinn, nýtt til bókarbind)
o.a.st	(st.) og andre steder og á øðrum støðum, í øðrum støðum eisini
ob-	yvir til, framman fyri
obducent	líkkannari, líkskurðarfólk (lækni, ið sker lík upp at kanna deyðsatvold)
obducere	kanna lík, skera upp lík
obduktion	líkkanning, líkskoðan, líkuppskurður
obediens	lýdni(serst.lýdni undirmanna mótvegis yvirmonnum í katólsku kirkjuni)
obelisk	obeliskur (fýrasíðað høg og mjá súla høgd úr einum steini)
oberst	(herm.) ovasti, oberstur, floksforingi
oberstløjtnant	(herm.) ovastaloytnantur, oberstloytnantur, floksundirforingi (beint undir floksforingael.ovasta í tign)
oberstrang	ovastatignarstig, obersttignarstig, floksforingatignarstig
oberststilling	starv sum ovasti, obersturel.floksforingi
obersttitel	ovastaheiti, oberstsheiti, floksforingaheiti
oberstuniform	ovastabúni, oberstsbúni, floksforingabúni
objekt1	fólkel.lutur, ið mál snýr seg umel.ið hugt verður at;serst.ísmst.,t.d.skatteobjekt
objekt2	(málfr.) ávirki;et verbum, der har o. ogobjektsprædikatsagnorð, ið hevur beinleiðis ávirki og umsagnarlið til ávirki;direkte o.ávirki;indirekte o.óbeinleiðis ávirki
objektglas	(í sjóneyku) royndarglas, lutarglas, múlaglar
objektiv1	(lmynd.) múlarglas, kúpa(eis.í kikara), linsa, lutarglas
objektiv2	partleysur, uttanveltaður, uttanparta, óvildar- , objektivur, evnissannur,(tlm.)ópartískur;o. historieskrivningpartleys søguskriving
objektivere	líta atel.bera fram á partleysan hátt;digteren har ikke kunnet o. sin hovedperson, dertil er han for stærkt engageret i hamskaldið hevur ikki dugað/megnað á partleysan hátt at bera fram hugsan sína um høvuðspersónin, hann hevur verið ov bundin at honum
objektivisme	(heimsp.) objektivisma (heimspekistevna, ið sigur, at veruleikasannkenning okkara hevur gildi; móts.subjektivisme)
objektivitet	partloysi, lutloysi, óvildarsemi, uttanveltað støða
objektlinse	múlakúpa, múlalinsa
objektsprog	(teld.) týðingarmál (málið, ið týðast skal til)
obl.	(st.) obligatorisk kravdur
oblat	1(átr.)altarbreyð2gummiklætt pappírsinnsigli;lukke med o.innsigla, lata aftur við pappírsinnsigli
obligat	1fastur, vanligur, neyðugur, sum altíð er við, sum er fastur táttur (í onkrum), sum ikki slepst undan; skuldbundin, pliktaður; ómissandi;få deobligate uge pengefáa føstu vikupengarnar;(tónl.) arie for sopran med o. violin og klaveraria fyri sopran við violin og klaveri2(plfr.)albundin
obligation	(handilsm.) lánsbræv, skuldarbræv;indenlandske/udenlandske obligationerinnlendis-/útlendislánsbrøv;index obligationerprístalsbundin lánsbrøv;køb/salg av obligationerkeyp/søla av lánsbrøvum;nominelle obligationernominell lánsbrøv;udtrukne obligationerúttikin lánsbrøv
obligationsejer	lánsbrævaánari, skuldarbrævaeigari
obligationslån	skuldarbrævalán, lánsbrævalán
obligationsrente	(handilsm.) lánsbrævarenta
obligationsret	(løgfr.) kravarættur (løgfrøðiligar reglur viðvíkjandi teimum skyldum, ið eigari og lánari hava)
obligatorisk	kravdur, skyldigur, skyldubundin, skyldunoyddur, pliktaður;fest dragt er o.veitslubúni er kravdur;visse fag er obligatoriske andre valgfriesummar lærugreinar eru kravdar, aðrar eru vallærugreinir
oblik	(málfr.) o. kasus bent fall(t.e.hini føllini, tá ið hvørfall er undantikið)
obo	(tónl.) obo (træblásturljóðføri)
oboist	oboleikari, obospælari
obs.	(st.) observér gevið gætur,(st.)GG
observand	(lækn.) eftirlitssjúklingur; sjúklingur, ið verður kannaðurel.er undir eftirliti (oftast fyri sinnisbrek)
observans	1(kat.)lagsreglur, kleystursreglur;(kat., stjm.)áskoðan, aðal sjónarmið, megináskoðan;de topræster var af forskellig o.teir báðir prestarnir høvdu ymiska áskoðan (um kristindómin)2áskoðan, grundsjónarmið(eis.politisk)
observation	eftirlit, eftiransing, viðraking, kanning, eygbering;ligge til o.liggja til kanningar;(stjfr.)astronomiske observationerstjørnufrøðiligar kanningar;(sigl.) foretage en o.taka sólhæddina;politiet holder stedet under o.løgreglan hevur eftirlit við staðnum
observations-	kanningar-
observationsinterval	(stfr.) eygberingarbólkur, eygberingartalstrekki, eygberingarintervall /-l/
observationsklasse	serflokkur (fyri børn við atferðartrupulleikum)
observationsklinik	kanningarstova (har børn við ymsum trupulleikum verða kannað)
observationskuppel	kúpuhválv (á stjørnukagi)
observationsmateriale	(í hagtølum) kanningartilfar
observationsmuligheder	(sigl.) eygleiðingarmøguleikar, kanningarlíkindi, kagingarlíkindi
observationspost	eftirlitsstaður; kanningarstaður, kagstøð
observationssæt	(stfr.) eygberingarmongd
observationstid	kanningartíð, eftirlitstíð
observationsværdi	eygberingarvirði
observator	1kannari, eygleiðari(serst.umfólk, ið ger stjørnukanningar//veður kanningar)2eftirlitsfólk, eygleiðari
observatorium	stjørnukagstøð, stjørnukanningarstøð, stjørnuborg, observatorium
observatorstatus	eftirlitsstøða, eftirlitsstarv
observatør	eygleiðari; eftirlitsfólk;Danmark deltager ikke ikonferencen, men har sendt en o.Danmørk er ikki við á ráðstevnuni, men hevur sent eygleiðara;o. i en flyvemaskineeftirlitsmaður í flogfari
observatørstatus	eftirlitsstøða, eftirlitsstarv
observere	eygleiða; ansa eftir, geva gætur (eftir), varna(st);observér (boðsh)gev//gevið gætur
obsidian	(jarðfr.) obsidianur
obsignation	(løgfr.) rættarinnsigling, innsigling (rættarins vegna)
obsignere	(løgfr.) rættarinnsigla, innsigla (rættarins vegna)
obskur	myrkur; ófýsiligur, ófýsin, ógóðsligur, fátæksligur; trølsligur, óunniligur; ivingarsamur, illgrunaverdur, sum ikki tolir dagsins ljós, ólógligur;det var dog en o.beliggenhed (t.d.um hús) hesi húsini standa ógvuliga illa fyri;en o. beværtningillgrunavert vertshús;en o. personillgrunavert fólk
obskurant	1myrkavætti, myrkavinur, upplýsingarfíggindi2fávitskut fólk
obskurantisk	mentanarillviljaður
obskurantisme	myrkastevna, upplýsingarillvilji, mentanarfíggindaskapur
obskøn	(í munninum) ljótur, fúlur, illavorðin, skendskur, ólíkligur, ónæriligur, óvandaligur, ósiðiligur, ósiðaligur, ósømiligur;o. litteraturfúlar/skendskar bøkur, ónærabókmentir;obskønebevægelserskendskar rørslur
obskønitet	ósømiligur atburðurel.málburður, ólæti, ósiðalæti, ósømd
obsternasig	treiskur, tvørsintur, tvørur, stríður, andrísin; ólýðin, tvørlyndur
obsternasighed	tvørskapur, treiskni, tvørlyndi
obstetrik	(lækn.) nærfrøði, burðarfrøði
obstetriker	(lækn.) burðarlækni, føðilækni
obstetrisk	(lækn.) burðarfrøðiligur, nærfrøðiligur
obstipation	(lækn.) hart lív, harður opningur,(tlm.)forstoppilsi, forbindilsi
obstruction	(í fótbólti) forðing, forðan
obstruere	forða, hindra, vera ímóti, arbeiða ímóti, virka ímóti, andøva ímóti, leggja bein fyri, leggja fótonglar fyri
obstruktion	seinking, tarn, darvan, forðing, forðan(t.d.fyri at eitt verður framt);oppositionen lavede o. ved atstille mange ændringsforslagandstøðan seinkaði málin um, hon legði/setti fram nógv broytingaruppskot
obstruktionsmager	(fl.m.) andøvsfólk(t.d.fólk, ið roynir at forða tingmáli at verða samtykt;eis.í øðrum førum)
oc-	sí eis.ok-
OCA/OCH	(st.) (flogm.) ódarvað hædd
Occident	vesturlond, vesturheimur (móts.Orient)
occidental	vesturlendskur, vesturheims-, vesturheim inum viðvíkjandi
ocean	1hav, heimshav, meginhav, úthav2(jarðfr.)djúphav;Det indiske O.Indiahav3(fl.m.) oceaner af (noget)í ovurstórum mongdum, í hópatali, eitt ørgrynni av, ein ørgrynna av, hópur av, nógv av;oceaner afblomstereitt ørgrynni av blómum
oceanbundsspredning	(jarðfr.) havbotnsspjaðing
oceandamper	havskip /haf-/;hurtiggående o.havskip, ið siglir skjótt
oceangående	havskip
Oceanien	Avstralia, Nýsæland og oyggjar í Kyrrahavi (harafturímóti eru oyggjar uttan fyri/viðstrendur Ásia og Amerika ikki taldar uppí)
oceanier	kyrrahavsbúgvi, suðurhavsbúgvi
oceanisk	1hav-, havi viðvíkjandi;o. fiskfiskur á djúpum vatni, havfiskur /haff-/2Avstralia, Nýsælandi og oyggjum í Kyrrahavi viðvíkjandi; síOceanien
oceanograf	havfrøðingur /haff-/
oceanografi	havfrøði /haff-/, havvísindi
oceanografisk	havfrøðiligur /haff-/, havvísindaligur
oceanologi	síoceanografi
ocean ranching	havbit /hau-/(t.d.hjá laksi)
