P,p	1málljóð2bókstavur3(tón) p (piano)veikt4(st.) ppagina (blað síða í bók);(st.) punkt5(evnafrøðiligt tekin,st.)Pfosfor6(st.)(bil)støðuøki, parkeringarøki7altjóðafrámerki á akførum úr Portugal8(tónl.) pp pianissimoógvuliga veikt, ljódliga
Pa	(st.) pascal
p. a.	(st.) pro anno um árið, síproanno
pace1	1renningarferð (ið ross hevur í sjálvari kapprenningini)2(ítr.)eggjan (tað at brúka undanrennara, undansúkklarael.eggjara fyri at eggja hin(ar) at renna, súkklael.ríða skjótari);cyklistenbenyttede sig af pacerkappsúkklarin hevði undansúkklara/eggjara
pace2	eggja einum til, hjálpa einum, skunda undir ein, halda einum til, stuðla einum;blive pacetfrem til eksamenverða hjálptur til próvtøku
pacemaker	1(ítr.)undanrennari, undansúkklari, eggjari2(lækn.)kvikil, pacemakari /peysmeykari/ (tól, ið stýrir hjartaslátti)
pacer	1(ítr.)undanrennari, undansúkklari, eggjari (ein, ið rennur, súkklarel.ríður undan)2(lækn.)(hjarta)kvikil, pacemakari
pacificere	blíðka, fáa at binda frið, fáa at sissa seg;efterhånden fik vi den vrede mand pacificeretvit fingu smátt um smátt sissað tann illa mannin
pacificering	at fáa ein at sissastel.blíðkast, at fáa friðarlig viðurskifti aftur, blíðkan, sissing, linni
pacifikation	sípacificering
pacifisme	friðarhugsjón, friðarstevna
pacifist	friðarhugað fólk, friðarhugsjónarfólk
pacifistisk	friðarhugaður, friðar-
padde	(dý.) froskur, padda(Amphibia)
paddehat	1(plfr.)hattsoppur (soppaslag)2(fl.m.) skyde op som paddehattebreiða seg sum hundaland
paddehatsky	hundalandsskýggj (eftir kjarnorkuspreinging), atombumbuskýggj
paddel	padla (stutt ár við breiðum blaði,t.d.nýtt í kano)
padderok	(plfr.) kannubjølla, bjølluvísa(Equisetum); agerpadderokkannubjølluvísa, tyrilsgras(Equisetum arvense); kærpadderokgul beit bjølluvísa(Equisetum palustre); skovpadderokbjølgabjølluvísa(Equisetum sylvaticum)
padderokfamilien	(plfr.) bjølluvísuættin(Equisetaceae)
padderokketræ	(plfr.) kannubjøllutræ(serst.í koltíðini)
paddeulk	(dý.) kryttlingur(Cottunculus microps)
padle1	sípaddel
padle2	padla (rógva meðan tú hyggur frameftir og við ongum tolli; ofta við stuttari ár við breiðum blaði)
padleåre	sípaddel
paella	paella (spanskur rísrættur við kjøti, fiski, skeljadýrumo.ø.kryddaður við safran)
paf1	brestur (sum av byrsuskoti)
paf2	púra bilsin, steinbilsin, ovfarin, kløkkur, (púra) paff, sum bitið ross, sum kánus, sum eitt býtt, standa púra býttur, sum lundi sligin á nevið; einum er dátt við, standa sum ryssa uppi yvir deyðum fyli;jeg var ganske p. over hansforlangendeeg var ovurbilsin, at hann skuldi krevja hetta
paf3	(ljóðorð) pk;paf, paf lød det fra pistolskuddenepk, pk hoyrdist frá pistólinum/pistólini
pag.	(st.)pagina
pagaj	tvíár, tvíblaðað ár, pagai
pagaje	rógva við tvíár
page	(sø.) skósveinur, hovtænari (aðalsdrongur, sum í miðøldini gekk riddara//stórmanni til handa[r]el.tænti við hovið)
pagehår	pasjuhár
pageklippet	fruntkliptur, sum hevur frunt
pagina	blaðsíða, síða (í bók);slå op p. 17blaða upp á síðu 17;(st.) p.el.pag.
paginaform	síðutalssnið
paginere	talmerkja, seta síðutal á bók
paginering	talmerking
pagode	pagoda, pagota (eysturásiskt, buddistiskt tempul)
pagodestil	pagodustílur, í pagodustíli
pagt	sáttmáli, avtala, semja;(átr.)sáttargerð, bandalag;Tyskland sluttede i 1939 enikke-angrebspagt med DanmarkTýskland gjørdi í 1939 ein ikki-álopssáttmála við Danmark;pagtens arksáttmálaørkin;være i p. medvera í samsvari við
pagtsbog	(bíbl.) sáttmálabók (2. Mós. 24, 7)
paillet	(málm)flykra, pailletta (glitrandi málmflykrur festar á klæði til prýð is);besætte med pailletterseta/prýða við flykrum/paillettum
paj	sípie
pak	1de flyttede med deres pik og p.tey fóru við øllum tey áttu;pik og p.nikk og pikk2harkalið, pakk, útskot, útskotspakk, sáð, írasáð, óvandaslag, partaní, partaníggj
pakdåse	(tøkn.) pakkdós
paket	sípaketbåd
