Q,q	navn á bókstavi (nú bara nýtt í orðum, ið ikki eru av donskum uppruna)
Qatar	(sern., landafr.) Katar
qatarer	katari, katarbúgvi, fólk íel.úr Katar
qatarsk	katarskur, sum er íel.úr Katar
qua	sum, eins og;jeg udtaler mig i sagen q. juristog ikke som svoger til den angreb neeg tali sum løgfrøðingur og ikki sum svágur hansara, ið álopin er
quark	(alisfr.) kvarkur (smáeindir í protónum og nevtrónum)
quiche	terta(t.d.við osti, eggjum, fleski og grønmeti sum fyllu)
quickstep	kvikkstepp (dansur)
quilte	kvilta, vattera, vatta (seyma mynstur í tvey tunn pløgg við vatti ímillum)
quisling	kvislingur, quislingur, landssvíkjari; ein, ið gongur fíggindanum til handa(r) (Vidkun Quisling var norskur nasistiskur politikari 1933-45)
quislingmentalitet	svíkjaralyndi, kvislingamura, quislingsmura
quiz	spurnakapping
quizdeltager	fólk í spurnakapping, spurnakappingarluttakari
quizze	vera við í spurnakapping
Quooker	kókikrani
