R,r	1málljóð2bókstavur3(st) rex., reginakongur, drotning; serst sum undirskrift,(td)Fredrik R.4(st)réaumur,síréaumur5(st) R rekommanderet;sírekommandere6(st) røntgen7(st) ridder(riddari, tdaf Dannebrog)8(st)altjóðafrámerki á akførum úr Romenia
rabalder	gangur, larmur, buldur, rumbul, buldur og brak, goragangur, hávi, rok, levint;(skemt.)stolen væltede med et ordentligt r.stólurin datt við buldri og braki
rabaldermøde	rokfundur, rumbulfundur;et politisk r.politiskur rokfundur
rabarber	(plfr.) rabarba(Rheum)
rabarberdråber	rabarbudropar
rabarbergrød	rabarbugreytur
rabarberkompot	rabarbukompott
rabarberkvarter	rabarbukvarter, býlingur (við kroysukendum húsum upprunaliga í útryðjuni av býi)
rabarbersaft	rabarbusevja, rabarbusaft
rabarberstilk	rabarbustelkur, rabarba
rabat	1avsláttur;give r.geva avslátt(ur);r. på større varepartinøgdaravsláttur2vegøksl, vegjaðari;rabatten er blødvegøkslin er bleyt3(avlangur) blómuteigur, blómubeð
rabatkort	avsláttarkort
rabatkupon	avsláttarseðil
rabatmærke	avsláttarmerki
rabatudbetaling	(handilsm.) avsláttargjald
rabbi	(heiðurstign) rabbi (skriftlærdur jødi; rabbi = meistari mín)
rabbinat	starv hjá rabbinael.rabbinara
rabbiner	1rabbini, rabbinari (jødiskur prestur og lærari í synagoguni)2rabbini, rabbinari (skriftlærdur)
rabiat	1svakur, ørur, østur; øðismikil, óður, í øðini, frá sær sjálvum2(niðr.)víðgongdur og harðrendur;r.revolutionærógvuliga víðgongt kollveltingarfólk
rabies	(dýralfr.) hundaøði
rable1	1(ísamb.við)det rabler for hamhann er vindandi óður (í høvdinum)2[lh nútsuml]min mand er rablende galmaður mín er vindandi(el.dansandi) óður í høvdinum
rable2	práta, roksa, sussa, svarva, skvaldra;r. noget afsigreksa upp, ramsa
rabulist	1politiskt øsingarfólk, politiskur gessari, øsingarmaður2(niðr.)lógafløkjari, óreiðiligur sakførari3skræðugákur
rabundus	farast, ganga til grundar, fara á húsagang, fara av knarvanum, fara á heysin, fara á navarin(el.navaran), fara á tinnuna, fara av knóranum, fara av stellingini, fara undir kong (t.d.firmaet gik rabundus fordi direktøren var lidt for smart)
race1	slag, ættarslag, ættkyn, rasa;hesten er af ædelr.rossið er av góðum(el.reinum) slag;den guler.gula rasan,den hvide r.hvíta rasan;der er r. ihamtað sæst, at hann er av góðum fólki(el.slag)
race2	kappleikur, kapprenning, kappkoyring, kappríðing, kappsigling
race3	koyra við fúkandi ferð, rúkael.fúka avstað
raceadskillelse	rasuskilnaður
raceadskilt	rasusundurbýttur, býttur sundur eftir rasu
raceansigt	andlit, ið ber dám av góðum uppruna
racebiolog	rasulívfrøðingur
raceblanding	kynbland, rasublanding, rasubland, rasublending, kynblending
racediskriminering	rasumismunur, tað at gera rasumismun
racedyr	kynreint dýr
racefordom	rasufordómur, rasisma
racehad	rasuhatur, hatur millum ættarsløg, rasisma
racehest	ross av reinum slag, reinalt ross(t.d.reinalt rossaslag)
racehovmod	rasuhugmóð
racehund	reinaldur hundur, hundur av góðum, óblandaðumel.reinum slag(i)
racehygiejne	ættarrøkt, rasurøkt; síeugenik
racehygiejnisk	ættarrøktar-, rasurøktar-
racekvæg	reinald neyt, neyt av góðum, óblandaðumel.reinum slag(i)
raceoptøjer	rasuófriður
racepræget	sum ber dám av góðari rasu
racer	kappkoyringarbilur, rasari, kappsiglari, kappsúkkla
racerbane	kappingarbreyt, kappríðingarbreyt, kappkoyringarbreyt
racerbil	kappkoyringarbilur, rasari
racercykel	-cyklen,kappkoyringarsúkkla
raceren	óblandaður, av óblandaðum, reinumel.góðum slag;racerene hundehvalpeóblandaðir hundahvølpar
racerløb	kappkoyring (við kappkoyringarbilum)
raceskel	rasumark
racisme	rasisma, rasufordómur, rasuhatur; rasuhugmóð
racist	rasistur
racistisk	rasistiskur
rack	hillalag (til tónleikaanlegg, plátur og bond)
rad1	rað(h)(fltrøð), røð(kv)(fltraðir), repil, dregil; regla(t.d.í epla veltu);folk stod i lange raderfólk stóðu í longum røðum;i r. og række for at seoptogetí longum røðum fyri at síggja skrúðgonguna;stå i r. og rækkestanda á rað;såkorn i raderraðsáa;sådan gik det tre gange pår.soleiðis gekst tríggjar ferðir upp í slag(el.upp í røkur);nu kommer raden til osnú eru tað vit; nú eiga vit
rad2	jassur, kúllur, stavnur, knevil, trællur, rennil;ensær r.serur knokkur, serskøltur, løgin fiskur;din r.!tín trællur, sløðursettur!, óreinsettur!, óreinskusettur!;en lang r.ein slánur;en skør r.ørvitisfiskur, ørvitisknokkur, ørvitiskleppur, ørvitisskalli
rad3	rad (málieind fyri ta geislanøgd, sum evni sýgur í seg; 1. rad = 0, 01 joule fyri hvørt kg.)
radar	radari
radaranlæg	radarvirki
radarenhed	(flogm.) radar(a)eind (tann parturin av flogferðslutænastueind, ið nýtir radara í arbeiðnum)
radarflyveleder	(flogm.) radareftirlitsfólk
radarfyr	radarviti
radaridentifikation	(flogm.) radarstaðfesting, radarváttan (tann støða, ið er, tá ið flogfar sæst á radarskíggja, og váttan er fingin fyri, hvat flogfar tað snýr seg um)
radarindflyvning	(flogm.) radarinnflúgving
radarklatter	(flogm.) skíggjaórógv, blettir á radarskíggja
radarkontakt	(flogm.) radarsamband
radarkontrol	(flogm.) radareftirlit
radarkursdirigering	(flogm.) radarflogleiðbeining (ið byggir á floglíkindi, fingin við radarkanningum)
radarmap	(flogm.) radarkort (upplýsingar, ið verða lagdar inn á radarskíggja fyri at merkja av ávísar linjur og ávís punkt)
radarovervågning	radareftirlit, radareftiransan
radarposition	(flogm.) radarpositión
radarpositionssymbol	(flogm.) radarpostiónsmerki
radarskærm	radarskíggi, radarskjól, radarskermur
radarsporingsposition	(flogm.) radarsporingarpositión
radarstation	radarstøð
radartjeneste	(flogm.) radartænasta
radarvarslingssystem	radarávaringarskipan
radbrække	1ryggbróta, fara illa við, meinsla, meiðsla,(sø.)hjólbróta, ryggbróta;radbrækketlemstraður, lamløstaður2(fl.m.) jeg er helt radbrækket(av kropsarbeiði) eg eri útteipaður3fara illa um, duga illa (annað mál);engelskenavne bliver ofte radbrækket på danskensk nøvn verða ofta illa framborin á donskum;r. etsprogfara illa um mál(t.d.hava ringan málburð)
radeløvfamilien	(plfr.) trøllakampsættin(Aspleniaceae)
radere	1skava útel.burtur, viska burtur;der var radereti tallet på checkenonkur hevði skavað í talinum á kekkinum2skava, myndskava, rista (í), etja (tekna mynd í kopar-el.stálplátu við at skavael.rista í hana)
raderer	listafólk, ið ger listaverk við skavitøkni
radergummi	síraderviskelæder
radering	1burturskaving, útskaving;der må ikke findesraderinger i regnskabeteinki má vera burturskavað í roknskapinum2skavmynd, etjingarmynd, radering;en samlingfine raderingersavn av góðum skavmyndum
raderkniv	skavingarknívur, skavknívur
radernål	skavnál, skavingarnál
raderplade	skavingarpláta, raderpláta (har mynstur er rist í)
radervand	upploysingarløgur (at taka blekk burtur við)
raderviskelæder	blekkviskileður
radial	geislandi, sum geislar út frá miðdepli, geislamyndaður, geislaskapaður, geislalagaður;radiale linjerradialar linjur
radialdæk	radialdekk
radialgade	geislagøta, snældugøta (gøta, ið eins og geisliel.snælda gongur út frá torgi)
radiation	geisling
radiator	miðhitaovnur, radiatorur
radiere	geisla
radikal	1djúptøkin, veruligur, upprunaligur, rótgrógvin, róttøkin, róttøkur;en r. ændringdjúptøkin broyting;et radikalt middelmiðal, ið er djúptøkið(el.ið hevur djúptøkna avleiðing við sær)2víðgongdur; framfúsur, framtakshugaður;han ermeget r. i sine sociale anskuelserhann hevur víðgongd sosial sjónarmið, sosialu sjónarmið hansara eru víðgongd
radikaler	1(skemt.)fólk, ið er limur avel.ið velurRadikaleVenstre2fólk við víðgongdum sjónarmiðum
radikalisere	gera víðgongdari, radikalisera
radikalisme	1víðgongd frælsishugsjón, frílyndi, frælslyndi, radikalisma2víðgongd áskoðanel.viðgongt sjónarmið
radikalitet	tað at vera víðgongdur, tað at hava víðgongd sjónarmið;forslagets r.tað víðgongda í uppskotinum
radio	1útvarp; útvarpsstøð;høre r.lurta eftir útvarpi;tale i r.tala í útvarpi2útvarpslurt, útvarpstól,(tlm.)radio, radiolurt;vi har købt en ny r.vit hava keypt nýtt radio(el.útvarpstól)
radioafgift	útvarpsgjald
radioaktiv	geislavirkin;radioaktive stoffergeislavirkin evni
radioaktivitet	geislavirkni
radioamatør	áhugavarpari, radioamatørur, radioáhugafólk
radioapparat	útvarpslurt, útvarpstól, radio
radioavis	tíðindasending, útvarpstíðindi, veðurtíðindi og tíðindi
radiobil	1(í tivoli) radiobilur2(gl.)leigubilurel.politibilur, ið hevur fjarsamband við støðina
radiobrandrør	(herm.) radiobrandrør
radiobølge	útvarpsbylgja, radiobylgja
radiofjernstyring	útvarpsfjarstýring, radiofjarstýring
radiofoni	útvarp, ljóðvarp
radiofonisk	útvarps-
radioforbindelse	útvarpssamskifti, radiosamskifti
radioforedrag	útvarpsfyrilestur
radioforhandler	radiohandilsmaður
radioforretning	radiohandil
radioforsats	útvarpstól, ið hevur ikki styrkjara
radiofrekvens	radiotídd, frekvensur
radiofyr	útvarpsviti, radioviti
radiograf	geislafrøðingur
radiogram	fjarrit
radioimpuls	(alisfr.) útvarpsinnstøkk
radiointerview	útvarpssamrøða
radiokanal	útvarpsrás
radiokontakt	útvarpssamband, radiosamband
radiolicens	útvarpsgjald
radiolog	røntgenlækni
radiologi	røntgenlæknafrøði
radiologisk	røntgenlæknafrøðiligur
radiolytter	útvarpslurtari, lurtari
radiomekaniker	radiomekanikari
radiomodtager	útvarpslurt, lurt, útvarpstól, radio
radionævn	útvarpsnevnd
radioorkester	útvarpsorkestur
radiopejleapparat	útvarpsýtingartól, radiopeilitól
radiopejling	útvarpsýting, radiopeiling, radioýting
radiopejlingsstation	útvarpsýtingarstøð, radiopeilingarstøð
radioprogram	1útvarpssending2útvarpsskrá
radioreklame	útvarpslýsing
radioreparatør	útvarpsumvælari
radioreportage	útvarpsfrásøgn
radioreporter	útvarpsfrásøgufólk
radioroman	útvarps(skald)søga
radiorør	radiorør, elektronrør
radiosender	útvarpssendari, sendari
radiosignal	útvarpsbákn, útvarpssignal
radioskab	radioskáp
radiosonde	radiokanni, radiosonda
radiospil	útvarpsleikur
radiospredning	útvarping, tað at útvarpa
radiostation	útvarpsstøð
radiostråle	radiogeisli
radiostudie	útvarpsstova
radioteknik	útvarpstøkni, útvarpsteknikkur
radiotekniker	útvarpsteknikari, útvarpstøkningur
radioteknisk	útvarpstøkniligur, útvarpstekniskur
radiotelefon	radiotelefon
radiotelefoni	fjartala, radiotelefoni
radiotelegrafere	fjarrita
radiotelegrafi	tráðleys fjarritan, tráðleys fjarriting
radiotelegrafist	fjarritari, (radio)telegrafistur
radiotelegram	(tráðleyst) fjarrit
radioteleskop	radioteleskop
radioterapi	geislaviðgerð
radiotilbehør	útvarpsútgerð
radiotransmission	útvarpssending
radioudsendelse	útvarpssending
radiovogn	upptøkubilur, útvarpsbilur
radise	(plfr.) radisa(Raphanus sativus)
radium	1(evnafr.)(frumevni) radium,(st.) Ra2(gl., tlm.)kattur (kókispritt og soda vatn)
radiumholdig	radiumhavin
radiumnål	(lækn.) (í krabbameinsviðgerð) ísett radiumnál
radiumstation	radiumstøð
radius	el.radierradius, snælda í klingru
radix	(teld.)skipanartal
radiær	eins og geisliel.sum snælda, snældumyndaður, geislamyndaður, stráluskapaður, strálumyndaður, strálulagaður;fra torvet går 6 gader radiært tilbyens udkantseks gøtur ganga sum snældur frá torginum út í útryðjuna á býnum
radmager	knotutur, bláur í raki, fallin at beini, avpiðaður, piðaður, sum turkað træ;han er r.hann skríður í skræðuni
radmagerhed	tað at vera deyðarak, diddarak, kaldarak, horarak, ísarak, tussarakel.parrak, diddur(t.d.tað er diddur í honum)
radon	radon (geislavirkið, luftvorðið frumevni, ið kemur úr ávísum geislavirknum metalum);(st.)Rn
radrense	taka upp ímillum, lúka
radrenser	lúkingarmaskina, maskina at taka upp ímillum við, tól at lúka við
radså	raðsáa
radsåmaskine	(landb.) raðsáingarmaskina
raffinade	reinsað sukur; smart ung genta
raffinaderi	reinsingarstøð, reinsingarvirki(serst.virki, har olja og sukur verða reinsað)
raffinement	tað at eitt er raffinerað, fínt, snilt, smartel.snøgt, tað at eitt er smakkgott; smakkvísi; tað at eitt er snildisliga gjørt, fínkan;huset var udstyretmed alle moderne raffinementerhúsini høvdu alskyns nútímans hentleikar
raffinere	reinsa, reinska(serst. viðv.olju og sukri)
raffineret	1raffinerede produkterlidnir úrdráttir; reinsaðir úrdráttir2(fl.m.) raffineretsnøggur, glæsiligur, raffineraður, listafínur;hun er raffineret klædthon er snøgg í klæðunum;en raffineret nydelseeitt, ið er ein sonn fragd at njóta (uppliva, etaosfr.);raffineret ondskabraffineraður óndskapur (fanansskapurel.fjandansskapur)
raffinering	reinsing, reinsking
rafle1	kastael.spæla terningar, ringla,(tlm.)rafla;skalvi r. om hvem der skal give øl?skulu vit kasta terningar um, hvør ið skal geva øl(el.bjóða);ikkenoget at r. om!soleiðis verður tað!
rafle2	(prent.) tøma setikassan uttan at stavirnir koma í bland
raflebæger	terningabikar
rafraichisseur	pístrfløska við luktilsiel.angavatni
raftehegn	tætt/tøtt steyragirðing(t.d.um urtagarð)
rafting	gummibátaítrótt (sigling við gummibáti oman eftir streymharðari á við smáum fossum)
raft,rafte	bulur, viðarbulur, langur, klænur steyriel.stólpi (við børkinum á)
rage1	1raka, skava, skara, skøra, róta, sópa;r. iválka sær í(t.d.í skarni);r. opstanda uppundan; standa uppúr;r. hindrende opstanda uppfyri;r. opi ildenskøra upp í eldinum2(fl.m.)r. kastanjerne ud af ildenhjálpa einum burtur úr onkrum;r. penge til sigskava (pening) inn undir seg, krøkja inn undir seg, krøkja til sín, kradda inn undir seg, kradda til sín, raka til sín, vera krøkin;slem til at r. til sigkraddutur;r. sigen sygdom tilfáa sjúku, verða smittaður av sjúku;hun ragede rundt i skuffenhon rótaði í skuffuni;endelig fik han det raget frem afbunkenlangt um leingi fekk hann drigið tað fram úr rúgvuni;han rager sig altid ind ivanskelighedertað grettir ikki, hann kemur altíð í kløtur(el.illa fyri);r. én ind i(el.op) i nogetkrøkja ein upp í eitt;person, der er slem til at r.til sigkrókur, kradd, kraddari3raka sær
rage2	1(um skip)r. på grundrenna á land, taka botn;skibene ragede sammenskipini bóru (renduel.brustu) saman;r. uklarverða ósamdir (um okkurt), koma til ilnar(t.d.teirra millum)2koma einum við, raka ein;det rager mig ikkeen fjerlíka leggi eg í;hvad rager det dig?hvat rakar tað teg?, hvat kemur tað tær við?, hvat liggur tær á tí?
rage3	standa fram, stinga fram, skera (seg) fram, koma undan; (so at eitt júst sæst) bredda(t.d.steinurin breddaði undan);r.hindrende opstanda uppfyrir. opstanda uppundan(el.uppúr); koma undan, standa og raða, dagast; dranga upp(t.d.standa og dranga himmalhøgt);huset ragede længere frem endnaboenshúsini stóðu fremri enn tey hjá grannanum(el.enn grannahúsini);hans hovedragede op over alle de andreshann var høvdið hægri enn øll hini, høvdið á honum kom upp um øll hini;grenene rager ud over åengreinarnar toyggja seg út yvir ánna;han rager langt op overgennemsnittethann skarar framúr
