S,s	1málljóð2bókstavur3(sø.)shilling;(st.) sel.sh(bretskur myntur)4(st.) s.síside; (t.d.) s. 22 = side 22bls 225Saltjóðafrámerki á svenskum akførum6(st.) sekund7(st.) stereo(sum í sjónvarpi boðar frá at sendingin er ístereo)8(evnafr.)svávul (frumevni);(st.)S9(st.) small(í klædnastødd); sítað
s/h	(st.) sort-hvid svartur-hvítur (um svart(ar)-hvítar myndirel.filmar)
S/S	(st.) dampskib
sa.	(st.) samme
s.a.	(st.) sine anno ikki ársfest (sum sigur, at prentár ikki er tilskilað)
sabbat	hvíludagur, hvíldardagur (hvílu- og halgidagur jøda frá fríggjakvøldi til leygarkvølds), sabbat, sabbatur
sabbathvile	sabbatshvíld
sabbatsaften	hvíludagskvøld, hvíludagsaftan, sabbatskvøld, sabbatsaftan
sabbatsår	hvíldarár, sabbatsár (fríár)
sabel	1svørð, reiðsvørð, sápil (eitteggjað svørð)2(fl.m.) rasle med sabelenglamra(el.glinta) við svørðinum, hótta við kríggi
sabelantilope	(dý.) svørðantilopa(Hippotragus nigerel.(Oryxgazella)
sabelbajonet	langur byrsuknívur, long bajonett
sabelfægtning	tað at fiktastel.fektast við reiðsvørðum
sabelgehæng	(herm.) slíðraskákreim
sabelhug	svørðshøgg
sabelkat	svørðtikari (teir doyðu út í ísøldini)
sabelklirren	glamranel.glintan við svørðum,(eis.ífl.m.)svørðglamran, svørðglintan, vápnabrak
sabelkvast	svørðskúvur
sabeloryx	(dý.) sísabelantilope
sabelraslen	(fl.m.) glamranel.glintan við svørðum, svørðglamran, svørðglintan, vápnabrak; krígshóttan
sabelskede	svørðsslíðri, svørðsslíðrar
sabelsluger	svørðgloypari, svørðgloypur, svørðslúkur
sabeltaske	svørðtaska
sabinemåge	(dý.) ternumási(Larus sabini)
sable	1høgga niður (við svørði), slætta niður2(fl.m.)geva sera vánaligt ummæli, seta niður á, finnast harðliga at, fara illa við, høgga niður á, lasta
sabotage	herverk, skemdargerð, skemdarverk, sabotasja;øve s. mod våbenfabrikkengera herverk á vápnaverksmiðju
sabotere	1gera herverk, spilla2(fl.m.)gera til einkis, royna at forða (einum), spilla fyri (einum);han gør, hvad han kan, for ats. mine reformerhann ger, tað hann er mentur, at forða fyri, at ábøtur mínar verða framdar
sabotør	herverksmaður; fólk, ið ger herverk; sabotørur; spillari
Sachsen	Saksland (stakríki í Týsklandi)
saddukæer	(bíbl.) saddukei /-kei/, saddukeari(móts.farisearunum vóru saddukear hóvligir í trúarspurningum; saddukear trúðu, hvørki at einglar vóru til ella á uppreisn frá deyðum)
