T,t	1málljóð2bókstavur3t. (st.) ton,sítað4t. (st.) time
t/r	(st.) tur-retur aftur og fram
tab	hall, tap, undirskot, missur, skaði, saknur, smekkur, smeitur, spell;tab som følge af ulykkestilfældetap av vanlukku;forretningen måtte sælge partiet med t.handilin mátti selja vørusendingina(el. tlm.vørupartíið) við halli;det var et stort t. for ham, da hans kone dødetað tók honum dygt(el.tað neit honum fast), at konan doyði;lide t.vera fyri missi(el.tapi);t. af menneskelivmannskaði
tab.	(st.) 1. tabel
tabbringende	sum gevur hall, sum hevur tap við sær
tabe	1missa; missa burtur, fara fyri skeytið;t. ansigtsíansigt; t. hovedetmissa tamarhaldið á sær;tabehårlosa;t. håretmissa hárið;t. i styrkefána, hæsa av;t. i værdiminka(el.lækka) í virði, missa virði;t. næse og mund af forbavselsevera púra ovfarin, vera púra bilsin, steinbilsin, kløkkur, vera púra paff, standa sum bitið ross, vera fyri ongum, standa sum kánus, standa sum eitt býtt, standa sum lundi sligin á nevið; einum er dátt við, standa púra býttur, standa sum ryssa uppi yvir deyðum fyli;t. på gulvetsígulv;t. (penge) på nogetmissa pening í einum(el.upp á eitt);t. sine nøglermissa lyklarnar (burtur);t. sine tændermissa tenninar;t. sporetvillast, missa tevið;t. vejretmissa ondina, kikka eftir ondini;cyklen taber luftslangan lekur;degamle håndsskrifter er gået tabtgomlu handritini eru farin fyri skeytið;der går for meget tabt formig, når jeg sidder bagest i teatreteg fái ov lítið við, tá ið eg siti aftast í leikhúsinum(el.sjónleikarhúsinum);der går for meget tabt formig, når jeg sidder bagest i teatreteg fái ov lítið við, tá ið eg siti aftast í leikhúsinum(el.sjónleikarhúsinum);give tabtkasta frá sær, gevast, geva uppat, gevast á hendur (á hondumel.á hendi), ganga frá sínum, geva skarvin yvir, stinga í sekkin(el.posan), laða upp í dyr, leggja árarnar inn;gå tabtfara burturímillum, fara fyri einki(el.fyri skeytið), fara fyri mutur og skutur;han er tabt for omverdenenhann hevur gloymt(el.horvið) seg burtur, hann hevur lagt seg(el.er lagstur) upp í snoð;hansafstamning taber sig i det dunkleeingin veit rættiliga av hvørjum fólki, hann er;(ikke) væretabt bag en vognsívogn; jeg gik tabt af hansvittighedereg hoyrdi satt at siga ikki hatta skemtið hjá honum;jeg har tabt meget for hamefter den episodeeg havi mist nógv fyri honum, síðani hatta hendi;skibet tabte sig i horisontenskipið hvarv(el.kámaðist burtur) í havsbrúnni (úti undir væðinginiel.í blánanum)2tapa, vera fyri ósigri, liggja undir, vera við undirluta(n), verða tann minni maðurin;t. slagetvera við undirluta(n), vera tann minni maðurin;blive den tabende partvera við undirluta(n), vera minni maður;de tabte så eftertrykkelig(t)teir vórðu so avsmurdir, teir taptu so dyggiliga (ruddiligael.eiggiliga); hinir vundu burtur úr teimum;nu er slaget tabtnú er tap í hendi3(um klokku) seinka, sakta, ganga ov seint;urettaberurið saktar(el.seinkar), urið gongur ov seint4fara aftur, lætna, slakna;han har tabt sighann er afturfarin (lætnaðurel.slaknaður), (ov nógv afturfarin) einki er eftir av honum;(eis.)hann er (nógv) farin (ljótkaðurel.eldur)
tabel	1talva, listi, skrá2roknitalva, tabell,den lille, store t.lítla, stóra tabell
tabelhjul	talvuhjól
tabellarisk	talvu-, sum er uppsettur í teigar
tabellere	seta upp í regluligar(el.reglubundnar) teigar
tabelværk	hagtalslisti
taber	tapari, tapigøltur;han var en dårlig(el.god) taberi kampenhann dugdi illa(el.væl) at tapa í dystinum;valgets t.tann, ið var fyri ósigri í valinum; tann, ið tapti valið;social t.samfelagstapari
tabernakel	1(sø.)tjaldtempul, tabernakkul (hjá ísraelsmonnum)2tabernakkul (altarskáp í katólsku kirkjuni, har sum altarbreyðið verður goymt)3kirkja hjá ymsum kirkjusamfeløgum(t.d.mormonkirkjan)4(skemt.)gangur, levint, hurlivási, hávi, rok, rumbul, rok og røringur
tabgivende	sítabsgivende
tabl.	(st.) tablet
tableau	1(sjónl.)still leikmynd(t.d.fólk, ið eru uppstillað at lýsa søguliga hending)2brot úr sjónleiki, operuel.ballett3(ravm.)vísitalva
table d'hôte	(á hotelli) felagsborð (borðreiða fyri øllum gestunum við sama borð)
tablet	tablett
tablet-pc,tablet-PC	teldil
tablettere	gerael.stoypa í tablettskapi
tabloidformat	lítið brot (Sosialurin, Oyggjatíðindi, Ekstrabladet og BT eru bløð í lítlum broti; Dimmalætting, Politiken, Weekendavisen og Information eru bløð í stórum broti)
tabsgivende	sum tap er av;t. forretningfyritøka (virki, handil), ið hevur hall(el.ið verður rikin við halli)
tabskaution	tapsábyrgd, hallábyrgd, missingarábyrgd
tabskonto	tapskonta, hallkonta, tapskonto, hallkonto;tabs- og vindingskonto(í roknskaparmáli) flutt úrslit
tabsliste	listi yvir mannskaða, listi yvir deyð og særd (í bardagael.í vanlukku)
tabs- og vindingskonto	(bú.) taps- og vinningskonta, taps- og vinningskonto
tabsrisiko	tapsvandi
tabstal	tapstal, halltal; deyðatal
tabsudligning	tapsjavning, halljavning
tabu	1(átr.)forboð (fyri), bann (fyri), tabu, friðhalgaðurel.bannhalgaður lutur, friðhalgan, bannhalgan; friðhalgaðel.bannhalgað øki, (tað at tað er forboðið at nerta viðel.nevna ávísan lutel.fara inn á ávíst øki)2(fl.m.)tað at samfelagel.samfelagsbólkur heldur tað vera ósømiligt at nevna ávíst orð;døden er nærmest t. i vore dagetað er næstan blivið soleiðis nú, at tú mást ikki nevna deyðan;seksuelle tabuerkynslig(el.seksuell) tabu
tabubelagt	sítabuord
tabuemne	evni, ið tað er bannað(el.forboðið) at nevna; tabuevni (evni, ið fólk flest halda tað vera ósømiligt at tosa um)
tabuere	bannhalga, friðhalga
tabueret	sum ikki má takast upp á tungu, friðhalgaður, bannhalgaður
tabula gratulatoria	kvøðulisti, kvøðuskrá
tabula rasa	1óskrivað blað (um tilvitanina hjá fólki, áðrenn tað hevur lært nakað)2(fl.m.) gøre t. r.gera bart
tabulator	(teld.) teigari, tabulatorur
tabulatortast	teigaraknappur
tabuord	1(átr.)bannhalgaðel.friðhalgað orð2ónæri(s)lig orð, tabuorð3sjónavn, noaorð
taburet	1krakkur, skammil2ráðharrastarv, ráðharrasessur;klæbe tiltaburettenikki vilja siga ráðharrastarv frá sær, gøllhalda um ráðharrastarvið
taburetklæber	ein, ið ikki vil siga ráðharrastarv frá sær; ein, ið gøllheldur um ráðharrasessin
tachisme	takisma, tachisma (málingarháttur eftir 1945 í ikki ítøkiligariel.abstraktari málningalist, har litirnir antin verða smurdir uppá í blettumel.sprændir uppá)
tachist	takistur, tachistur, listafólk, ið nýtir takistiskan málingarhátt; sítachisme
tachistisk	tachistiskur, takist(i)skur; sítachisme
tachometer	ferðmálari, snúningsmálari, snúningsteljari
tachymeter	leiðar- og hæddarmálari (landmálaratól)
tackle	1(í fótbólti) krøkja bóltin av einum, (royna at) taka bóltin av(el.frá) einum, takkla (ein)2(fl.m.) t. et problemroyna at loysa trupulleika
tackling	(í fótbólti) tað at krøkja bólt av einum, tað at taka bólt av einum, tað at takkla ein, takkling
tadsjiker	tadsjikari, fólk íel.úr Tadsjikistan
tadsjikisk1	(í bundnum sniði)tadsjikiskentadsjikiskt (mál)
tadsjikisk2	tadsjikiskur, sum er íel.úr Tadsjikistan
Tadsjikistan	(sern., landafr.)Tadsjikistan /-ki-/
taekwondo	koreisk bardagalist, sum verður íðkað sum ítrótt
tael	1tael (eysturasiatisk vekteind)2tael (kinversk mynteind)
taffel	taflerfínt borðhald(t.d.hjá kongi)
taffeland	(dý.) høvuðreyð ont(fltentur)(Aythya ferina)
taffelformet	lágskapaður, lágdánaður, lágmyndaður;t. klaverlágt klaver
