U,u1	1málljóð2bókstavur
u-2	forskoyti ó-1(í noktandi merking, sum sigur frá mótsetningi)(t.d.) ulæst, umage, uvidende2vánaligur, ringur,(t.d.) ugerning, uvane, uvejr;(í førum, har sum annar liðurin ikki er sjálvstøðugur liður,t.d.) uhumsk, utyske (t.e.einki eiturhumskel.tyske)
u.3	1(st.) uden2(st.) under
uacceptabel	ikki góðtakandi, sum ikki kann góðtakastel.góðkennast, sum ein ikki kann ganga undir, sum ein ikki kann taka við, sum ein ikki kann geva seg undir, sum ein ikki kann lata um seg ganga, sum ein ikki kann lata sær lynda
uadskillelig	samangreipaður, sum ikki kann skiljast sundur, ósundurskiljandi;et par uadskilleligevennerteir eru altíð saman, teir eru sum krókur og lykkja, har rennur ikki vatn ímillum, teir eru sum brøður, tey eru sum systkin, ikki til at skilja sundur;de er uadskillelige venindertær eru sum systrar;Chr IV's navn er uadskilleligtforbundet med nogle af Danmarks smukkestebygningerKristian fjórði rennur einum altíð í huga, tá ið summi av vakrastu húsunum í Danmørk verða nevnd
uafbrudt	1støðugur, óslitin, áhaldandi, áhaldin, samfeldur(t.d.í trý samfeld ár), varandi, framhaldandi, samfastur, sífeldur, tráur(t.d.vindur, ætt), sam-(t.d.samveðurel.samviðri), (um vindeis.)sívindaður(t.d.vesturættin er so s.);u. regnsamregn, tað regnar samfast;v.snevejrsamkavi, samrok,(t.d.kavarokið) helmar ikki í;en u. rækkeóslitið rað2[sumhj]støðugt, íðuliga, áhaldandi, í heilum, støðuliga, við ongum steðgi, uttan slit, uttan íslit, uttan íhald;der er en u. strøm afmenneskertað slitnar ikki sundur;u. i treregnskabsårí trý samfeld roknskaparár;tale u. ien timetala í ein heilan (fullanel.stívan) tíma
uaffedtet	feittsmurdur, fitismurdur, sum hevur ullarfitina
uafgjort	ikki avgjørdur, óavgjørdur, javnur, sum støða ikki er tikin til enn;et u. spørgsmålspurningur, ið framvegis liggur á láni;kampen endte u.tað var javnleikur
uafhentet	óheintaður, ikki heintaður, sum eingin hevur verið eftir enn, ikki upptikin(t.d.um grindapart, sum ikki er upptikin)
uafhjælpelig	óbøtandi, sum ikki kann bøtast, ólekjandi
uafhændelig	sum ikki kann latast av hondum
uafhængig	óheftur, óbundin; frælsur, sjálvræðin, sjálvstøðugur, sjálvstýrdur; sjálvbjargin;en fri og u. statfrælst og sjálvstøðugt ríki(el.land);være økonomisk u.vera óheftur fíggjarliga, vera fíggjarliga sjálvbjargin;u. afleysur frá nøkrum(el.við nakað)
uafhængighed	1frælsi, sjálvræði, fullveldi2sjálvbjargni3óheftni
uafhængighedsbevægelse	frælsisrørsla, loysingarrørsla
uafhængighedserklæring	frælsisyvirlýsing
uafhængighedskrig	frælsisstríð, frælsisbardagi
uafklaret	óavgreiddur, óloystur, sum ikki er greiddur (enn), sum onga loysn hevur fingið
uafkortet	óskerdur, fullur, óstyttur
uafladelig	1støðugur, javnur, áhaldandi, endaleysur, sífeldur;u. snaksjóðan;en u. strøm af bilerjavnur streymur(el.meldur) av bilum2[sumhj] í heilum, altíð, altíð og stund;deskændes uafladeligttey deilast (keglast/skeldast) altíð; sí eis.uafbrudt
uaflåst	ólæstur
uafrystelig	sum ikki slepst av við, sum ein ikki fær skákað av sær, sum ikki fæst burtur, ógloymandi;en u.byrdeein byrða, ið ikki slepst av við(el.undan); byrða, ið ein ikki fær sett av(el.frá) sær
uafskallet	óflust rís, rís við skali
uafskærmet	óvardur, sum ikki er avbyrgdur
uafsluttet	ikki liðugur;u. arbejdearbeiði, ið ikki er liðugt(el.sum liggur a láni)(eis., t.d.)jólatrøll
uafsættelig	óseljandi, sum ikki kann seljast; sum ikki slepst av við;kongen er u.kongur kann ikki koyrast frá; kongur kann ikki verða frákoyrdur
uaftvættelig	óbøtiligur, sum ikki fæst burtur;en u. skamvanærulig(el.óbøtilig) skomm
uafvendelig1	sum ikki slepstel.kemst undan, sum ein ikki fær skákað sær undan;en u. skæbnelagna, ið ikki slepst undan; lagna, ið einum er lagað
uafvendelig2	sum ikki slepst undan
