V,v1	1málljóð2bókstavur
V2	1rómverskt talts s52(st.)volt3(st.)vestur4altjóða frámerki á akførum Vatikanríkisins
v.3	1(st.) ved, (t.d.) Munkebjerg v. Vejle2stykkjaprísur;35.00 v. 4 fl. (fl = flaske)3(st.á latíni)videsí(t.d.) v. p. 28sí bls. 284(st.) von, vanúr, av, frá (ávikavist týskt og hollendskt)
V.4	(st.) Vester í staðarnavni,(t.d.) V. Vandet
vabel	bløðra, blæma, (av ár) árabløðra, (av at draga línu) dráttrarbløðra, (av haka) hakabløðra
vablet	bløðrutur
vaccination	koppseting, kopping, pirking, tað at pirka
vaccinationsattest	koppaváttan, koppsetingarváttan
vaccine	koppingarevni
vaccinere	koppseta, koppa, pirka
vad	vað(t.d.leið um á)
vade1	botnur í vaðli
vade2	1vaða, vassa;v. over en åvassa (tvørtur) um eina á;vi måtte v. i land fra bådenvit máttu vassa í land av bátinum;v. i dyndslupsa, ganga slupsandi;v. i jord til op over anklernetroða jørð til kálva; vassa í runu upp til øklar,v. i sne tilknæene/hofternevassa(el.troða) í kava upp til kníggja/upp undir miðju;v.i sølevaða upp um øklar í runu (moldel.evju), tøssa;han vader af sted i sine store støvlerhann fer skjølkandi(el.gongur so tungføttur) í stóru stivlunum2(fl.m.) v. i pengeeiga ómikið(el.nógvan) av peningi, svimja í pengum
vadebukser	vaðbuksur, vaðbrøkur, stivlabuksur(t. e.stivlar og brøkur í einum)
vadefugl	(dý.) vaðfuglur(Charadrii)
vadehav	vaðil
vademecum	handbók í fikkustøddel.lummastødd, lummabók (við ráðum og upplýsingum); eitt, ið ein altið hevur uppi á sær
vadested	1vað2(fl.m.) skifte heste i et v.broyta mannagongdel.skifta manningel.fólk mitt í øllum
vadesten	løgasteinar (flt)
vadestøvle	vaðstivli
vadmalsbukser	vaðmalsbuksur
vadmel	vadmal /vad-, vab-/, vaðmal /vam-/ (grovt heimavovið ullint plagg)
vadmelsklædt	í vadmalsklæðum, vaðmalsklæddur
vadmelskofte	kot, vadmalskot, vaðmalskot
vadsæk	klæðsekkur /klas-/
vaf	vaff, goyði hundahvølpurin
vaffel	vafla, kramarhús;en iskage i v.ísur í kramarhúsi;franske vaflerfranskar vaflur
vaffeljern	vaflujarn
vaffelstrikket	bundin í keppavond
vaffelstrikning	binding í keppavond
vaffelvævet	vovin í keppavond, keppavandarvovin
vaffelvævning	vafluveving
vaflet	vaflumynstraður, vaflutur;et v. mønstervaflumynstur
vag	óvissur, ógreiður, óklárur, veikur, sveimandi, kámur;en v. mistankelítil illgruni;vage begreberógreið hugtøk;have vage forestillinger omhava ógreiða hugsan um (okkurt);ministerenfremsatte kun nogle vage udtalelserráðharrin segði einki ítøkiligt
vagabond	landastrok, valtrari, strokavætti, rekavætti, farumkring, fjakkari, flakkari, reikari, rennari, oyggjagleiv
vagabondere	1flakka, strúka, reika, fjakka, valtra;barnet røberhang til vagabonderingbarnið hevur hug at strúka2[lh nútsuml]vagabonderende personrekavætti;vagabonderende hundstrokahundur;(ravm.) vagabonderende strømmestrokastreymur
vagabondering	flakking, flakkan, fjakkan, fjakking, strúking, valtran
vagabondtilværelse	tað at liva sum landastrok
vager	(sigl.) siglingarmerki (tunnuskapað við stong ígjøgnum)
vagina	skeið, móðurskeið, skap (oftafltskøpini)
vaginal	skeiðar-, móðurskeiðar-, skap-
vagt	1varðhald, vakt, vaktarhald;reservelægen harv. i aftenundirlæknin hevur vakt í kvøld;holde v.standa á varðhaldi;overtage vagtenloysa av;ståpå v.vera á varðhaldi, vera á vakt, standa á vakt, hava vakt2(vaktartíð) vakt;man delte døgnet i fem vaktersamdøgrið varð býtt sundur í fimm vaktir3vaktarhús, varðhald, varðhús;soldater mednattetegn skal melde sig i vagtenhermenn við náttarloyvi skulu venda(el.snúgva) sær til vaktarhúsið4varðmaður, vakt, vaktarmaður, vørður, varðhaldsmaður;der står en v. ved kasernensportvarðmaður stendur við liðið til hermannabúðirnar;vagten på Amalienborgvarðmenninir á(el.við) Amaliuborg;stå v.standa á varðhaldi;stille vagter udseta menn á varðhald;råbe v. i geværsígevær
vagtarrest	(sø., herm) varðhaldsfongsling (har fangi er læstur inni í serstøkum kliva)
vagtblus	varðeldur;vagtblusset brændte uden for teltetvarðeldurin logaði uttan fyri tjaldið
vagtbureau	sívagtselskab
vagtbygning	vaktarhús, varðhús, varðhald
vagtcentral	neyðtænasta; vaktarstøð, varðstova, varðstøð
vagtel	(dý.)lynghøna, vaktil, (eyknevni) pippus(Coturnixcoturnix); virginsk v.virginiatannhøna(Colinusvirginianus)
vagtelkonge	(dý.)akurskritt, akurskrift(Crex crex);vagtelkongens skrigkreks
vagthavende1	far til vakthavandi
vagthavende2	sum hevur vakt, vakthavandi, vakteigandi;v.officeryvirmaður á vakt
vagthold	vaktarhald, varðlið, vaktarlið, vaktarmanning;soldaterne blev delt i to v.hermenninir vórðu býttir (skipaðirel.skiftir) sundur í tvey varðlið
vagthund	varðhundur, vaktarhundur
vagthus	varðhús, vaktarhús,(sø.)vøkhús
vagtild	varðeldur
vagtinspektør	vaktarumsjónarmaður
vagtkommandør	varðstjóri (fyri vaktarliði)
vagtlokale	varðstova, vaktarstova, vaktarhøli
vagtlæge	lækni á vakt
vagtmand	varðmaður, vakt
vagtmandskab	sívagthold
vagtmester	vaktmeistari (starvstign í vaktarfelagi, í fongsulsverkinum og á sjúkrahúsum)
vagtparade	vaktar(skrúð)gonga (drotningarhirðin á veg tilel.frá Amaliuborg)
vagtplads	vaktarstøða
vaktplan	vaktarætlan
vagtpost	1varðmaður, vørður, vakt, vaktarmaður, hermaður á varðhaldi;stille vagtposter udseta varðmenn á vakt2vaktarstøða
vagtselskab	vaktarfelag, vaktarvirki
vagtskema	vaktarætlan, vaktartalva,(tlm.)vaktarskema
vagtskib	vaktarskip
vagtskifte	vaktarskifti,(sigl.)avloysing;vagtskiftet påAmalienborg finder sted kl. 12vaktarskiftið á Amaliuborg er á middegi
vagtsom	ansin, varin (um seg), vakin, eftiransin;en v. hundvakin hundur
vagtstue	vaktarstova
vagttjeneste	vaktartænasta, tað at hava vakt
vagttørn	vakt, tað at havael.eiga vakt
vagttårn	varðtorn, vaktartorn
vagtværn	vaktarlið, varnarlið, verndarlið
vaje	veittra, blaktra, bleiktra;flaget vajer over slottetflaggið veittrar uppi yvir slottinum
vajsenhus	(sø.) barnaheim
vajsenhusdreng	(sø.) barnaheimsdrongur
vajsenhuspige	(sø.) barnaheimsgenta
vakance	leystel.ósett starv;under vakancen blevsekretæren konstitueret som fuldmægtigmeðan starv var ósett(el.ómannað), varð skrivarin settur sum fulltrúi
vakant	leysur;stillingen er v.starvið er leyst
vakkelvorn,vaklevorn	skirvisligur, skinklutur, skøpnaligur, karlagin, fallkomin, larpasligur, lasaligur,den stol sernoget v. udhasin stólurin sær heldur skinklutur(el.skirvisligur) út
vakker	(gl.) vakur, penur, yndisligur; fittur;Tornerosevar et vakkert barnTornurósa var eitt vakurt barn
vakle	1skinkla, stakra /stagra/, sløðra, sløtra, skekla, stumbla, stumla, riða á, ridla;v. hid og didskinkla higar og hagar, geisla;den syge vakledehen til sengentann sjúki fór stakrandi/støplandi yvir at songini;benene vakler under migbein ini vilja ikki bera meg;bordet står og vaklerborðið stendur og skinklar2(fl.m.)ivast, vera í iva, draga á bæði, mala á hælinum;tronen vaklerkongsveldið er í vanda;v.i sin beslutningdraga á bæði, mala á hælinum, vera í døpurhuga;v. i troen,ivast í trúnni;v.mellem to mulighederdraga á bæði, ivast í tveimum møguleikum;uden vaklen traf han sinbeslutninghann tók avgerðina uttan at himprast(el.ivast)3[lh nútsuml]vaklendeskinklutur, vinglutur, óstøðugur, støðuveikur; ivingarsamur;hanshelbred er vaklendeheilsan hjá honum er farin at bila
vaklen	vinglan, skinkl, vingl, vingul, sløð(u)r;nu skalingen v. være længerenú skal einki honk vera longur
vaklevorn	sívakkelvorn
vaks	1kvikur, raskur, snarur, vakin, dugnaligur, gløggur, skilagóður;i storbytrafikken gælderdet om at være v.í stórbýarferðsluni(el.í nógvu ferðsluni í stórbýnum) ræður um at vera kvikur(el.vakin);det er du ikke særlig v. tilhatta dugir tú ikki serliga væl, hasum ert tú ikki stinnur í2(viðv.móta) snøggur, snotiligur, smartur
vakt	(átr.) frelstur, vaktur;være v.el.høre til de vaktevera frelstur
vakuole	(lívfr.) kyknubløðra
vakuum	lufttómt rúm, tómi, tómarúm, vakuum
vakuumbremse	(tøkn.) tómabremsa, vakuumbremsa
vakuummeter	tómamálari, vakuummálari
vakuumpakke	vakuumpakka
vakuumpakning	vakuumpakking
vakuumpumpe	(alisfr.) tómapumpa, vakuumpumpa
vakuumrør	tómarør, vakuumrør
val	1(sø., hátíð)valur, vígvøllur;blive, falde, segnepå valenfalla á vígvøllum, liggja eftir á2(fl.m., skemt.) segne på valenbarn, ið sovnar, meðan tað spælir
valbirk	síahorn
valborgdag	valborgarmessa (1. mai)
valborgnat	valborgarnátt (náttin millum 30. apríl og 1. mai, tá ið gívrarnar hittast á Bloksfjalli)
valdhorn	(tónl.) valdhorn, franskt horn, horn
valdhornist	(tónl. hornleikari, hornspælari
valen1	(í bundnum sniði) vígvøllur, valur;segne på valenfalla á vali(el.á vígvølli), liggja eftir á;blive påvalendoyggja á vígvølli;falde på valenfalla á vígvølli(el.vali)
valen2	1lofnaður, lummhentur;være v. om fingrene afkuldevera lofnaður2(fl.m.)gjánka(s)ligur;indtage en v. holdning tilet problemonga greiða støðu taka í máli, taka gjánkasliga støðu, hava ullinta støðu í máli
valens	(evnafr.) gildi
valensbinding	(evnafr.) gildisbinding, gildiseining
valent	(evnafr., bara í smst) -gildur;monovalenteingildur
valerian	síbaldrian
