W,w	1bókstavur (í donskum bara nýttur í orðum av útlendskum uppruna)2(st., alisfr.) W wattogwolfram
waders	gummistivlar og gummibuksur í einum
wadi	áarfar (í Arábia, Norðurafrika og øðrum oyðimørkum; um áir, ið bara taka seg upp í regntíðini)
wagon	ferðafólkavognur (í jarnbreytartoki)
waldorfsalat	waldorfsalat (av súreplum, sellerii, vínberjum og valnøtum við majonesu og rómael.súrróma)
Wales	(sern., landafr.)Wales (fúrstadømi í Bretlandi)
walesbrød	wienarbreyð
waliser	valisi, valisari, walisi, walisari, walesbúgvi
walisisk1	valisiskt (mál)
walisisk2	valiskur, valisiskur, waliskur, walisiskur
walkie-talkie	walkie-talkie
walkman	gongulurt, farlurt, walkman
Wandsbek	hatta er tvætl og møsn, einki høpi er í hasum
warrants	(handilsm.) tíðaravmarkaður tekningarrættur
Warszawa	Varsjava (høvuðsstaður Póllands)
Warszawapagten	(sø.) Varsjavaverjusamgongan
Washington	Washington (sambandshøvuðsstaðurin í USA)
wassermannreaktion	(lækn.) wassermannreaktión (blóðroynd at staðfesta, um fólk hevur syfilis)
waterfront	sævarlag, havnarlag; strandarvegur; sí eis.søfront
watt	(ravm., alisfr.) watt (altjóða málieind fyri orku, ið antin verður framleiddel.nýtt hvønn tíma),(st.)W
wattmeter	wattmálari, orkumálari
wattsekund	wattsekund
watttime	watttími (málieind í ravmagnsnýtslu),(st.)Wh
wc	(tlm.) vesi, wc, vatnhús, toilett, (aveltel.skemt.)nátthús;gå på wcfara á vesið, fara at hjálpa sær sjálvum
wc-børste	vesibust
wc-kumme	vesikumma, kumma
wc-papir	vesipappír, toilettpappír,(gl.)skoynisoppur
wc-rulle	vesirulla
web	(teld.) vev
webbaseret	(teld)netborin
webcrawler	(teld.) heimsnetsleitari (leitingartól tilworld widewebá á alnetinum/internetinum)
webinar	netsetur
webkamera	vevmyndatól
webmaster	(teld) vevstjóri
webmåling	(teld) vevmáting;koordineret webmålingsamskipað vevmáting
website	(teld) vevsæti
weekend	vikuskifti;jeg er ikke hjemme denne w.eg verði ikki við hús/heima um vikuskiftið;de er på w. iSnekkerstentey eru í Snekkersten hetta vikuskiftið;holde w.halda frí um vikuskiftið, halda vikuskiftisfrí
weekendfri	vikuskiftisfrí;vi har w.vit hava afturlatið um vikuskiftið
weekendgæst	vikuskiftisgestir, gestir um vikuskiftið
weekendlukning	at hava afturlatið um vikuskiftið
weekendtaske	ferðataska, stór skjátta, vikuskiftistaska
weekendtog	vikuskiftistok (tok, ið bara koyrir um vikuskiftið)
weekendudflugt	vikuskiftisútferð
Weichsel	Visla (størsta á í Póllandi)
weichselpibe	veiksilpípa (stelkurin á henni er gjørdur úr veiksilviði)
weichseltræ1	(plfr.) veiksiltræ (slag av kirsiberjatræi)(Prunusmahaleb)
weichseltræ2	(um tilfarið) veiksilviður
welldæk	(sigl.) brunndekk
weltervægt	(í nevaleiki) veltarvekt, weltarvekt (vekt millum 63, 5 og 67 kg.);verdensmester i w.heimsmeistari í veltarvekt/weltarvekt
weltervægter	veltarvektari, veltarvektarboksari (nevaleikari, ið vigar millum 63, 5 og 67 kg.)
weltschmerz	lívsleiði, tunglyndi, tungsinni (í bókmentum: sorg og pína, sum stavar frá samkenslu við teirri líðandi mannaættini)
western	cowboyfilmur, kovboyfilmur, westernfilmur (filmur, ið snýr seg um niðursetufólk, útilagnar menn, cowboyar og indiánar)
Wh	(st.) watt-time (st.watt-hour)watttími
