X,x	framboriðks, men í framljóði framborið sums1bókstavur (á donskum bara nýttur í orðum av útlendskum uppruna(td) xylofon)2rómverskt talteknX = 103(stfr)ókend talstødd; eisini nýtt um ókent fólk ella lut;lad x være lig y (stfr)set fyri, at x er y;x i tredjex í triðja veldi(el.potensi)
x-akse	(stfr.) útás, x-ás
xanthippe	brita, ørn, illabrita, gívur(kv),illkvendi, kvendi (navnið á konuni hjá Sokratesi, forngrikska heimspekinginum)
xenofili	ovuralskur til alt, ið er útlendskt
xenofobi	fremmandahatur, ótti og andstygd fyri øllum útlendskum
xenolit	(jarðfr.) inniloka (brotpetti av fremmandagróti, lokað inni í gosgrýti)
xenon	(evnafr.) xenon (litleyst, luftvorðið evni; xenon er frumevni, sum er ógvuliga sjáldsamt, og sum treyðugt fer í samband við onnur evni);(st.)Xe
xeolit	(jarðfr.) inniloka
xerografi	ljósprenting (við ljósprentingartóli)
xeroxe	(lmynd.) ljósprenta, taka avrit
XL	(st.) extra large (á klæðum) sera stór stødd;ekstra stor størrelsesera stór stødd
XS	(st.) extra small (á klæðum) ógvuliga lítil stødd
x-stråle	röntgengeisli
x-værdi	(stfr.) x-virði
xylofon	sylofon, xylofon (ásláttarljóðføri)
xylofonist	sylofonleikari
xylograf	træskeri, træskurðarfólk
xylografere	skera í træ
xylografi1	træskurður, træskurðarlist
xylografi2	træskurðarmynd (um sjálvt træskurðarúrslitið)
xylografisk	træskurðar-, træskurði viðvíkjandi
