Y,y	1málljóð2bókstavur3(stfr.)annar av tveimum ókendum, síX 3.
yacht	(stórur) stuttleikabátur, játt
yachtklub	stuttleikabátaklubbur, játtklubbur
yak	(dý.) síyakokse
yakokse	(dý.) jakkneyt (smátt, síðullað neytaslag í Miðasia)(Bos grunniens)
y-akse	(stfr.) uppás, y-ás
yalelås	jellilás /-ll-/, yalelás, jalilás (úthurðarlás)
yalenøgle	jellilykil /-ll-/, yalelykil, jalilykil
yams	jams (samheiti fyri fleiri tropiskar klivplantur, sum verða dyrkaðar, tí røturnar eru føðslugóðar,Dioscorea)
yang	jang (tað virkna kallkynsmerkið í kinverskari natúrheimspeki; móts.yin)
yankee	janki /janki/, yankee, amerikanari(sø., uppr. serst.sagtniðr.av suðurríkjafólki um norðurríkjafólk)
yard	jardur, jard [longdarmát =3 feet= 0, 9144 m,(st.)yd]
yatzy	jatsi (terningaspæl)
yawl	(sigl.) tvímastrað skip (har afturmasturinel.mesanmasturin er nógv lægri enn frammasturel.stórmasturin, og róðurstamman stendur framman fyri mesanmastrina)
yd.	(st.) yard
yde	1veita, geva;jeg vil gerne y. ham al muliganerkendelseeg vil fegin geva honum viðurkenning (fyri alt hann hevur gjørt);y. en godafgrødegeva góðar fruktir;y. hjælpveita hjálp2gera, avrika, fremja;han har aldrig ydet nogethann hevur aldri rætt hond frá síðu, hann hevur ongantíð gjørt peningsverk;han kunnegodt y. det helt fremragendehann hevði kunnað gjørt framúr gott avrik; hann hevði kunnað gjørt valaverk, um hann tók sær um reiggj;hanydede sej modstandhann gjørdi/veitti harða/tógva mótstøðu3gjalda, rinda, lata,(tlm.)betala;du bliver nødttil at y. ham erstatningtú mást lata honum endurgjald;staten ydede ham en beskedenpensionlandið/ríkið rindaði honum eina lítla eftirløn;enhver må y. skat efter evneøll mugu lata/gjalda skatt eftir førimuni4lata, veita;han ydede et vægtigt bidrag tilfestskriftethann skrivaði eina megnargrein í heiðursritinum;y. bidrag til en indsamlinglata til innsavning;(handilsm.) y. henstandveita dvøl, veita skuldarfreist;(handilsm.) y. kreditveita/geva kreditt5[lh nútsuml]ydende medlem afsygekassegjaldandi sjúkrakassalimur
ydedygtig	sum fær nógv á skaftið/av skafti, sum gevur væl/nógv av sær, veitingarførur, gávuríkur;en y.kokúgv, ið mjólkar væl
ydeevne	1(um maskinu) orka, máttur2(um fólk) dugur, dugnaskapur, førleiki
ydelse	1avrik;hans y. ved den lejlighed var ikke stortað, hann gjørdi/avrikaði ta ferðina, var ikki nógv;koens y. af mælk er faldendekúgvin mjólkar minni2gjald, veiting, íkast, tiltak; (løgfr.)artsbestemte ydelserveitingar av sama slagi, samfingnar veitingar;han måtte forpligte sig til fire årlige ydelserhann bant seg til at gjalda fýra ferðir um árið;rundhåndet y.munagott íkast(el.tiltak);individuelt bestemte ydelserstakveitingar, ávísar veitingar;køberens y.veiting keyparans;sælgerens y.veiting seljarans
yder-	í smst. (t.d..) ydervæg, yderdistrikt
-yder	í smst (t.d..) bidragsyder, skatteyder
yderbane	ytrael.ytsta breyt
yderbeklædning	1klæðir at hava uttanyvir2síyderklædning
yderdistrikt	útjaðaraøki
yderdør	úthurð
yderfløj	ógvuliga víðgongdur vongur/armur (í rørslu//flokki)
yderfløjsparti	víðgongdur flokkur, útjaðaraflokkur
ydergrænse	útmark
ydergærde	útgarður
yderkant	útjaðari, útryðja, brún, úthorn; útsíða
yderklædning	(á húsumel.skipum) klædningur
yderkvarter	útjaðarabýlingur, útryðjubýlingur;han boede i enaf byens yderkvartererhann búði í einum av býlingunum í útriðjuni av býnum
yderlag	útlag
yderlig	1sum erel.stendur uttarlaga;han er så y.(í áskoðan) hann er so avgjørdur/víðgongdur/óhóvsamur2(miðst)meiri, fleiri;her kræves ikke yderligerebevisfleiri prógv eru ikki fyri neyðini/neyðug. okkum tørvar ikki fleiri prógv, her krevjast/nýtast ikki fleiri prógv;han måtte giveyderligere forklaringhann noyddist at greiða meira/greiniligari frá;han afholdt sig fra at stilleyderligere spørgsmålhann legði ikki í at spyrja/seta fleiri spurningar;yderligere sikkerhedeykatrygd,(bankam.)eykaveðhald3[sumhj]sæt dig ikke så y.set teg ikki so uttarlaga/so ytst;han sidder så yderligthann situr so uttarlaga/langt útiá;fristen kan ikkeforlænges yderligerefreistin verður ikki framlongd, freistin kann ikki leingjast meira
yderliggående	síyderligtgående
yderlighed	óhógv;man skal ikke gå til yderlighederein/man skal ikki hava óhógv fyri; ein/man skal kunna/duga sær hógv
yderligtgående	víðgongdur, óhóvsamur, ógvisligur;hun er y. isine meningerhon hevur víðgongdar áskoðanir
yderlomme	áseymaðurel.álímaður lummi; lummi, sum er uttaná
ydermere	harafturat, afturat tí, harumframt, uppaftur tað;y.var han frækharafturat var hann nasvísur/frekur
ydermur	útveggur
yderparti	víðgongdur flokkur, politiskur flokkur ytst á vinstrael.høgra veingi;den politiske udviklingmedførte en øget tilstrømning til yderpartiernepolitiska gongdin hevði við sær, at víðgongdu flokkarnir fingu (alsamt) vaksandi/størri undirtøku
yderpunkt	útmark (hámark, lágmark)
yderrabat	(fram við vegi) vegøksl, grasjaðari, vegkantur
yderred	akkerspláss á polli (vági), skipalega uttan fyri havn
yderside	útsíða;y. af håndenhandarbak(móts.lógvi)
