Z,z	(framborið sumts tdítrapez,men aloftast og altíð í framljóði sum s, í donskum bara nýtt í orðum av útlendskum uppruna)
Zaire	Sair (ríki í Miðafrika (nú: Kongolýðveldið)
zairer	sairbúgvi, fólk íel.úr Sair (nú: kongobúgvi, kongofólk)
zairisk	sairskur, sairiskur, sum er íel.úr Sair (nú: kongolendskur, kongo-, sum er íel.úr Kongo)
Zambia	(sern., landafr.) Sambia (ríki í Eysturafrika)
zambier	sambiabúgvi, sambiari, fólk íel.úr Sambia
zambisk	sambiskur, sum er íel.úr Sambia
zambo	[avkom av nekara og indiána]
zappe	skifta títt millum sjónvarpsræsirnar, blaða í rásunum, sappa
zar	(sø.) sarur (russiskur keisari)
zardømme	sardømi
zarevitj	sarssonur, sarprinsur
zarevna	sarsdóttir, prinsessa
zarina	sarskona, sarsfrú, keisarinna (russiska sniðið ertsaritsa)
zarisme	sarveldi, óavmarkað keisaravald
zaristisk	saristiskur, sarskur
Zebaoth	(bíbl.) den Herre Zebaoth herskaranna Gud (Sl. 46, 12)
zebra	(dý.) sebra(fltsebrur)(Equus zebra)
zebrastribe	sebrustrípa
zebrastribet	sebruríputur, sebrustríputur
zebratræ	sebrutræ
zebu	sízebuokse
zebuokse	(dý.) sebuneyt (indiskt og eysturafrikanskt neytaslag)(Bos indicus)
zefyr1	lýggjur vestanvindur, lýggj vesturætt
zefyr2	tjúkt bummullartógv (úr merinoull)
zefyrgarn	tjúkt bummullartógv
zeloso	(tónl.) fýrisliga
zelot	1(sø, átr.)selotur (selotar vóru harðrendir trúarmenn, sum í Palestina á Jesu døgum stríddust ímóti rómverska hersetingarvaldinum)2trábeitinel.fanatiskur trúarmaður; óhóvsmaður
zen-buddhisme	senbuddatrúgv, senbuddisma (japansk budd istisk læra, har dentur verðu lagdur á sjálvsaga, meditatión og ósjálvráddael.spon tana sannleikafatan)
zenit	1(stjfr.)hápunkt á himmalhválvinum, hvirilsdepil, senit2(fl.m.)hámark, hædd;han havde nåetberømmelsens z.hann var komið í hæddina
zenitdistance	(stfr.) vinkulinel.fráleikin millum loddrætt og stevnu til stjørnu
zeolit	(jarðfr.) soðsteinur
zeppeliner	luftskip, seppilinari (nýtt av týskarum í fyrra kríggi, seinni nýtt til ferðafólkaflutnings)
zero	null, nullpunkt, nulldepil
zigzagbort, siksakbort	(bindingarmystur) slengur (slengrið)
zigzagge, siksakke	skákganga, skáksigla; lykkjuskjótast, buktaskjótast
zigzagkurs, siksakkurs	skákkós, skáksigling
zigzaglinje, siksaklinje	skákstrika, buktaskotin el. lykkjuskotin strika, sikksakkstrika
zigzaglyn, siksaklyn	snarljós(smb.toruljós)
zigzag, siksak	sniðskák, sikksakk, skákgonga, skáksigling frameftir; at okkurt er lykkjuskotið el. buktaskotið;vejen gik i s. op over bjergetvegurin skákaði ymsar vegir upp um fjallið
zikzakke, siksakke	skákganga, skáksigla, skákkoyra, skákflúgva, sikksakka
Zimbabwe	(sern., landafr.) Simbabvi (fyrr Rodesia)
zimbabwer	simbabvi, simbabvibúgvi, fólk íel.úr Simbabvi
zimbabwisk	simbabviskur, sum er íel.úr Simbabvi
zink	sink (metaliskt frumevni);(st.)Zn;overtrækkemed z.sinka, sinkklæða
zinkbalje	sinkbalja
zinkholdig	sinkhavin, sinkkendur
zinkhvidt	sinkhvíta (navnið á hvítum litevni)
zinkkiste	sinkkista
zinkografi	sízinktryk
zinkplade	sinkpláta
zinksalve	sinksalva
zinktryk	1sinkmynd, sinkprent2sinkskurður, sinkskurðarlist
zinktrykker	sinkprentari, sinkskurðarfólk
zionisme	sionisma (jødisk rørsla, ið miðaði eftir at gera Palestina [Ísrael] til heimland jøda; nú er endamálið at stuðla jødum í at flyta til Ísraels)
zionist	sionistur
zionistisk	sionistiskur
zirkon1	(jarðfr.) sirkon (brúnt metal av sirkoniumsilikati)
zirkon2	sirkon, zirkon (frumevni),(st.)Zr
zloty	sloti, zloty (fyrr: pólskt gjaldoyra)
zobel	(dý.) sopla, sibirskur márur(Martes zobellina)
zobelskind	sopluskinn, soplufeldur
zodiak	sodiak, zodiak (dýrakringur)
zodiakallys	(stjfr.) [kámt lýsi, ið sæst í dýrakringinum eftir sólsetur og fyri sól arris]
Zodiakus	(stjfr.) dýrakringur (stjørnumerki)
zombie,zombi	1(afr.orð; vesturafrikanskur og vuduslangugudur; yvirnáttúrlig kraft í líki, ið hevur fingið sálina aftur) sombi; ónormalt, løgið fólk2 dølkið fólk
zone	belti, øki, umráði, sona; yvirvaldsøki;den kolde z.kuldabeltið,den varme z.hitabeltið;inddele i zonerbýta sundur í øki(r), skifta sundur í øki(r); (handilsm.)økonomisk zonebúskaparøki;eksklusiv økonomisk zoneserbúskaparøki
zoneinddeling	sundurbýtiel.skifti í beltirel.økir
zoneparkering	økisparkering
zonetakst	økisgjald(t.d. viðv.býarbussum)
zoneterapeut	sonuviðgeri; sízoneterapi
zoneterapi	sonuviðgerð, sonuterapi (handaviðgerð av iljunum, sum hjálpir fyri sjúkur í øðrum likamslutum)
zonetid	miðaltíð (millum longdarstigel.middagslinjur)
zoo	(st.) zoologisk have dýragarður, djóragarður
zoofili	kynsligt samband við dýr
zoofobi	sjúkligur ótti fyri dýrum
zoofysiologi	dýralívvirkisfrøði, djóralívvirkisfrøði
zool.	(st.) zoologi el.zoologisk
zoolog	dýrafrøðingur, djórafrøðingur
zoologi	dýrafrøði, djórafrøði
zoologisk	dýrafrøðiligur, djórafrøðiligur, dýrafrøði-, djórafrøði-;z. havedýragarður, djóragarður;z.museumdýrasavn, djórasavn
zoom1	(lmynd.) mynddrátt(r)arlinsa, sumilinsa (í filmstóli, ljósmyndatóli)
zoom2	sízooming, zoomning,sí eis.zoome
