B	(am. skúl.)[næsthægsti karakterur] (t.d.get a B in history); class Bannaðfloks; B-
B.	(st.)Beatus; Bible;(í talvi:)Bishop; black; Boston; British; Brotherhood; bacillus
b1	(tónl.)(fortekn) flat; (tóni) B flat;b fyri AA flat;dupult bdouble flat;seta b fyriflatten
B3	(tónl.)H;B flatb;B flat majorB-dur;B flat minorB-mol
B&B	(st.)bed and breakfast
b. &b.	(st.)bed and breakfast
B& E	(st.)breaking and entering innbrot
BA	(st.)Bachelor of Arts; British Academy; British Association
baa1	1sjarma2njarman3mðlvmæ
BAA2	(st.)British Airports Authority
Baal	Báal (fønikiskur gudur)
baa-lamb	lambamæ
baas	(SuAfr.)= boss
babble1	1pjátr, tutl (t.d.a babble of voices was heard; the babble of the brook), sussan2tvætl, møsn, skvaldur (t.d.Eurobabble, psychobabble)
babble2	1tvætla, tutla, sussa, pjátra, bulla2møsna, skvaldra, blarva3leka (t.d.secrets)
babbler	suss, surrikanna
babe	1pinkubarn, nýføðingur, reivabarn, havingarbarn, lítlin;innocent as the babe unbornsakleysur sum barnið í móðurlívi;out of the mouth of babes and sucklings (uml.)frá børnum og fullum fólki skalt tú hoyra sannleikan2babe in the woodgóðvarið (bygdar)fólk3(am.) Sgenta
Babel	1Bábil;the Tower of BabelBábilstornið2bábilskur hurlivasi
babies'breath	(plfr.) brúðarslør (Gypsophila paniculata)
babies' slippers	(plfr.) tyrilstunga (Lotus)
babirus(s)a,babiroussa	(dý.)hjørtursvín(Babyruosa babyrussa)
baboo	(indiskt) harri(niðr.um evropiseraðan indara)
baboon	(dý.)bavianur(Papio)
baboonery	apukattalótir
baby1	1pinkubarn, nýføðingur, reivabarn, havingarbarn, lítlin2(fl.m.)mammudrongur; ársungi3(am.) Sgenta, skattur; kelivætti4tann yngsti;the baby of the familytann yngsti í húskinum, tann yngsti í ættini5(máliskur)I was left holding the babyeg stóð so nakkalangur, eftir stóð eg við skommini; eg fekk sviðan av tí;pass the babygeva onkrum øðrum svartaper;it’s your babyhatta er títt mál6Slítil fløska, lítil drykkur (t.d.baby cham)7Strupulleiki
baby2	fara við sum við einum barni (t.d.her aunt babied her and fussed over her clothes)
babybatterer	barnamishandlari
babybeef	kjøt av ungneyti
babyblimp	(am.)S tjúkk genta
baby-blues	barnsburðartunglyndi
babyboom	bráðvøkstur í burðartali(serst.eftir 2 heimsbardaga)
baby-bouncer	hoppireiggja
baby-boy	lítlibeiggi, ba
babybuggy	(am., tlm.)barnavognur
babybuster	[persónur frá tíðarskeiði við fáum barnsburðum]
baby car	pinkubilur
baby carriage	(am.)barnavognur (síeis.pram)
baby crop	stóru árgangirnir eftir kríggið
baby doll	gentubarn, dukkugenta, dukkudidda, dukka
baby farmer	[ein ið tekur óynskt børn í fostur so ikki meir hoyrist um tey]
baby grand	kabinettflygil
babyhood	fyrstu barnaár
babyish	barnsligur, sum eitt pinkubarn
Babylonian1	(sø.) bábiloni, bábilonari
Babylonian2	(sø.) bábilonskur
baby milk	barnamjólk
baby minder	barnagenta; dagrøktarmamma
babynest	reiður, pinkuból (lítil song úr toy at leggja pinkubørn í)
baby outfit	barnaútgerð
baby seal	nósi
baby’s head	(matur) [kjøtposteik]
baby shower	vónarveitsla
