c.	(st.)caught; catcher; circa; cloudy; center; colt; cubic; © copyright
C1	(flt Cs / C’s)C, c;middle C (tónl.)lítla c;take top C (tónl.)taka høga c
C2	E(st.) Certificate of Secondary Education,(nú erG C S Ekomið í staðin fyri)
C3	(st.) capital stock; Christian Science; Civil Service; Close Shot (film.)
C.¹	(st.)Catholic; Celtic; Chancellor; Congress; Conservative; Corps; Court
C.²,c.	(st.)candle; capacity; carbon; cathode; cent(s); centigrade; century; chapter;(sigl.)choppy; cirrus; copy; corps; cost
C. A.	(st.)Central America; Chartered(, Chief)C. A. ant; Chartered C. A. ant(Scot.); Coast Artillery; Court of Appeal
C/A	(st.)capital(, credit, current)account
ca.	(st.)candle; cathode; circa
CAA	(st.) (am.)Civil Aviation Authority
cab1	hýruvognur;(driver’s cab)førarahús, stýrihús
cab2	koyra í hýruvogni;Snápa, stjala
cabal	1kabál(a)2svikaráð, lokabrøgd3klika4the CabalKabalráðið (undir Karli II)5sleggja svikaráð, gera lokabrøgd
cabaret	kabarett
cabbage1	1kál, kálmeti, kálhøvd;(plfr.)hvítkál(Brassica oleraceavarcapitata alba)2klædnarestir ið verða lagdar til viks, dukkulappar3(tlm.) become a cabbagegerast heilaskaddur4(am.)Speningur, seðlar
cabbage2	stjala, nápa, naspa
cabbagehead	1kálhøvd2(fl.m.)býttlingur
cabbage rose	(plfr.)rósa(Rosa centifolia)
cabbage white	(dý.)kálfirvaldur(Pieris brassicae)
cabby	(tlm.)hýruvognsførari
caber	(skotskt.)(timbur) sperra
cabin	kahútt, koyta, manningarrúm; smátta; klivi, smárúm
cabin boy	kahútsdrongur
cabinclass	(sigl.)klassi millum 1. klassa og turistklassa
cabincruiser	langferðarskip
cabinet	1kamar2skáp3(tingm.)stjórn, stjórnarráð (teir týdningarmestu ráðharrarnir), ráðharrastova
cabinetcouncil	stjórnarráð, ríkisráð
Cabinetcrisis	stjórnarkreppa
cabinet maker	møblasnikkari
cabinet minister	ráðharri, stjórnarlimur
Cabinet Office	(svarar til) hovskrivstova
cabinet organ	stovuorgul
cabinet reshuffle	stjórnarbroyting
Cabinet responsibility	(hjá ráðharrunum sum heild) ríkisstjórnarábyrgd; sí eis.ministerial responsibility
cabinetry	(felags heiti fyri lutir við somu eyðkennum) (t.døll) skap (í køki)
cabinet shower	brúsuklivi
cabinetwork	snikkaraarbeiði
cable	1kaðal2trossi3akkersketa4kaðallongd5(kaðal) fjarrit6sfjarrita (gjøgnum kaðal)
cablecast	kaðalsjónvarpa
cablegram	kaðalfjarrit
cablelaid	(sigl.)kápullagt
