d-	(st.)damn
D1	
D.1	(st.)December; Democrat(ic); Department; Depth; Deus; Doctor; Dominus
D2	(st.)Intelligence Department
D.2	(st.) Deo volenteum Guð vil
d3	tekn fyripenny, pence(t.d.5d5pence); (st.) date; daughter; died
d.3	(st.)dam; date; daughter; day(s); dead; decent(serst. in: jolly decent); dele(te); denarius(= penny,t.d.1d; = pence, t.d.6d); density; died; dime
D/A	(st.)digital/analog; deposit account
D. A.1	(st.)District Attorney
D. A.2	(st.)Disabled American Veterans
dab1	1klapp; klíningur; klattur, slett(ur) (t.d.she put only dabs of food on her plate);sprutt2(dý.)skrubba(L limanda), tunga(Microstomus kitt)3dabs flt (tlm.)fingramerki, fingrafar
dab2	klappa, strúka eftir (við onkrum vátumel.bleytum); duppa (t.d.dabbing her eyelids with a small handkerchief);strika, sletta
dab3	be a dab hand atvera framúr góður í, duga væl, vera dugnaligur til (t.d.he is a dab hand at tennis)
dabble	1skvatla, skvambla (t.d.dabble the feet in water),dunnast (t.d.the swan dabbled its beak among the rushes);tvassa2dabble inklombra, heksast (við eitt),fuska; fáast eitt sindur við, vera eitt sindur uppi í (t.d.dabble in politics); dabble with the notion ofspæla við tankan um
dabbler	leikmaður, klombur, fuskari
dabchick	(dý.)smágjør(Tachybaptus ruficollis)
dabster	1Sserfrøðingur2klombur, fuskari
da capo	(tónl.)umaftur
dace	(dý.)streymskalgi(L leuciscus)
dachshund	gravhundur
dacoit	ránsmaður (í India)
dactyl	rættur tríliður, daktyl
dactylic	daktyliskur, í røttum tríliðahátti
dad	(tlm.)pápi, babba, pabba
daddy-long-legs	(dý.)grindalokkur(Tipulidae)
dado	miðlutur á súlnafóti; støðisflati
Daedalus	
DAEMON	(st.íhandilsm.ofta nýtt innanhýsis á skrivstovum) Disk And Execution Monitor
daffadowndilly	(plfr.)páskalilja(Narcissus)
daffodil	(plfr.)páskalilja(Narcissus pseudonarcissus)
daffy	(skotskt, am.S) = daft
daft	tápuligur, býttur, fjákutur, ørur
daftie	Stápulingur, býttlingur
dagger	1tvíeggjaður knívur, dolkur, stutt svørð2(prent.)krossur3they are at daggers drawntað er kríggj teirra millum;look daggersvera grimur í ásjón;he looked daggers at mehann rendi eyguni eftir mær, eg sá hatur í hansara eygum
dagger board	(sigl.)stungusvørð
dago	(am, niðr.)spanióli, portugis(ar)i, italiamaður
daguerreotype	1ndaguerreotypi (arbeiðsháttur við ljósmyndum, har ið nýttar eru málmplátur lagdar við silvuri)2sdaguerreotypera
dahlia	(plfr.)dahlia, georgina(Dahlia)
Dail Eireann	undirhúsið í írska tinginum
daily1	dagligur, vanligur
daily2	1dagblað, blað2(uml.)arbeiðsgenta (sum býr heima)
daily allowance	dagpengar
daily benefit	dagpenge
daily-bread(er)	(tlm. trygg.)forsjónari, uppihaldari
dailydozen	1morgunfimleikur; dagligar likamsvenjingar2handahógvsarbeiði
daily fare	gerandiskostur
daily press	dagbløðini
daily run	(sigl.)eittmál
dainty1	1lfínur, snøggur, snotiligur, yndisligur,(tlm.)dei(gi)ur2l(um mat) leskiligur, átuligur3l (niðrum persón) uppgjørdur; kræsin, vandin
dainty2	leskiligur biti, gloypubiti, góðgæti
daiquiri	(am.)kokkteylur úr rommi, sitrónsaft, sukri og ísi
dairy	mjólkarvirki, mjólkarbúð
dairy breed	mjólkneytaslag
dairy cattle	mjólkneyt
dairy farm	bóndagarður við mjólkneytum
dairymaid	arbeiðskona ið mjólkar, ger smør og ost; kvinna ið starvast á mjólkarvirki
dairyman	1mjólkarvirkiseigari, mjólkarvirkisstjóri2mjólkarbóndi; mjólkarhandlari
dairy produce	mjólkarframleiðsla, mjólkarvørur
dairy shop	(gl.)mjólkarbúð, mjólkarvirki
dais	hækkaður pallur til hásæti, háborðosfr.
daisy	1(plfr.)støðugtblómandi summardái(Bellis perennis); ox-eye daisyhvítt oksaeyga(Leucanthemum vulgare)2he’s a daisy Shann er sera góður3push (up) daisies (tlm.)vera deyður og jarðaður
daisycutter	vallstrok (um bólt)
daisy wheel	skriftkrúna (til el-skrivimaskinu)
Dakota	
dale	dalur
dalek	(tólmenni í sjónvarpsrøð)
dalliance	fjas, fják, glentan, roks; leikur, spæl
dally	fjasast, glentast; leika, spæla(withvið), (gl.)koksa; pjankast, dullast, dratla
Dalmatia	Dalmatia
Dalmatian	1ndalmati;Dalmatian pelican (dý.)topppelikan(Pelecanus crispus)2ldalmatiskur
dalmatic	dalmatika (katólskur messuakul; krýningarbúni)
daltonism	litblindni
dam1	kvennslag av ferføttum dýrum: tík, løða, ryssaosfr.; the devil and his damallur tramin
dam2	byrging, verjugarður, garður
dam3	byrgja, tippa, demma(up)
damage1	skaði, mein, meiðsl, løstur;loss or damagemissur ella skaði;no damage was doneeingin skaði var hendir;do damage toskaða, løsta;what’s the damage ? (tlm.)hvussu nógv skal eg gjalda; hvat kostar hetta mær?;stand the damage (tlm.)gjalda gildið;damage to propertymateriellur skaði
damage2	skaða (t.d.thecar was badly damaged in theaccident),meiðsla, meinsla, meina; spilla (t.d.the scandal could seriously damage hiscareer), løsta
damage claim	endurgjaldskrav
damage control	skaðaavmarking
damaged	skaddur; illa farin (t.d.carpets badly damaged by moths)
damages	skaðabót, endurgjald;actionfor damagesendurgjaldsmál;bring an action for damages against sby,;aggravateddamageshækkað endurgjald;assessthe damagesáseta endurgjald;becastin heavy damagesverða dømdur at rinda stórt endurgjald;claimfor damagesendurgjaldskrav;claim damages against himseta fram endurgjaldskrav móti honum;make a claim for damages against sbykrevja skaðabót av einum;contemptuousdamagesformligt endurgjald;liable topay damages to sbyendurgjaldsskyldugur mótvegis einum;liquidateddamagesásett skaðaendurgjald;themeasureof damagesendurgjaldsstødd;nominaldamagessymbolskt endurgjald;recoverdamagesfáa endurgjald;substantialdamagesrímiligt endurgjald;suesby for damagesseta einum endurgjaldskrav;unliquidateddamagesmett endurgjald
damaging	1skaðiligur, spillandi2skemmandi3darvandi4(løgfr.)tyngjandi (t.d.evidence; documents)
daman	(dý.) fjallagrevlingur (Hyracoidea)
damascene	damasera (geva málmi mynstur við at etja (etsa) hann)
damask	1damask (mynstrað klæði úr silki, ullel.bummull)2(litur:) rósureyður3sdamasera (síomanfyri)
dame	1tignarheiti veitt konu (samsvarandi riddaratign); heiti áknight’sogbaronet’skonu2(gl.)kona, húsfrúgv, hústrú3gomul kona4(sjónlí pantomimu) brita, illkvendi (ið maður leikar)5Sgenta
Dame Fortune	frúgvin Fortuna
Dame Nature	móðirin náttúra
dame school	(gl.)smábarnaskúli (hildin heima)
dame’s violet	(plfr.)flammublómuslag(Hesperis matronalis)
dammit	for tramin, skít, bannað veri
damn1	eiður, illbøn, bannan, blótan, svørjan;I don’t care a damneg leggi ikki petti í tað;I don’t give a damn for ittað gevi eg einki fyri;not worth a damneinki petti verdur
damn2	1fordøma, dømathat remark was enough to damn himtann viðmerkingin var nóg mikið til at døma hann2biðja ilt fyri einum; havna; geva kaldliga móttøku (t.d. sjónleik); banna, blóta;mðlvskít, fanans, tramans, ólukksáligt;I’ll be damnedtað var sum fanans;oh damn (it)!skít!; ólukksáligt!;damn the expenseskít veri við hvat tað kostar
damn3	tey mundu skrædna sum tey flentu;a damn sight betterso nógv betri;damn allals ikki (einki)
damnable	forbiðin, (for)bannaður (t.d.lie),ólukksáligur, forbrendur (t.d.damnable weather)
damn-all	Sikki tað sum eitur, einki yvirhøvur
damnation	1banning, fordøming;(átr.)glatan (t.d.the damnation of Hell)2mðlvtramanstíð, illanstíð
damnatory	(for)dømandi; fellandi
damned	1glataður (t.d.souls);forbannaður, tramans, fanans, ólukksáligur (t.d.a damned fool; damned nonsense)2hj(t.d.damned well done; it’s damned annoying)
damnedest	T:do one’s damnedestgera alt ein er mentur;try one’s damnedestroyna av øllum alvi
damning	fellandi (t.d.damning evidence)
Damocles	(gudal.)Damokles;sword of Damoclesdamoklessvørð
damp1	rái, slevj(a), slag; fuktur;cast a damp overstilla, leggja í teymar
damp2	ráur, ráligur, slavin, slevjutur; (um hoyggj, tubbako.tíl.)dovið;(serst.um klæði) dossut, kalin; (um veðrið) dossleitt, duvaligt, doðaligt
damp3	fukta, slaga;(fl.m.)doyva, spilla;damp downdoyva (t.d.the fire),(í sambandi við eldsbrunaeis.)sløkkja; doyva (t.d.their ardour); damp his spiritstaka dirvið úr honum;damp offfølna, slokna, kólna, drukna (um vøksturosfr.)
damp course	fuktverja
damp-dry	(uml.)strúkiturrur
dampen	slaga, fukta;(fl.m.)doyva, taka mótið frá einum
damper	1doyvari, sordin (á strúkiljóðføri)2lúka, spjell (í ketli)3sirma (ri)4(fl.m. eis.)ljósasløkkjari, gleðidrepari5put a damper onleggja doyvara á
dampproof	fukttættur
dampproofing	fuktbjálving
dampspotted	fuktblæmutur
damsel	moy, ungmoy, moyggj, ung genta, jomfrú
damsel fly	(dý.)damla(Zygoptera)
damson	1navbrigdi av blommutræ; sviskublomma2lblommulittur
Danaides	(gudal.)danaidur
dance1	1dansur;may I have the next dance with you?kann eg fáa næsta dans?;join the dancekoma uppí, dansa við;lead sby a dancemala ein í klingur, vinda ein um fingurin;the dance is ondansurin gongur;the Dance of Deathdeyðadansur;dance of deathdeydningadansur2dansiveitsla, veitsla, gildi (t.d.give a dance)
dance2	dansa (t.d.she dances very well; dance for joy; leaves dancing in the wind; dance a polka); dance to sby’s pipe (el. tune)dansa eftir pípuni hjá einum, lata seg stýra;dance attendance on sbyleypa á leistum fyri einum;dance on air (, on nothing)verða hongdur
dance band	dansiorkestur
dancedress	veitslukjóli
dance floor	dansigólv
dance hall	dansisalur, dansihøll
dancer	1dansari, dansarinna;the dancerstey dansandi2dancers flt Strappa3(skotskt.)norðlýsi
dancery	dansihøli
dance slippers	dansiskógvar
dancing	dansur, dansan
dancing lesson	dansitími;dancing lessonsdansundirvísing;take dancing lessonsganga til dans
dancing master	dansilærari
dandelion	(plfr.)hagasólja, várhagasólja, tyrilshattur(Taraxacum, Crepis)
dander	flus; øði,get sby’s dander upreita ein upp
dandified	uppsnollaður
dandle	nana, nina;dandle a child on one’s kneelata barn ríða á knænum
DandP	(st.) (lmynd.)developing and printing
dandriff	flus
dandy	1nfínibeiggi, mótaprinsur2lfínur, snøggur, snotiligur, uppsnollaður;(am.)framúr góður, avbera góður, fyrsta floks
dandy brush	rossabust (nýtt eftir at striglað er)
dandyism	fínalæti
Dane	dani, danskari;(great) Danestóri dani (hundaslag), ofta nevndur:grand danois
danegeld	(sø.)danagjald
Danelagh,Danelaw	(sø.)Danalag
danger	vandi, neyð, váði;in danger ofí vanda fyri; be in danger of losing one’s lifevera í vanda fyri at missa lívið;run into dangerkoma í vanda;danger of fireeldsvandi;the danger ofvandin við (t.d.this method); Danger!ver varin!
danger money	vandaískoyti, vandaviðbót
dangerous	1vandamikil, hættisligur, váðamikil, váða-; lívshættisligur2[íyms. samb.]to a dangerous degreeórógvandi nógv;dangerous driving (uml.)ábyrgdarleys koyring. lívshættislig koyring;play a dangerous game (fl.m.)váða nógv;dangeroustonavigationfarlig for sejladsen
danger sign	vandaskelti (í ferðslu)
danger signal	vandatekin
danger warning	ávaring (um vanda)
danger zone	vandaøki
dangle	sleingjast, dingla, sletta; hava sum útgjar;dangle afterrenna eftir, hanga uppi í (t.d.she has half a dozen boys dangling after her); keep them danglinghava teir í óvissuni;she kept him danglinghon læt hann liva í óvissu
Danicism	(máll.)danskt orð
Daniel	
Danish1	1danskt, danskt (mál)2(am. eis, uml.)wienarbreyð
Danish2	danskur
Danish High Court of Justice	(eystariel.vestari) landsrættur
Danish pastry	wienarbreyð
Danish seine	snurpunót
dank	slavin, slagin, dossutur; kaldur og vátur
danse macabre	deyðadansur
Danube	the DanubeDonau;The Blue Danube (tónl.)An der schönen blauen Donau
Danubian	donau-;the Danubian countriesDonaulondini
dap	1fiska við flugu (so hon hoppar á vatnskorpuni)2kava kvikliga
dapper	1lívligur, snúðigur, kvikur2snøggur, prýðiligur, snotiligur, vælklæddur (t.d.looking as dapper as a bank manager);smartur (t.d.even the most dapper, four-button, ad-man-accoutred male)3smávaksin og hvatligur
