E.	(st.)East India(n); East Indies
E.&O.E.	(st.)errors and omissions excepted
E. A	(st.) (sálarfr)educational age
ea.	(st.)each
EAC	(st.)East African Community; Engineering Advisory Council; Estate Agents Council
each	hvør, hvør sær, hvør einstakur; eachfor all and all for eachein fyri allar og allir fyri ein;they cost 6 p eachteir kosta 6 pence hvør; eachotherhvør annan, hvør aðra, hvørt annað;he gave two books to each boyhann hvørjum dreinginum tvær bøkur;they have got a bicycle each, each of them has got a bicycletey hava hvør sína súkklu;they can each of them do what they likehvør sær kunnu tey gera sum teimum lystir; eachway,síway1
EAEC	(st.)European Atomic Energy Community
eager	íðin, ágrýtin, hugagóður, fúsur(for; to);spentur (t.d.expectation); eager to (eis.)vera altráur eftir, vera algoystur eftir einum
eager beaver	(tlm.)kýtingi
eagerness	ídni, ágrýtni, íðinskapur
eagle	1(dý.)ørn(Aquilinae)2(amerikanskur myntur) 10 dollarar3(í golfi) tvey høgg undir pari
eagleeye	eygu sum í falki;keep an eagle eye oneygleiða gjølla
eagle-eyed	hvassoygdur, gløggskygdur, grannskygdur
eagleowl	(dý.)stór hornugla(Bubo bubo)
eaglet	ung ørn, arnarungi
eagre	flóðalda, gøðing
EAN	(st.)European Article Number [striku-kota á vøru]
eaon	(st.)except as otherwise noted
ear1	1oyra2(tónl.)oyra3(á krukku) oyra, honk (á grýtu, ketlio.ø.)hødda4[íyms.samb.]beallearslurta alspentur;were your earsburninglast night?histaði tú í gjárkvøldið? (tí onkur tosaði um ein);Ihadhisear hann lurtaði fegin eftir mær;have (el. keep) one's ear to the ground (uml.)vera vakin, fylgja við, vera har ið á leikar;giveear tolurta eftir;I would give my ears to knoweg hevði viljað givið alt fyri at vitað5[ísamb. viðfs]bring a stormaboutone's earsskapa rok av atfinningum;go inatone ear and out at the otherfara inn ígjøgnum annað oyrað og út aftur gjøgnum hitt;playbyear,síplay1; set by the earsrúka saman, fara upp at roytast;have an earformusichava oyra fyri tónleiki;a wordinsby?s eareitt orð í trúnaði;his words fellondeaf earshann talaði fyri deyvum oyrum;overhead and ears,up tothe earsupp um bæði oyru
ear2	1naks; kolba, maisaks2sskjóta aks
earache	oyrnastingir
ear acupuncture	oyrnanálaviðgerð
ear bender	(am.)(eitt) suss, møsn, gogg, gorr, hurrikanna, skúmisleiv
earbud	earbudshoyriproppar
earcap	oyrnavernd
ear conch	(likam.)oyralepi (ytra oyra)
ear defenders	oyravernd
ear drop	(prýði) oyralokkur
ear drops	oyradropar
eardrum	ljóðhinna
eared	1við oyrum; earedseal (dý.)kópar, selir(Otariidae)2(plfr.)við aksi, -ekstur
eared seal	(dý.) kópaslag (avOtariidae-ættini)
earflap	oyrnaskjól; oyralepi
earful	1(tlm.) orðafloymur; drúgv (og møðandi) søga2(tlm.) toyggj, skortfleingja, skola, átala (t.d.he gave his players an earful at halftime)
earl	jallur; enskur aðalsmaður við tign undirmarquessog yvirviscount
earlap	(likam) oyrnalepi; oyrað uttan
earldom	jalstign, jalsgóðs
earless	oyrnaleysur; (fl.m.) sum er nótaprikkur, sum hevur ikki oyra fyri tónleiki
earlier	eldri (t.d.from an earlier time; an earlier edition); hjframmanundan (t.d.he forgot what had happened twenty-four hours earlier); earlier onfyrr, áður
earliest	1elstur (t.d.the earliest civilizations; the earliest stone age; the earliest times);fyrstur (t.d.at the earliest possible opportunity)2sum skjótast (t.d.report headquarters earliest); at your earliest convenienceskjótast til ber;at the earliestí fyrsta lagi, ikki fyrr enn
earlobe1	oyrnalippa
earlobe2	(likam.)oyralippa, oyrasnippur
earlock	oyralokkur, oyrnalokkur (hárlokkur); síear drop,ear pendant
earlope	(likam) oyralippa, oyrasnippur (niðari bleyti parturin av oyralepanum)
early	1hjtíðliga; ov tíðliga21tíðliga, árla, snimma2ov tíðliga; tíðliga búgvin, tíðliga staðin (t.d.fruit)3skjótur (t.d.he asked for an early meeting)4fyrsti, innleiðandi (t.d.the early chapters of a book)3[íyms.samb. ]asearly as May longu í mai;beearly vera tíðliga, koma (ov) tíðliga;the early boatmorgunferjan;the early churchfornkirkjan;at your earliest convenienceskjótast til ber;at an early dateí næstu framtíð;his early days = his early life; it is earlydaysyettað er enn ov tíðliga; tað er nóg mikið av tíð enn;his early dreamhansara ungdómsdreymur;have earlyhabits, keep early hoursfara tíðliga í song og tíðliga upp; fara niður og upp við høsnunum; earlyin May, in early Mayfyrst í mai;his earlylife(el. days)hansara ungdómur
early bird	morgunmaður, ein ið altíð er í góðari tíð; ein ið er tíðliga á fótum;the early bird catches the worm (uml.)hann ið tíðliga rís, hann verður mangt vís; liggjandi úlvur lær fær einki og ei maður sovandi sigur
early closing day	dagur í viku tá handlarnir lata tíðliga aftur
early-day	frá eldri tíð
early deprivation	(sálarfr.)móðursaknur
EarlyEnglish	gamalt enskt oddbogasnið (gotiskur bogi)
early hair-grass	(plfr.)mjátt dvørgastrá(Aira praecox)
early leaver	næmingur ið gevst
Early Medieval Ages	the Early Medieval Agessnimmmiðøld (476-800)
Early Medieval Period	the Early Medieval PeriodsíEarly Middle Ages
Early MiddleAges	(tíðarskeiðið fráuml.550 tiluml.1050)the Early Middle Agessnimmmiðøld; eis.Early Medieval Period;sí eis.High Middle Ages,Late Middle AgesogMiddle Ages
early payment	(bú.)undangjald
early purpleorchid	(plfr.)kallmans-børkubóndi(Orchis mascula)
early riser	morgunmaður
early warning station	ávaringarstøð
early warning system	ávaringarkervi
earmark1	1marka; merkja2(fl.m.) seta til viks, seta av, leggja til síðis (t.d. this money is earmarked for travel expenses)
earmark2	1mark (á seyði); merki2asnaoyra (í bók)
ear-minded	hoyrn(ar)næmur, hoyrn(ar)mintur (heldur enn sjón(ar)mintur)
earmuffs	oyrnaskjól
earn	1vinna, vinna sær (t.d.earn £9, 000 a year)2fáa burtur úr, vinna (t.d.it earned him the praise of everyone)3útvega, fáa, geva (t.d.it earned him the nickname of „Fatty“)4hava uppiborið til (t.d.you have earned a holiday) a well-earned resteina uppiborna hvíld5earn a degreetaka (universitets-) prógv
earned income	forvunnin upphædd
earned incomerelief	(uml.)lønmóttakarafrádráttur
