F.	(st.)Fahrenheit; Fellow limur í lærdum felag;(flog, herm) fighter; France, French;
F	(st.)Irish Free State
FO,F.O.	(st.) Foreign Office
FA1	(st.)Football Association
F. A.1	(st.)»Fanny Adams; Football Association; Fine Arts;(herm)Field Artillery
Fa2	(st.)Florida
f. a.2	(st.)fire alarm; freight agent
FAA	(st.)Federal Aviation Agency(, Administration)
F. A. A.	(st.)free of all average
fab	(st.)fabricated; fabulous
fabaceous	(plfr.) líkur bøn; sum hoyrir upp í ertnablómuættina (Fabaceae)
Fabian	vísiliga drálandi (t.d.tactics);sum hoyrir tilthe Fabian Society
fable1	dømisøga, fábul, ævintýr, skrøggsøga
fable2	spinna upp
fabled	ævintýrakendur, sagnakendur
fabric	1(vovið) klæði (t.d.woollen fabrics); fabric paintklædnamáling2vond; samanseting innan, skipan, bygnaður (t.d.the fabric of society);vevnaður (t.d.a cloth of exquisite fabric)3(fl.m.)vavstur (t.d.a fabric of lies)4bygningur
fabricate	1penta saman, lúgva, bjóra saman (t.d.a chargeeina ákæru); falsa (t.d.a document)2gera, framleiða (t.d.we fabricate engines)
fabrication	1leysasøga, lygisøga; fals;it is a pure(el.mere) fabricationtað er berur heilaspuni2(smb. fabricate)framleiðsla
fabricator	falsnari; svikari
fabric collage	klútaklipp, skeytaklipp, samklipp (plagg samanseymað av klútum í ymsum litum og mynstrum)
fabric glove	toyhandski
fabric picture	skeytamynd, klútamynd
fabulist	1dømisøguskald, fábulskald2lygnari, lygivætti
fabulous	sagnvorðin, sagnkendur (t.d.heroes),fábul-;(tlm.)undranarverdur, ótrúligur (t.d.wealth),ævintýrakendur
fabulous age	sagnatíð
fac.	(st.)facsimile
f. a. c.	(sigl.)st fast as can skjótast til ber
façade	1framsíða, forsíða; andlit2sýning
face1	1andlit; andlitsbrá, (andlits)bragd (t.d.a sad face);útsjónd2yvirflati (t.d.the face of the earth)3forsíða, útsíða, framsíða4(á krystali) flati5urskiva6(á hamara, ambolti) nakki, skalli7(prent.)skriftsnið, skriftmynd; høvd8(tlm.)nasvísi, frekleiki9[íyms.samb.]fullface andlitsmynd;havethe face to say novera so frekur at siga nei;inthe face of yvir av (t.d.the enemy);hóast (t.d.many difficulties);(síeis. I fly); look him in the facehyggja í eyguni á honum;slam the door in his faceripa hurðina aftur í andlitið á honum;lose(one’s) face vera fyri eyðmýking, gera sær fyri skommum;make(el. pull) a face(el.faces)skelkja, gálva;make(el.pullel.wear) a long face gerasthámurel.lippusíður;fallonone’s facedetta fram eftir rommum, detta fram eftir grúgvu, detta barðlangur;on the face of itat síggja til, at vísa seg; á skræðuni;on the face of it one would think thatat síggja til skuldi ein trúð at;grin alloverone’s faceflenna um alt andlitið;pullaface =make a face; thatputsan entirely new face on the matter tað broytir málið fullkomiliga;put a good (el. bold) face on itikki látast um vón;save(one’s) facesleppa undan eyðmýking;setone’s face against it seta seg upp ímóti;showone’s face vísa seg;facetoface withandlit til andlits við;he told him to his face thathann segði honum bart út, hann segði honum tað beint upp í eyguni
face2	1stilla seg beint yvir av, venda andlitið ímóti (t.d.he faced the orchestra);liggja (, standaosfr.)beint yvir av, standa andlit til andlits við (t.d.I suddenly faced a tall young man; face one’s Maker);horva móti (t.d.the house faces the park)2(fl.m.)standa fyri (t.d.we are facing a major war; private schools face the same difficulties as public schools; face certain ruin; face a hard test);hyggja beint í eyguni, standa ímóti (t.d.the danger);viðurkenna,let’s face itvit kunnu eins væl viðurkenna tað;face the consequencestaka fylgjurnar;face the musicstanda við endan;face the questionsíggja málið sum tað er3klæða (t.d.a building with marble),leggja á4(um klæði) seta við, kanta, borðaleggja5(tøkn.)slætta, snøgga, hølva, klæða seta6litevni í (t.d.tea; alcohol faced with caramel to make it look like whisky)7face lettersstakka brøv8[ísamb. viðfs/hj]aboutface ! runt!left face !til vinstru!facedownkúga, ræða; ikki vilja lúta fyri;face itoutikki vilja geva seg; standa við sítt;rightface ! til høgru!;faceuptoviðurkenna (t.d.the danger, the situation);góðtaka uttan himpr;be facedwithhava í væntu (t.d.a crisis)
face-ache	andlitsverkur;he is a face-ache ache (tlm.)hann er ótolandi at hyggja at
face card	(am.)myndakort
face cloth,faceflannel	eygnalappi
faced	1(eftirfesti)við … andliti (t.d.mild-faced); sharp-facedskarpur í andliti2(eftirfesti)klæddur við, lagdur við (t.d.copper-faced)
face down	he lay face down in the bed where he had collapsedhann lá fram eftir rommum í songin, har hann hann var smallin um
face-finding committee	kanningarnevnd, rannsóknarnevnd (sum skal leita fram ítøkiligar upplýsingar í ávísum máli)
face guard	1andlitsverja, andlitsmaska2(í fikting/fekting) fiktimaska, fektimaska
faceless	1við ongum andliti2(fl.m.)við ongum persónleika (t.d.a faceless bureaucrat)
face lift,face lifting	andlitslyfting, andlitsfríðkan
