G	(am.um film) fyri øll, einki aldursmark
g.	(st.)gender; general; genitive
G.	German(y); (specific) gravity;(am.)S$1000
G.A.	(st.)General Accident; General Agent; General Assembly
Ga.	(st.)Georgia; Gaelic; Gallic
gab1	møsn, skvaldur
gab2	møsna, skvaldra, brúka seg;he has got the gift of the gabhann hevur gott mussaskøði;stop your gab !tig við hasum tvætlinum!
gabardine	1skrástríput lætt klæði,serst.nýtt til regnfrakkar2(gl.)kaftan, talar (kappi hjá jøda)
gabber	hvatmælt fólk (serst.um frásøgufólk í útvarpiel.sjónvarpi)
gabble1	tvass, svass, suss, babb
gabble2	tvassa, svassa, sussa, babba, bulla (t.d.he gabbled on in a panicky way until he was dismissed)
gabbler	suss, hurrikanna (t.d.hewas a real gabbler who never let you get a word in edgewise)
gabby	prátingarsamur
gabelle	1skattur2nýtsluskattur, nýtslutollur, nýtslugjald
gaberdine	sígabardine
gaberlunzie	(skotskt) landastrok; biddari
gabfest	(am.) (tlm.)sleygfundur, samkoma
gabion	(herm.)fyltur grótleypur, nýttur at laða skansa við
gable	galvur, skjøldur, snibbaskjøldur
gable board	(byggl.)vindskeið
gabled	við galvi
gable end	roysni, roysnisveggur
gable roof	galvtak
gable window	galvvindeyga
Gabon	(landafr.) Gabon (land í Vesturmiðafrika)
Gabonese1	1gabonbúgvi2franskt og 40 ymisk bantumál
Gabonese2	gabonskur
Gabriel	
Gad1	(gl.,S)=God
gad2	meitil; píkstavur;be on the gadrenslast
gad3	renslast; (um neyt) strúka, stórleypa (undan broddflugu);gad aboutranka, flakka
gadabout	geilastrok, flogsa; ein ið hevur gongupokur
gadfly	1(dý.)broddfluga, oksafluga(Oestridae, Tabanidae)2(fl.m.)fólkaøsari, provokatørur (t.d.always a gadfly, he attacked intellectual orthodoxies;a politicalgadfly)
gadget	(tlm.)tól, dimsur, lutur (t.d.the car is equipped with all sorts of gadgets)
gadgetry	(tlm. serl. niðr.)tól, dimsar (t.d.his passion for camera gadgetry)
gadid	(dý.) fiskur av toskaætt
gadoid	(dý.) sum hoyrir upp í toskaættina
gadwall	(dý.)sutlont(Anas strepera)
gae	(skotskt)= go
Gael	gæli
Gaelic	gæliskur;Gaelic coffeekaffi við róma og írskum whisky
gaf2	lumpa, fuppa, gafatstúrsa við; himprast við
gaff1	(am.) Sfinka, pret, snild;blow the gaffavdúka alt;stand the gafftaka tað sum eitt mannfólk;he can’t stand the gaffhann tolir ikki løgin(t.e.hoknar undir strevinumosfr.)
gaff2	lumpa, fuppa;gaff atstúrsa við; himprast við
gaff3	kleppur, goggur, krókjarn;(sigl.)sóknarongul, haki, gaffil
gaff4	gogga (fisk)
gaffe	brølari;make a gaffeforfumma seg; tað at gera gyski burtur úr einum
gaffer	1„gamli“;gaffer JonesJones gamli2(írskt) ungur garpur3(gl.)granni, kunningi4arbeiðsformaður; stjóri5(í filmsgerð) ljósmeistari
gaffer tape	gaffateyp
gaff sail	(sigl.)gaffilsegl
gaff-topsail	(sigl.)gaffiltoppsegl
gag1	1kelvi (t.d.they tied him up and put a gag in his mouth);múlaband2(sjónl.)gjøldursinnskot, stuttlig finka; finka; skemt; skemtileikur
gag2	1kelva (t.d.she was bound and gagged by robbers in her home)2(fl.m.)múlabinda (t.d.trying togagthe presslegally;gaggedfrom discussing the case)3(tingm.)avmarka talutíð (t.d.agagrule)4(sjónl.)gera skálkabrøgd (t.d.gaga show)5(am.)vilja spýggja, vera um at spýggja (t.d.the boys gagged at all the kissing and goo-goo eyes);klíggja (t.d.he gagged on the sourness of the wine;the terrible smell of rotting fish made me gag)
gaga	S ørur, óður í høvdinum; ellifarin;be gagaganga í barndømi;he is completely gagahann er í ørviti; klikkaður (t.d.he thinks that most artists are at least a little bit gaga)
G. A.,G/A,g. a.	(st.) (trygg.)general average
gage1	sígauge
gage2	1nveð, pant, trygd; avbjóðing2sbjóða av;throw down the gagebjóða av
gaggle1	1gásaflokkur2(fl.m.)kákandi flokkur, harðmæltur bólkur (t.d.a gaggle of girls)
gaggle2	gvagga, kvagga, gáka, tvassa
gaglaw	(am.)lóg sum forðar fríum orðaskifti
gagman	[fólk ið smíðar sjónleikarum gjøldursinnskot]
gaiety	1kæti, gleimur, teiti;the gaiety of nationsvanligt skemt2prýði, pynt (t.d.the gaiety of the streets before Christmas)
gaily	lívliga, kátt, kátliga, skemtiliga; veitslu-, til veitslu (t.d.gaily decorated); gaily colouredsprøklutur (t.d.dress, butterfly)
gain1	1framgongd; øking, tað at fara fram (t.d.a gain in weight);vøkstur2gains fltvinningur, ágóði, fyrimunur;clear gainnettoinntøka;realized gain/lossrealiseraður vinningur/missur;unrealized gain/lossórealiseraður vinningur/missur
gain2	1vinna, (for)vinna sær (t.d.gain one’s living by working as a waiter; gain £100 over the transaction)2fáa (t.d.an advantage; applause; experience)3náa (fram til, á) (t.d.the other shore)4gera framstig (t.d.in knowledge)5økja(st); (í vekt) fara fram, fitna (t.d.she gained three pounds)6(um ur) forta (t.d.my watch has gained five minutes)7[íyms.samb.]gainexperiencegera sínar royndir;gain afootingfáa fótin innum;gaingroundvinna øki, vinna á;gain alivingvinna sítt breyð;gainonsbytaka seg inn á;gain on one’s pursuersfáa undandragið undan eltarum;the sea gains on the landhavið brýnir landið; havið máar burtur av landinum;gain sbyoverto one’s sidefáa ein yvir í sín flokk;we had gained ourpointvit vóru náddir á mál, vit høvdu framt okkara ætlan;gainstrengthstyrkna, ressast;gain a wishfáa eitt ynski at ganga út
gainer	he will be the gainer by ithann fær fyrimunirnar av tí
gainful	lønandi, sum loysir seg; sum veitir inntøku;gainful employment (eis.)vinnuvirksemi;-ly employedvinnuvirkin
gainings	inntøka, vinningur
gainsay	mótmæla, mæla ímóti, nokta, vísa aftur (t.d.facts which cannot be gainsaid); there is no gainsaying his abilityeingin ivast í hansara dugnaskapi
Gainsborough	
gait	1gongulag (t.d.he has a shuffling gait); gaits flt(um ross) gongulag (t.d.teach a horse the various gaits)2kropsburður3go one’s (own) gaitganga sínar egnu leiðir
gaiter	gamasja, leggverji, rist-
gal1	(tlm.)genta,Sgella
gal2	(st.)gallon(s)
