h. a.	(st.)high-angle; hoc anno hetta ár
ha1	(mðlv)ha! áh! á!
ha2	(st.)hectare
H. A. A.	(st.)heavy anti-aircraft
hab	(st.)habitat = he lives
hab-dabs	(screaming)hab-dabsS : it gives me the tað ger meg óðan í høvdinum
habeas corpus	(lóg frá1679, ið verjir bretskar borgarar móti at verða fongslaðar uttan kanningar og dóm);writ of habeas corpusboð um lata handtiknan koma fyri rættin, so støða kann takast til um handtøkan er lóglig
haberdasher	handilsfólk ið selur nálir, knapparo.tíl.til handarbeiði;(am.)handilsfólk ið selur harraklæði
haberdashery	handarbeiðsvørur;(am.)harraklædnabúð
habergeon	(sø.)stuttur brynjustakkur
habile	dugnaligur, hegnigur, fittur í hondunum
habiliments	klæði, búni
habilitate	fáa sær førleika
habilitation	førleiki, (sum) førleikaprógv (t.d.she submitted a thesis for her habilitation to the University of Berlin but it was not immediately accepted)
habit1	1vani, siður, (sið)venja2búni, ríðingarbúni hjá konufólki3(gl: habit of body)vakstrarlag4(habit of mind)sinnalag5habits (of life)lívsvanar;habits of thoughtvanahugsan6(plfr.)vakstrarlag, útsjónd bygnaður (á plantu)7[íyms.samb.]be in the habit ofhava fyri, plaga at, vera vanur at;break him of the habitvenja hann av við;it is a habit with himhann hevur tað fyri;get (el. fall) into bad habitsfáa sær ringar vanar;get into the habit of doing itkoma í vana við at gera tað;out of (sheer) habitav berum vana;the force of habitvanamáttur;through (el. from) force of habitav gomlum vana;make a habit of -inggera tað til vana at
habit2	lata í, klæða
habitable	búgvandi í, sum ber til at búgva í
habitant	1íbúgvi; búfólk2franskur íbúgvi í Kanadael.Louisiana(el. eftirkomarar teirra)
habitat	1(lívfr.)heimstaður, bústaður, búøki, útbreiðsluøki, umhvørvi2(plfr. eis.)gróðrarøk, búøki, vakstrarstaður, vakstrarpláss (t.d.these plants favour wet habitats)3(dý. eis.)búøki, tilhaldsstaður, umhvørvi
habitation	búseting, bústaður;density of habitationbústaðartættleiki;everlasting habitations (bíbl.)ævigir bústaðir
habit-forming	vanaelvandi, vanaskapandi
habit strength	(sálarfr.) vanafesta
habit training	at læra smábørn góðar vanar (t.d. viðv. tí at eta, lata seg í, fara á vesio.s.fr.)
habitual	vanabundin; vanligur;habitual drunkarddrykkjumaður;grow(el.become) habitualverða vani(withhjá)
habitually	javnan
habituate	venja(sby to sthein til okkurt);(am., tlm.)vera fastur gestur í
habituating	vera vanaskapandi
habituation	tilvenjing
habitude	vani, siður; háttalag, hugsanarháttur, støða, støðutakan, sinnalag
habitué	fastur gestur, dagligur gestur
hachures	skygging (t.d. á landkorti)
hacienda	stórbóndagarður (í Latínamerika)
hack1	1høgga, hakka, gera skarð í2(teld) bróta inn í (t.d.trying tohackinto the network)3(í fótbólti) sparka á skinnabeinið4Stola, halda út (t.d.I can't hack it any longer)5standa seg (t.d.couldn't hack it in the world of professional sports)6be hacked offilskast inn á (t.d.he gets reallyhackedoff when people cheat)7harka;hacking up phlegmharka slím upp
hack2	1turrur hosti2høgg, hakk, skarð3spark á skinnabeinið;I can hack it (am., tlm.)eg klári tað
hack3	1leigað ross, gamalt ross2(am.)hýruvognur, taxi3[høvundur ið skrivar ymiskt bílagt arbeiði av handahógvi]
hack4	1leiga2(am.)koyra taxi3seta til keðiligt handahóvsarbeiði4hack alongtvagla, ganga og mala
hack5	leigu- (t.d.horse)
hacker	1teldusníkur (persónur sum ólógliga fer inn á teldukervið hjá øðrum)2vánaligur ítróttarmaður
hackhammer	[slag av gróthamri]
hacking cough	turrur hosti
hackle1	1línkambur2(til fiskiskap) fluga3(á hana) hálsfjøður; nakkafjøður4hackles(á hundi) bustir;when his hackles are uptá hann fer at láta við uggafjøðrini
hackle2	kemba (lín)
