i.	(st.)interest; intransitive; incisor, incomplete
i’	(st.)in
I1	(st.)Idaho; Imperator, Imperatrix; Island; Isle
I2	1eg;it is Itað er eg;I did it, it was I who did ittað var eg sum gjørdi tað2neg;the Iegið
Ia	(st.)Iowa
i.a.	(st.)inter alia m.a.
IAEA	(st.)the International Atomic Energy Agency
Iago	
IAM	1(st.) Institute of Advanced Motorists2(st.íhandilsm.ofta nýtt innanhýsis á skrivstovum) In A Meeting
iamb	jamba, øvutur tvíliður
iambic	jambiskur, við øvutum tvíliði
iambus	jamba, øvutur tvíliður
iatrogenic	sum stendst av læknanumel.viðgerðini
IBA	(st.)Independent Broadcasting Authority
Iberian	1liberiskur;the Iberian PeninsulaIberianesið(t.e.Spania og Portugal)2niberi
ibex	(dý.)steingeit(Capra ibex)
ibid.	síibidem
ibidem	á sama stað
ibis	(dý.)bognev, nilaríbis(Threskiornis aethiopicus)
IBM	(st.)intercontinental ballistic missile; International Business Machines
IBSFC	(st.)International Baltic Sea Fisheries Commission altjóða fiskiveiðinevndin fyri Eystursjógvin
IBU	(st.)International Broadcasting Union
ICA	(st.)Institute of Contemporary Art; International Cooperation Administration; International Commun
Icarian	ikariskur; háfloygdur
Icarus	(gudal.)Ikaros
ICBM	(st.)intercontinental ballistic missile interkontinental rakett
ICC	(st.)International Chamber of Commerce; Interstate Commerce Commission(am.); International Control
ICCAT	(st.)International Commission for Conservation of Atlantic Tuna altjóða nevndin fyri at umsita
ice1	1ísur; ískaka2Sdiamantar3[íyms.samb.]breaktheice bróta ísin; fara undir, fara í holt við;cutice merkja, hava týdning (t.d. he has a pretty good eye for the people who cut ice in our city);cut no iceikki virka á, onga ávirkan hava(withá);that won’t cut any icetú fært einki burtur úr tí, tú sleppur ikki langt við hasum;onice (fl.m.)fyribúgvin; (um verkætlanosfr.)freistað, lagt til viks;put on icedrepa, oyða; gera av við;be put on iceverða lagdur á ís;skate onthinice (fl.m.)vera í trongum skóm; iceupísa,iced upglerstoyttur
ice2	1frysta (t.d.ice up; the pond was iced over);klaka; ísa2prýða við ísi3leggja á ís (t.d.a bottle of beer)4glasa (við sukri)5Sdrepa
ice age	ísøld, ístíð
ice axe	íshøggari
ice bag	ísposi
ice barrier	jaðari á innlandsísinum í Antartika
iceberg	ísfjall
iceblink	ísglampi, jøkulglampi
ice-blue	rábláur (t.d.eyes)
icebound	innilæstur av ísi, fastur í ísi; lagdur við ísi, avtakin við ísi (t.d.the lake was icebound)
icebox	ísskáp;(am. eis.)kuldaskáp
icebreaker	ísbrótari
ice cake	ískaka; ísflaki
ice cap	jøkul; snjóhetta; innlandsísur
ice channel	stór, opin renna í ísinum
ice claw	ístong
ice cream	(róma)ísur
ice-cream cone	ísvafla
ice cube	ísterningur
iced	1ísaður, undir í ísi; ískøldur2(um kaku) sukraður
ice dance	dansur á skoytum, ísdansur, dansur á ísi
ice drift	rekísur
ice field	ísfløta
ice floe	(stórur) ísflaki
ice-free	ísfríur (t.d.port)
ice front	ísbrúgv
ice hockey	íshokki
Iceland	Ísland
Icelander	íslendingur
Iceland gull	(dý.)lítil valmási(Larus glaucoides)
Icelandic1	íslendskt, íslendskt mál
Icelandic2	íslendskur
Icelandic searocket	(plfr.)sand-fjørukál(Cakile maritima)
Iceland moss	(plfr.)slag av skón(Cetraria islandica)
Iceland poppy	(plfr.)íslendsk dreymsólja(Papaver nudicaule)
Iceland purslane	(plfr.)íslendskt nalvagras(Koenigia islandica)
ice lane	opin renna í ísinum
ice lolly	1sodavatnsísur2íspinnur
iceman	ísseljari, ísmaður, maður ið selur ís
ice melting	(jarðfr.) ísbræðing
ice pack	pakkísur, samanstúgvaður ísur, havísur; ísur ið bøklast upp; ísbak
ice pick	klakaspjót
ice rink	(íslíkis) skoytubreyt, skoytuvøllur
ICES	(st.)International Council for the Exploration of the Sea altjóða ráðið fyri havrannsóknir
ice shed	ísmark
ice sheet	(jarðfr.) ískápa
ice shield	(jarðfr.) ísskjøldur
ice ship	ísstyrkt skip
ice-strengthened ship	ísstyrkt skip; eis.ice ship
ice tongs	ístong
ice transported	(jarðfr.) ísborin;glacially erratic rocksísborið grót;glacially deposited sedimentsísborið legugrýti
icetray	ísbakki
ice tub	ísbikar
ice wafer	ísvafla
ice water	bræðingarvatn, ísvatn
ICFTU	(st.)International Confederation of Free Trade Unions
ichneumon	(dý.)faraorotta(Herpestes ichneumon)
ichneumon fly	(dý.)sníkjuvespaættin(Ichneumonidae)
ichnography	(byggl.)flatmynd av bygningi
ichor	1(gudal.)gudanna blóð2(lækn.)(sár) blóðflot
ichthyography	fiskaritgerð
ichthyologist	fiskafrøðingur, iktyologur
ichthyology	fiskafrøði, iktyologi
ichthyosaurus	(uml.200 til 180 mill ár síðan) hvaldreki
icicle	glerpípa
icing	1klaki, frostherðing2(á kakuosfr.)(sukur)glasing;icing on the cake (fl.m.) (tlm.)útgjar
icing sugar	florsukur, fonsukur
icing-up	klaking
icky	andstyggiligur, fúlur; góðvarin, barnsligur, naivur
icon	1halgimynd;(tíðum um persón sum skarar framúr á ávísum øki) ímynd, ikon2(teld.)ímynd
iconoclasm	siðvenjuandstøða
iconoclast	1siðaandstøðingur2myndaknúsari
