i.	(st.)interest; intransitive; incisor, incomplete
i’	(st.)in
I1	(st.)Idaho; Imperator, Imperatrix; Island; Isle
I2	1eg;it is Itað er eg;I did it, it was I who did ittað var eg sum gjørdi tað2neg;the Iegið
Ia	(st.)Iowa
i.a.	(st.)inter alia m.a.
IAEA	(st.)the International Atomic Energy Agency
Iago	
IAM	1(st.) Institute of Advanced Motorists2(st.íhandilsm.ofta nýtt innanhýsis á skrivstovum) In A Meeting
iamb	jamba, øvutur tvíliður
iambic	jambiskur, við øvutum tvíliði
iambus	jamba, øvutur tvíliður
iatrogenic	sum stendst av læknanumel.viðgerðini
IBA	(st.)Independent Broadcasting Authority
Iberian	1liberiskur;the Iberian PeninsulaIberianesið(t.e.Spania og Portugal)2niberi
ibex	(dý.)steingeit(Capra ibex)
ibid.	síibidem
ibidem	á sama stað
ibis	(dý.)bognev, nilaríbis(Threskiornis aethiopicus)
IBM	(st.)intercontinental ballistic missile; International Business Machines
IBSFC	(st.)International Baltic Sea Fisheries Commission altjóða fiskiveiðinevndin fyri Eystursjógvin
IBU	(st.)International Broadcasting Union
ICA	(st.)Institute of Contemporary Art; International Cooperation Administration; International Commun
Icarian	ikariskur; háfloygdur
Icarus	(gudal.)Ikaros
ICBM	(st.)intercontinental ballistic missile interkontinental rakett
ICC	(st.)International Chamber of Commerce; Interstate Commerce Commission(am.); International Control
ICCAT	(st.)International Commission for Conservation of Atlantic Tuna altjóða nevndin fyri at umsita
ice1	1ísur; ískaka2Sdiamantar3[íyms.samb.]breaktheice bróta ísin; fara undir, fara í holt við;cutice merkja, hava týdning (t.d. he has a pretty good eye for the people who cut ice in our city);cut no iceikki virka á, onga ávirkan hava(withá);that won’t cut any icetú fært einki burtur úr tí, tú sleppur ikki langt við hasum;onice (fl.m.)fyribúgvin; (um verkætlanosfr.)freistað, lagt til viks;put on icedrepa, oyða; gera av við;be put on iceverða lagdur á ís;skate onthinice (fl.m.)vera í trongum skóm; iceupísa,iced upglerstoyttur
ice2	1frysta (t.d.ice up; the pond was iced over);klaka; ísa2prýða við ísi3leggja á ís (t.d.a bottle of beer)4glasa (við sukri)5Sdrepa
ice age	ísøld, ístíð
ice axe	íshøggari
ice bag	ísposi
ice barrier	jaðari á innlandsísinum í Antartika
iceberg	ísfjall
iceblink	ísglampi, jøkulglampi
ice-blue	rábláur (t.d.eyes)
icebound	innilæstur av ísi, fastur í ísi; lagdur við ísi, avtakin við ísi (t.d.the lake was icebound)
icebox	ísskáp;(am. eis.)kuldaskáp
icebreaker	ísbrótari
ice cake	ískaka; ísflaki
ice cap	jøkul; snjóhetta; innlandsísur
ice channel	stór, opin renna í ísinum
ice claw	ístong
ice cream	(róma)ísur
ice-cream cone	ísvafla
ice cube	ísterningur
iced	1ísaður, undir í ísi; ískøldur2(um kaku) sukraður
ice dance	dansur á skoytum, ísdansur, dansur á ísi
ice drift	rekísur
ice field	ísfløta
ice floe	(stórur) ísflaki
ice-free	ísfríur (t.d.port)
ice front	ísbrúgv
ice hockey	íshokki
Iceland	Ísland
Icelander	íslendingur
Iceland gull	(dý.)lítil valmási(Larus glaucoides)
Icelandic1	íslendskt, íslendskt mál
Icelandic2	íslendskur
Icelandic searocket	(plfr.)sand-fjørukál(Cakile maritima)
Iceland moss	(plfr.)slag av skón(Cetraria islandica)
Iceland poppy	(plfr.)íslendsk dreymsólja(Papaver nudicaule)
Iceland purslane	(plfr.)íslendskt nalvagras(Koenigia islandica)
ice lane	opin renna í ísinum
ice lolly	1sodavatnsísur2íspinnur
iceman	ísseljari, ísmaður, maður ið selur ís
ice melting	(jarðfr.) ísbræðing
ice pack	pakkísur, samanstúgvaður ísur, havísur; ísur ið bøklast upp; ísbak
ice pick	klakaspjót
ice rink	(íslíkis) skoytubreyt, skoytuvøllur
ICES	(st.)International Council for the Exploration of the Sea altjóða ráðið fyri havrannsóknir
ice shed	ísmark
ice sheet	(jarðfr.) ískápa
ice shield	(jarðfr.) ísskjøldur
ice ship	ísstyrkt skip
ice-strengthened ship	ísstyrkt skip; eis.ice ship
ice tongs	ístong
ice transported	(jarðfr.) ísborin;glacially erratic rocksísborið grót;glacially deposited sedimentsísborið legugrýti
icetray	ísbakki
ice tub	ísbikar
ice wafer	ísvafla
ice water	bræðingarvatn, ísvatn
ICFTU	(st.)International Confederation of Free Trade Unions
ichneumon	(dý.)faraorotta(Herpestes ichneumon)
ichneumon fly	(dý.)sníkjuvespaættin(Ichneumonidae)
ichnography	(byggl.)flatmynd av bygningi
ichor	1(gudal.)gudanna blóð2(lækn.)(sár) blóðflot
ichthyography	fiskaritgerð
ichthyologist	fiskafrøðingur, iktyologur
ichthyology	fiskafrøði, iktyologi
ichthyosaurus	(uml.200 til 180 mill ár síðan) hvaldreki
icicle	glerpípa
icing	1klaki, frostherðing2(á kakuosfr.)(sukur)glasing;icing on the cake (fl.m.) (tlm.)útgjar
icing sugar	florsukur, fonsukur
icing-up	klaking
icky	andstyggiligur, fúlur; góðvarin, barnsligur, naivur
icon	1halgimynd;(tíðum um persón sum skarar framúr á ávísum øki) ímynd, ikon2(teld.)ímynd
iconoclasm	siðvenjuandstøða
iconoclast	1siðaandstøðingur2myndaknúsari
iconoclastic	1siðaandstøðis-, kollveltandi2myndaknúsandi
iconographical	ikonografiskur
iconography	ikonografi
ICRC	(st.)the International Committee of the Red Cross
icteric	við gulusótt
icterine warbler	(dý.)gulljómari(Hippolais icterina)
icterus	(lækn.)gulusótt
ictus	stevfast herðing; slag, sláttur
ICU	(st.) síintensive care unit
icy	1klakaður, avísaður; hálur, smeðin (t.d.road);ísakaldur (t.d.wind)2(fl.m.)kaldligur, óvinaligur (t.d.tone)
id	(sál.)(í sálarfrøðini hjá Freud) „Tað“, frumsjálvið (tann partur av persónsmenskuni ið er knýttur at frumtørvi)
I’d	(st.)I had, I would, I should
ID	eyðmerking, eyðmerkingarnummar
ID card	(st.)identification card
IDD	(st.)international direct dialling
ide	(dý.)karpufiskur(Leuciscus idus)
idea	1hugskot (t.d.he is full of ideashann er hugmyndaríkur;what an odd idea), that might not be a bad ideatað var kanska ikki so býtt;an idea struck metað stakst upp á meg;what an idea !ørskapur!2hugsan, tanki (t.d.the very idea makes me sick; the leading idea of the play) I do not like the idea of doing itmær dámar tað ikki;his great idea, the great idea that inspired himkongstanki hansara;put ideas into sby’s headgera ein í ørviti3hugmynd (t.d.what idea can a man blind from birth form of colour?);hugbirting, hugtakidea of Godgudshugtakið;you have no idea of how stupid he istú kanst ikki hugsa tærhvussu býttur hann er4ætlan, meining (t.d.the idea behind it; idea of this arrangement is that; that is not the idea at alltað er als ikki tað alt snýr seg um;that’s the ideasoleiðis skal tað vera! hatta er tað!;what’s the (big) idea ? Shvat er meiningin?5varhugi,I have an idea he is not comingeg havi varhugan av at hann ikki fer at koma6the young ideabarnasinnið
ideal1	fyrimynd (t.d.the ideals by which he lived);hugsjón, hugmál
ideal2	hugsaður; fyrimyndarligur, fullkomin, stakgóður (t.d.weather)
idealism	hugsjónarandi, idealisma
idealist	hugsjónarmaður, hugsjónarfólk, idealistur
idealistic	hugsjónarligur; idealisticmotiveshugsjónarligar orsøkir
idealize	gera fullkomnan, í huganum gera ein fullkomnari enn hann er, fyrimynda; gera sær fyrimyndir
ideate	hugsa sær, ímynda sær; gera hugmyndir
ideation	hugmyndagerð, ímyndan
identic	(um skjal) einsljóðandi
identical	1samlíkur, samvorðin, eins(withvið) (t.d.in two identical copies)2(tlm.)sjálvur sami, júst tað, tann (t.d.this is the identical room where he lived);(síeis.identic)
identical twins	eineggjaðir tvíburar
identifiable	sum kunnu eyðmerkjast
identification	1samkenning, eyðmerking; flokking2staðfesting
identification key	(plfr.) greiningarlykil, lykil
identification papers	eyðkenniskort, samleikakort
identification parade	eyðmerkingarrað (har vitni skal peika út fólk, sum eru undir illgruna)
identifier	(teld.)dátuheiti
identify	1gera av hvør ein er, sanna hvør ein er, eyðmerkja, áseta (t.d.stolen goods; a prisoner);gera av, kenna (t.d.many of the rucksacks are alike, so it’s hard to identify one from the other);kenna aftur (t.d.could you identify your umbrella among a hundred others?)2(lívfr.)flokka, gera av (t.d.a plant, a mineral); it can easily be identified bytað er lætt at kenna aftur av3identifyoneselfskjalprógva hvør ein er; identifyA with Bjavnseta A og B; identifyoneself withgerast eitt við (t.d.a partein leiklut), liva seg inn í (t.d.a subject);stuðla, kennast við, taka undir við (t.d.this policy; their unconventional methods);fara upp í (t.d.a party, a movement); identify withsamlíkjast við
identikit	úrval av vanligum andlitsdrøgum, sum kunnu setast saman til mynd av eftirlýstum persóni grundað á vitnisfrágreiðing;identikit pictureeftirgjørd mynd
identity	1samleiki, identitetur;prove one’s identitysýna samleikakort;establish the identity ofeyðmerkja (t.d.stolen goods); it is a case of mistaken identitytvey fólk eru komin í bland;on proof of identityvið at vísa samleikaprógv;have you anything to prove your identity?hevur tú samleikaprógv?;a witness to your identityein ið kann vitna hvør tú ert2(handilsm.)competitive identitykappingarført eyðkenni
identity card	samleikakort
identity crisis	samleikakreppa
ideogram,ideograph	stavur ið ímyndar hugtak, ideogramm
ideography	hugtaksskrift, ideografi
ideolect	(málfr.)eginmálføri
ideological	hugsjónarligur, hugmyndafrøðiligur, ideologiskur
ideologist	hugsjónarmaður, hugmyndafrøðingur, ideologur
ideologue	1ein ið tekur undir við ávísari hugsjón2ástøðingur, droymari
ideology	hugsjón, stevna; hugmyndafrøði, ideologi
Ides	(sø.í Rom) 15. mars, mai, juli og oktober og 13 dagur í hinum mánaðunum, idus;the ides of March15. mars [dagurin tá ið Julius Cæsar varð myrdur]
idée fixe	hugfesti, einøði (tað at vera sjúkliga bundin at einari hugsan, einum lutiosfr.)
IDF	(st.)Israel Defence Forces
ID first name	eyðmerkingarfornavn
idiocy	býttiskapur
idiolect	eginmálføri
idiom	1málfar, orðafar, hevdbundið orðalag, orðatak, orðafelli, máliska, idiom2mál; listabúni, listasnið (t.d.the artistic idiom of today; create a new musical idiom)
idiomatic	sambært hevdbundnum orðalagi (t.d.idiomatic English; an idiomatic phrase),idiomatiskur
