K	(tlm.)st Knight of the Thistle; Knight Templar
Kabyle	kabýli (navn á norðurafrikanskum ættarbólki)
Kaffir	1kaffíri (fólkaslag íSuA)2(SuA, niðr.)nekari3Kaffirs flt (eis.)suðurafrikansk gullnámapartabrøv
kail	grønkál
kail yard	kálgarður;the Kailyard School(skotskur rithøvundabólkur)
Kaiser	(týskur) keisari
kale	1(plfr.)grønkál(Brasssica oleraceavaracephala)2(am.) Spengar
kaleidoscope	kviksjá, kaleidoskop
kaleidoscopic	kvikbroyttur, kaleidoskopiskur
kaleyard	(skotskt.)kálgarður
kamikaze	(japanskt) sjálvmorðsflogálop; sjálvmorðsflogskipari
Kanaka	kanakkur, hawaibúgvi, suðurhavsoyggjabúgvi
kangaroo	(dý.)kenguruættin(Macropodidae)
kangaroo court	(tlm.)óalmennur dómstólur; dómstólur, ið vanvirðir vanligar rættargrundreglur
Kans stKansas	
kaolin	kaolin, postalínsleir
kapok	kapokk, træbummull
kaput	(tlm.)spiltur, oyðilagdur
karate	karate;karate chophandjarkahøgg
karateka	(jap.) ein ið íðkar/venur karate
karst	karst
karst fissure	karstsprunga
kart	go-kart (lágur, lítil kappkoyringarbilur)
karting	kappkoyring við gokarts
karyotype	(plfr.)kjarnabygnaður
katagelophobia	ótti/ræðsla fyri at verða gjørdur til láturs
Kate	
Kathleen	
katie,katy	(am.)S húgva
kayak	kajakk
kayaker	kajakkrógvari, kajakkróðrarmaður, kajakkmaður
kayo	1n Srothøgg, knockout2s Ssláa út
Kazakhstan	(landafr.) Kasakstan (land í Miðasia)
Kazakstani1	kasakari, kasaki
Kazakstani2	kasakiskur, kasakskur
KB	(st.)King’s Bench
Kb	(st.)kilobytes
kbar	(st.)kilobar
KBE	(st.)Knight Commander of the British Empire
KC	(st.)Kings’s Counsel; Kings’s College
KCB	(st.)Knight Commander of the Bath
Keble	
keck	keck atfáa vaml av; vamlast við, vera um at spýggja av
ked	(dý.)førilús(Melophagus ovinus)
kedge	1n (sigl.)varpakker2svarpa (at draga skipið framel.aftur við akkerinum)
kedge anchor	(sigl.)varpakker
kedgeree	(indiskur fiskarættur við eggjum og rísi)
