L.	(st.)Lake; Larva; Latin; Left, Liberal, (á bili)Learner
L1	
l2	(st.)left; lira; litre(s)
L3	(st.)Instrument Landing System tóllendingarkervi
L. A.	(st.)Legislative Assembly;(am. tlm.)Los Angeles
La.	(st.)Louisiana; lane
la	1n (tónl.) la2(miðlv., gl.)dekan fari!
L. A. A.	(st.) (herm.)light anti-aircraft
laager	1n (SuA.)vognlega, vognborg2sseta í vognlegu; byrgja inni (t.d.I hate being laagered in with tables)
Lab.1	(st.)Labrador; Labour(party)
lab.2	(st.)labial; laboratory
labefaction	viknan; oyðing
label1	1seðil, merkiseðil, spjaldur(eis.íteld.), merki, navnaseðil(serst.á fløsku, vøru); (á maskinu, skuffu) skelti;label of warningávaringarmerki (á matvørum)2(á bókabindi) titulteigur3(fl.m.)stempul, heiti, navn, merki
label2	1merkja, festa navnaseðil á2(fl.m.)bólka, stempla; seta í bás (t.d.he does not want to be labelled as a Conservative); he does not want to be labelled with any political affiliation… at verða settur í bás politiskt; labelhim, pin a label on him (eis.)seta hann í bás; labelhim as a hippy (eis.)marka hann sum hippi; geva heiti (t.d.it would be unjust to label him as a skirtchaser… at geva honum heitið konufólkarevur)
labelcheck	(teld.)merkjaeftirlit
labellum	(plfr.)vørr
labelmaker	merkjatong
labelof warning	(á matvørum) ávaringarmerki
labelprinting	spjaldaprent
labial1	(ljóðfr.) varraljóð
labial2	(ljóðfr.) varra- (t.d.consonant; closure; muscle)
labialization	varramyndan, labialisering
labialize	mynda við varrunum, labialisera
labialstop	(ljóðl.)varralokaljóð
labiate	(plfr.)varra-
labile	óstøðugur, skiftandi;emotionally labilegrátkvæmur
lability	skiftandi sinnalag, óstøðuleiki;emotional labilitygrátkvæmi
labio-dental1	(ljóðfr.) tannvarraljóð
labio-dental2	(ljóðfr.) tannvarra-
labium	1undirvørr, lippa2labia majorastóru kynslippurnar;labia minorasmáu kynslippurnar3(djlækn.)skøp, leysapartar, lippa
labor	(am.)= labour
laboratory	starvsstova, royndarstova;physics laboratory (in school)alisfrøðihøli
Labor Day	(árligur frídagur í flestu statum í USA, vanliga fyrsta mánadag í september)
laborer	(US.)= labourer
