m.	1married2male3masculine4metre(s)5mile(s)6million(s)7minute(s)
M’	Mac
M1	(bókstavurin) m
M2	1Monsieur2motorway
M3	1interceptor missileloftverjurakett2(landafr.)Isle of Man
ma1	(tlm.)mamma
MA2	Master of Arts
ma’am	(í tiltalu) frúan
maar	(jarðfr.)gosop (aloftast fult av vatni)
Mab	Mabel;Queen Mabálvadrotning
mac	1(st., tlm.) mackintoshregnfrakki2(am.í tiltalu) gamli, vinur, makkari
macabre	óhugnaligur, ódámligur
macadam	macadam roadskervlagdur vegur
macadamization	skerválegging
macadamize	leggja skerv á veg
macaque	(dý.)makakkapa(Macaca)
macaroni	1makaroni2Sitaliumaður, italienari, itali3(gl.)(ungur) erpin og pyntisjúkur maður,(tlm.)ein hanungi
macaroni cheese	makaroni við ostasós
macaronics	makaronisk ørindi (gjørt blandingsmálserst.við latínskum bendingarendingum, sum er ætlað at geva skemtiligan virknað)
macaroon	makróna
macassar	macassar oilmakassarolja
Macaulay	(eftirnavn)
macaw	ara (pappageykaslag)
Macbeth	(eftirnavn)
MacCarthy	(eftirnavn)
MacCoy	(eftirnavn);(am.,S) the real MacCoysíMackay
MacDonald	
mace1	1embætisstavur, veldissproti, veldisstavur, kongsstavur, septur2(sø.)stríðskylva við jarntindum;spiked macemorgunstjørna (píkagassi hjá varðmonnum í býum í miðøld)3(kryddurt) muskattblomma4síMace
mace2	(kryddurt) muskattblomma;(am. eis.)(slag av) táragass
Mace ®	táragass
macebearer,mace-bearer	veldissprotaberi
macedoiné	1[fruktir, grønmeti skorið í puntar]2vavgreytur, skurvblanding
Macedonia	síNorth Macedonia
macerate	1bloyta (í vatni), leggja í blot, seta á blot (t.d.macerate the mustard seeds in vinegar;garnished with cherries that had been macerated in liqueur)2(við ongum ávirki) blotna3svølta seg, klænka seg (t.d.these men lodged in tombs and macerated themselves with fasting)
maceration	1bloyting2svølting, klænking
MacFarlane	1eftirnavn2frakki við herðaslagi
Mach	síMachnumber
macherel clouds	nyðruskýggj
machete	masketa, masjeta (knívur við longum blaði)
Machiavelli	Machiavelli
Machiavellian1	machiavelliskt fólk
Machiavellian2	machiavelskur, machiavelliskur, snúin, lúnskur, samvitskuleysur (serst.viðvíkjandi politikki)
machicolated	(sø., herm)útgjørdur við skoldingaropum (op í borgarmúri, har heitur løgur varð stoyttur niður á fíggindan)
machicolation	(sø., herm)skoldingarop; røð av skoldingaropum
machinable	(á amboðsmaskinu) virkiligur, hagreiðiligur, sum kann verða virkaður, viðgjørdur, smíðaður, evnaður til
machinate	leggja upp svikaráð
machinations	lokabrøgd, ráðagerðir; svikaráð, vælir, svik, samansvørjing
machine1	1maskina; gonguverk (t.d.sewing//washing machine)2sjálvtøka (t.d.cigarette machine)3(fl.m.)maskina; maskinarí (t.d.military//party//propaganda machine; his political machine)4(fl.m.um fólk) maskina, tólmenni, robottur (t.d.he has become a mere machine)
machine2	1tilvirka á maskinu, viðgera á maskinu2brýnael.pussa á maskinu3seyma á maskinu; sí eis.machined
machine-aided	machine-aided translationteldustuðlað týðing
machine-aided translation	teldustuðlað týðing
machine code	(teld.)tólmál, teldumál
machined	maskintilvirkaður; maskingjørdur
machine erector	uppsetari, montørur
machine-finished paper	maskinskygt pappír
machine gun	maskinbyrsa
machine-gun	skjóta við maskinbyrsu (t.d.the rioters were machine-gun-gunned down)
machine gunner	maskinbyrsuskjútti
machine independent	(teld.)tólóbundin
machine language	(teld.)tólmál
machinelike	maskinu-, maskinlíkur; sjálvvirkin; tólumel.maskinum viðvíkjandi
machine-made	gjørdur á maskinu, maskinframleiddur
machineman	maskinpassari
machineminder	maskinpassari
machine-readable	(teld.)teldutøkur (um dátur, sum telda skilur)
machine room	1maskinhøll2(til lyftu) motorrúm
machinery	1maskinur (t.d.agricultural machinery)2(fl.m.)maskinarí (t.d.government machinery)
mahinery and plant	maskinamboð og virkishús/verksmiðjuhús
machinery of justice	(løgfr.)rættarkervi, rættarskipan
machine shop	maskinverkstaður
machine tool	amboðsmaskina
machine translation	(teld.)teldutýðing
machinist	1maskinarbeiðsmaður2maskinpassari, maskinistur, maskinsmiður3maskinseymari, maskinseymikona
