n1	(st.)1(málfr.) neuter2nominative3noon4noun5(tlm.,um ótilskilaða nøgd) number6note
N2	(bókstavurin) n
N3	(st.)1New2North, Northern
Na	(st.)Nebraska (postnummar), sí eis.Nebr.
NAACP	(st. am.)National Association for the Advancement of Coloured People
Naafi	(st.)Navy, Army, Air Force Institutes(uml. hermannaheim)
nab1	non-alcohol beer
nab2	1Staka, nápa2Shandtaka
nabe	1(am.) grannalag, øki, ið liggur uttanum, her um vegir, námind, nánd2grannalagsbiografur3granni
nabob	1(gl.)ríkmaður (evropeariel.innføddur, ið ríkaði seg upp í India)2(gl.)ríkur livimaðurel.njótingarmaður3(sø.)varakongur, landshøvdingi
nacarat	bjartur appilsinreyður litur
nacelle	1maskingondol2(til luftskip) gondol
nacre	perlumóðir
nacreous	perlumóður-
nadir	1(stjfr.)anddepil, beint niður, nadir (á himmalkúluniel.himmalhválvinum, móts.zenit)2(fl.m.)lágmark, lægsta punkt
naff1	naff off!gakk við tær!; slepp tær burtur!, gakkel.far tín veg!
naff2	Savoldaður, farin av móta; ótíðarhóskandi; smakkleysur, flatur; ónýtiligur
NAFO	(st.)Northwest Atlantic Fisheries Organization fiskiveiðifelagsskapurin fyri útnyrðingspartin av Atlantshavi
NAFTA	(st.)1North American Free Trade Agreement2New Zealand and Australia Free Trade Agreement
nag1	1gamalt, slitið ross, avdeyðaross2(serst.um konufólk) plága, syndaplága, marra(t.d.hon er sum marran)
nag2	deilan, at deila, píning, at pína, plágan, at plága, prik, at prika, grenj, at grenja
nag3	1liggja eftir einum (í heilum), illkenna ein, illkennast (um eittel.inn á ein), ganga og prika, grenja, smádeilast2plága, ganga á (ein)(toum at) (t.d.she -ged him to get his hair cut)3[íyms. samb.]nag aboutgrenja um;nag atsí 1, 2;she -ged him into buying the househon gekk á hann, inntil hann at enda keypti húsini
nagger	kvendi, illkvendi, gívur
nagging1	1smádeila; at ganga og prika2plágan
nagging2	nívandi (t.d.nagging fear; nagging pain)
nagsman	[vandur rossamaður sum hevur sum starv at venja ross og vísa ross fram]
nah	Snei
naiad	(gudal.)naiada, vatndís, áardís
nail1	1naglur, negl2(dý.)klógv3(á snikkaravirki) seymur, nagli4(serst. átr.)naglur5[íyms. samb.]do one’s -s1klippa negl2smyrja neglalakk á, mála neglirnar;hit the nail on the headraka seymin á høvdið;that was a nail in his coffintað var ein nagli til líkkistu hansara;pay on the nailgjalda beinanvegin, gjalda í hondina;as hard as -s1harður sum steinurin, miskunnarleysur, grótharður2í óførari venjing;-s in mourningsvartar negl
nail2	1negla, soyma2naglreka3styrkja við jarni (naglum)4Staka, handtaka, avdúka (t.d.nail a lie)5(am.S)mogga6[íyms. samb.]nail a lieavdúka eina lygn7[ísamb. viðfs//hj]naildown 1negla fast (t.d.nail carpet)2(fl.m.)fáa endaliga skil á onkrum, staðfesta nágreiniliga (t.d.the reason; the weakness of the plan)3(um avtalu) fáa í lag;that contract will nail down their agreementsáttmálin fer at binda tey til avtaluna4(um fólk) fáa at halda orð, fáa at standa við (eitt);nail sby down to a promisefáa ein at halda orð;I cannot nail her down to a specific dateeg fái hana ikki at siga ein fastan dag;nailon tonegla fast á;nail one’s colourstothe maststanda fast upp á, ikki vilja slaka (gevast);nailupnaglreka; negla afturel.negla fyri
nail-biter	1ein ið bítur negl2ræðufilmur, spenningsfilmur, ræðusøga, spenningsbók(o.tíl.)
nail-biting	(fl.m.)sum fær ein at bíta negl, øgiliga spennandi
nail biting	at bíta negl
nail brush	naglabust,(tlm.)neglabust
nail file	naglafíl, neglafíl
nail gun	soymipistól, (tlm.) seymipistól
nail polish	naglalakk,(tlm.)neglalakk
nail puller	seymtogari
nail punch	kavnagli, dorur (hjá træsmiði)
nail scissors	naglasaksur,(tlm.)neglasaksur
nail set	sínailpunch
nail varnish	naglalakk,(tlm.)neglalakk;nail varnish removerneglalakkloysari
naïve,naive	góðvarin, góðtrúgvin, bláoygdur
naiveté	góðvarni, góðtrúni
