O.	(st.)1Officer2Order
o’	(st.)of
O1	1(bókstavurin) o2(tá ið tøl verða upplisin) null (t.d.1905: nineteen O five)
O2	(gl. el. skaldsk.)á!, eg meini tað!, eya meg!;O for…á, hevði eg bara…
O3	(st.) (am.)Ohio
O& M	(st.)organization andmethods
o/a	(st.)on account of
oaf	1býttlingur, tápulingur, neyt, lók, klombur (t.d.mind where you’re treading you clumsy oaf)2(gl.)býtisbarn
oafish	býttur, lókutur, lorkutur
oak	1(plfr.)eik, eikitræ, eikiviður(Quercus)2úthurð (til rúmini hjá studentum á studentabústaði);sport one’s oaksteingja úthurðina og soleiðis gera vart við, at ein vil ikki verða órógvaður
oak apple	(plfr.)gallepli, knútur eins og epli á bløðum(Diplolepis quercusfolii)
oak brush	eikikjarr
oaken	(skaldsk.)úr eikiviði, eiki-
oak fern	(plfr.)Western oak fern, common oak fern el. Northern oak ferntrífingraður eikikampur (Gymnocarpium dryopteris)
oak gall	gallepli
Oaks	kappríðing í Epsom
oakum	(sigl.)síggj, verk, upptrevjað tog(verk) at tetta notir við
oakum-picking	at rekja verk
oakwood	1eikiskógur2eikiviður
OAP	(st.)old-age pensioner; old-age pension
oar	1ár;(fl.m.) put/stick in one’s oarkoma sær uppí óbiðin, leggja seg uppí/útí óbiðin;-s out!(leggið) árarnar út!;-s ready!til reiðar at rógva!;toss -s!lyftið árarnar!;ship your -s!leggið árarnar inn!,(eis. fl.m.) rest/lie (up)on one’s -s (eis. fl.m.)liggja (og hvíla) fram á árarnar, hvíla seg2róðrarmaður, røðari
oarfish	(dý.)sildasterril, sildakongur(Regalecus glesne)
oarlock	(am.)tollur til leysár
oarsman	róðrarmaður, røðari
OAS	(st.)1Organization of American States2(sø.) Organization l’Armée Secrete(franski uppreistrarherurin í Algeria, sum ikki vildi lata sær lynda, at Algeria fekk frælsi)
oasis	1gróðrarblettur í oyðimørk, grøni, grøna, grønka, oasa2kærkomið fráber
oast	turkiovnur, turkihús (til humla)
oat	(plfr.)mathavri(Avena sativa)
oatcake	havrakeks
oaten	havra-, úr havra
oath	1eiður2illbøn, ókvæmisorð3[íyms. samb.]be on oath (løgfr.)vitnisábyrgd;on/under oatheiðbundin;put sby on oathlata ein svørja eið;take an oath/make oathgera eið, svørja eið
oath-bound	eiðsvorin, eiðbundin
oatmeal	1havramjøl, havragrýn2(am.)havragreytur
oatmeal porridge	havragreytur
oats	(plfr.)havri;feel one’s oats1(tlm.)vera í góðum lag; vera væl útborin, vera kátur2(am.)vera innbilskur;get one’s oatsSsleppa í song við gentu;be off one’s oats1kenna seg(el.vera) ússaligur; ongan matarlyst hava2(skemt.)ongan hug hava (at fríggja); (síwildoats)
OAU	(st.)Organization of African Unity
OB	(st.)1outside broadcast2(am. tlm.) obstetrician
