P1	(bókstavurin) p;mind one’s p’s and q’s,símind2
p2	(st.)1penny; pence2page
P& L1	(st.)profit and loss
p.a.	(st.)per annum um árið
PA1	(st.)1personal assistant2Press Association3public address (system);(t.d.the announcement was made on/over the PA (system)
Pa2	(st.)Pennsylvania (stakríki í USA)
pa3	(st.)pápi, babba, pappa
pabulum	1føðsla, føði, matur;mental pabulumandlig føði2(am.)møsn, tvætl, svass, tvass, fjas, blarv
PAC	(st.) (am.)Political Action Committee
pace1	1ferð, gongd (t.d.at(við).at a slow//quick pace; work at one’s own pace)2(serst.um fráleika) fet, fótafet (t.d.walk a few -s; two -s behind)3(hjá rossi) gongulag4[íyms. samb.]a change of pace1at økjael.lækka ferðina, ferðøking, ferðlækking2(am.)óvæntað broyting5[ísamb. viðs]forcethe paceseta ferðina upp, ganga skjótari;gatherpace1fáa ferð á2vaksa í hvørjum (t.d.the peace movement was -ing pace/momentum);hava framgongd, viðgangel.viðburð;go throughone’s -svísa, hvat dugur er í einum;keeppacewithganga eins skjótt og, ikki dragna afturúr;puthimthroughhis -slata hann sleppa at royna seg, lata hann sleppa at vísa, hvat dugur er í honum;set the pace1ráða (fyri)2skipa fyri, leggja fyri, purra upp undir, stuðla til;he can’tstandthe pacehann orkar ikki at fylgja við, hann dragnar afturúr
pace2	1(ótolin, óróligur) ganga aftur og fram í, ganga og vála aftur og fram í (t.d.the room, the platform)2(ítr.)renna, súkklael.ríða undan einum (fyri at fáa ferðina upp)3(um ross) skeiðganga4[íyms. samb.]pace oneselftaka sær av løttum, ikki leggja ov nógv fyri seg;pace off/out(mála) feta (av);pace up and downvála (ótolin) aftur og fram
PACE3	(st.)Police and Criminal Evidence Act
pace4	ikki fyri at siga nakað ringt um Smith
pacemaker	1(ítr.)forrennari, eggjari, undanrennari, ein ið rennur, súkklarel.ríður frammanfyri2(fl.m.)ein sum ræður fyri, ein sum erel.gongur á odda3(hjarta)kvikil,(tlm.)pacemakari, peysmeykari (tól ið stýrir hjartaslátti)
pacer	1(um ross) skeiðgangari2(ítr.)undanrennari, forrennari, undansúkklari, ein ið ríður undan (fyri at fáa ferðina upp)3(lækn.)kvikil
pacesetter	sípacemaker2
