S	1(st.)Saint2South3Southern4(um klædnastødd) lítil, smá, smátt5(am.;um meting)satisfactory
s1	1(um tíð)(st.)second(s)2(málfr.) singular3(løgfr.) section4(gl.) shilling(s)
S2	(bókstavurin)s
SA	1(st.)Salvation Army2South Africa3South America4South Australia5sex appeal
Sabaoth	(sern.)Zebaot;the Lord of Sabaothherskaranna Guð (Sl. 46, 12)
sabbatarian1	ein ið heldur hvíludagssiðin
sabbatarian2	hvíludags-, hvíludegnum viðvíkjandi
Sabbath	hvíludagur, sabbátur, sabbát
Sabbath candle	sabbátsljós
Sabbath day	sabbátsdagur
Sabbath eve	sabbátsaftan
Sabbath law	sabbátslóg
Sabbath rest	sabbátshvíld
sabbatical1	sísabbaticalterm, sabbatical year
sabbatical2	sum hoyrir upp í hvíludagin, hvíludegnum viðvíkjandi; (sí eis.sabbatical term, sabbatical year)
sabbatical term	fríhálva (lærari, sum er ikki bundið at undirvísing í eina lestrarhálvu)
sabbatical year	sabbátsár, hvíldarár
saber	sápil (eineggjað svørð); sísabre
Sabine	(dý.)-’s gull ternumási(Larus sabini)
sable1	1(dý.)sopla(Martes zibellina)2sopluskinn, soplufeldur
sable2	(skjald., skaldsk.)døkkur, svartur
sable antelope	(dý.)svørðantilopa(Hippotragus niger)
sabot	tufla
sabotage	sabotasja
saboteur	sabotørur
sabra	innføddur ísraeli
sabre1	sápil, reiðmanssvørð (eineggjað krók-/bogsvørð)
sabre2	høgga niður
sabre bill	spógvi (fuglur avNumeniusættini)
sabre knot	(prýði)sábil- el. sápilskúgvur, svørðskúgvur
sabre rattling	(eis. flm.) svørðglintan, svørðglamran(t.d.at hótta við hernaðartiløkum)
sabre-rattling	sápilglintandi, sábilglintandi, svørðglamrandi
sabretache	(hjá reiðhermanni) svørðtaska
sabre-toothed	svørðtentur;sabre-toothed tigersvørðtikari (teir doyðu út í ísøldini)
sabulous	1sandutur2sum grør í sandi
sac	sekkur
saccade	harðligt rykk í teymarnar
saccate	(plfr.)sekkjarvaksin
saccharin	sukurlíki, sakkarin
saccharine	1sukurkendur, sum líkist sukri2(fl.m.)(smikur)søtur, sukursøtur, vamlisligur
saccule	lítil sekkurel.posi
sacerdotal	prestaligur
sacerdotalism	prestaskapur, prestaveldi
SACEUR	Supreme Allied Commander Europe
sachem	1høvdingi (í indiánaættflokki)2(am. stjm., tlm.)stjóri
sachet	lítil, afturlatin posi viðt.d.sukri, sósel.ketsjupp; lítil posi við luktilsi (at leggja millum klæðir); bræv
sack1	1sekkur2(am.)posi3(serst. sø.)rán, ræning (at ræna bý)4[íyms. samb.]the sack1(um fríggj) fara í song við (t.d.get her in the sack)2(um starvsfólk) uppsøgn, at verða koyrdur, at vera uppsagdur,(tlm.)at fáa sekkin;give sby the sack (tlm.)koyra ein, geva einum sekkin;get the sack (tlm.)verða koyrdur, fáa sekkin;hit the sackfara í song, fara at leggja seg, fara niður
sack2	1(um starvsfólk) koyra, siga upp, geva sekkin2(um bý;serst. sø.)ræna3[íyms. samb.]sack out (am., tlm.)1fara at leggja seg2sovna
sackcloth	posalørift, sekkjalørift;in sackcloth and ashesí sekki/posa og øsku
sackful	upp í sekkel.posa av onkrum, fullur sekkur/posi
sacking	1sekkjalørift, posalørift2uppsøgn
sackless	1(gl. el.skotskt) sakleysur, ósekur2meinaleysur, óskaðiligur, góðvarin, fittur3spakur
sack race	posarenning
sack time	Ssongartíð, niðurfaringartíð, leggingartíð
SACLANT	Supreme Allied Commander Atlantic
sacque	1posakjóli2víður jakki3pinkubarnatroyggja
sacralize	(serst. am.)halgigera, fara við sum um tað er heilagt
sacrament	sakrament
sacramental	sakraments-, sakramenti viðvíkjandi
SacramentSunday	altargangsdagur, altargangssunnudagur
sacred	1vígdur; heilagur, halgur2(fl.m. eis.)friðhalgaður3[íyms. samb.]sacred to1vígdurel.halgaður einum, verða ognað//ur (einum//eini) (t.d.the site is sacred to Apollo)2heilagur, halgur (t.d.cows are sacred to Hindus); nothing is sacred to himeinki er honum heilagt
sacred beetle	(dý.) skarabe (klukkuslag)(Scarabaeidae)
Sacred College	the Sacred College(sum bólkur) allir kardinalarnir í rómversk-katólsku kirkjuni
sacred concert	kirkjukonsert
sacred cow	heilag kúgv
sacred history	kirkjusøga, bíbliusøga
sacred literature	kristiligar bókmentir, átrúnaðarbókmentir
sacred malady	the sacred maladyniðurfalssótt, epilepsi
sacred music	kirkjutónleikur
sacredsongs	andligir songir/sangir
Sacred Writ	heilaga skriftin, Halgabók, Bíblian
sacrifice1	1offur; ofring2(gerðin) ofring3(fl.m.)offur; uppofran4(kortsp.)offurmeld, offurmelding5[íyms. samb.]make -s to obtain one’s endkosta nógv/ofra nógv upp á eitt fyri at røkka tí máli, ein hevur sett sær;sell at a sacrificehava hall í sambandi við sølu
sacrifice2	(átr. el. fl.m.)ofra;sacrifice oneself to sthofra seg fyri okkurt;sacrifice to idolsofra til skurðgudar
sacrifice bid	(kortsp.) offurmeld, offurmelding
sacrificial	offur-
sacrificial lamb	offurlamb
sacrilege	vanhalgan, halgibrot
sacrilegious	gudleysur, ógudiligur
sacring	(gl.)vígsla
sacring bell	(átr.)messuklokka
sacristan	kirkjutænari, deknur
sacristy	skrúðrúm
sacroiliac	(likam.)[sambandið millum breiðageisla og mjødnina (sum samsvarar við mjadnarbeinið)]
sacrosanct	heilagur, halgur; friðhalgaður
sacrum	1halgilutur, heilagt stað2sacra(flt) halgisiðir3(likam, dý.) breiðageisli (os sacrum)
sad	1(um fólk) hugtungur, harmur, syrgin, sorgarbundin, ringur, óglaður, dapur, illa hýrdur2(um søgu, hendingo.tíl.)syrgiligur, syndarligur, dapur (t.d.story//news; the sad truth)3(um breyð) kleiggin, kleiggjutur4(tlm.)ræðuligur (t.d.sad coward);syrgiligur, syndarligur, grøtiligur (t.d.they are a sad lot)5[íyms. samb.]I’m sad that//toeg eri keddur, at; tað harmar meg, at;it’s sad that//totað er spell at; tað er harmiligt/keðiligt, at;sad to saytíverri
sad apple	(am.)Sturkatræ, deyda
sadden	gera syrgnan, harmanel.ringan; verða keddur, syrginel.harmur
saddened	harmur, sorgarfullur, stúrin, sorgarbundin, syrgin, hugtungur, keddur;I was saddened to hear about his deathtað tók/neit mær fast, tá ið eg hoyrdi, at hann var farin;deeply saddened byvera illa við av
saddle1	1saðil2(í landslagi) hálsur3(tøkn.á dreyibeinki) sleta4(um kjøt ísms.)-ryggur;saddle of muttonlambsryggur, seyðahárógva;saddle of vealkálvsryggur;saddle of venisonhjartarryggur, rádýrahárógva
saddle2	1saðla2[íyms. samb.]saddle upsaðla, leggja saðil á;saddle withvera tyngdur av, vera ónáðaður
saddleback	1saðildánaður fjallaryggur2sneitt tak, skrátt tak, saðiltak
saddlebacked	(um ross) saðilboygdur, saðilbogin, (um fólk) saðilbogin, lendafattur
saddlebag	1saðiltaska2[slag av møplaplússi]
saddlebow	saðilbogi
saddlecloth	saðilklæði
saddle horse	ríðingarross, reiðrarross
saddle nose	saðiltrantur
saddle quern	(sø.)hvøtja
saddler	saðilsmiður
saddlery	1verkstaður hjá saðilsmiði2saðilgerð, amboð hjá saðilsmiði
saddleshoe	tvílittur skógvur
saddletree	saðilvirki (bogað saðilgrind)
Sadducean	saddukeiskur
Sadducee	(bíbl.)saddukei, saddukeari
sadhu	(indiskt) [heilagur maður; vísmaður; sjálvagari]
Sadie	[gentunavn, navnasnið av Sarah, (Sáru)]
sadism	sadisma (kynsligt frávik, ið hevur við sær, at fólk verður kynsliga uppøstel.fær kynsligan fulnað av at pína og eyðmýkja annað fólk og síggja tað líða)
sadist	sadistur (fólk, ið verður kynsliga uppøst//fær kynsligan fulnað av at pína og eyðmýkja onnur)
sadistic	sadistiskur
sadly	1harmiliga, syrgiliga (t.d.smile sadlyvið einum syrgnum brosi);dapurt2(sum setningshjáorð) tíverri (t.d.sadly,she died in the spring)3(fyri at geva áherðslu) í ólukkumáta (t.d.sadly neglected);syrgiliga (t.d.disappointed)4[íyms. samb.]you are sadly mistakenhar fert tú skeivur í ólukkumáta;sadly missednógv saknaður
sadness	(tlm.)sorg (t.d.it was with great sadness that we heard..);sút, harmur, sorg, tregi, gremjing, dapurleiki, ógleði, gleðiloysi
sadomasochism	sadomasokisma /-ki-/ (kynsligt frávik, ið hevur við sær, at fólk fær kynsliga øsingel.fulnað við at pínael.eyðmýkja ella sjálvt við at verða pínt;eis.um kynslig sambond, har sum annar pínir, eyðmýkirel.revsar, og hin verður píndur, eyðmýkturel.revsaður)
sadomasochist	sadomasokistur /-ki-/; sísado-masochism
sadomasochistic	sadomasokistiskur /-ki-/; sísado-masochism
sadsack	(serst, am. tlm.)funs, dólgur, klombur, buffil
sae,SAE	(st.)stamped and addressed envelope
safari	veiðiferð (at skjóta stór dýr, nú fyri at taka myndir), safari
safari jacket	safarijakki (síður jakki við reim)
safari park	dýrapark, (stórt ónomið) friðað øki
safarisuit	safaribúni
safe1	1pengaskáp, pengaboks (sí eis.meat safe)2(am.)hít
