T1	
T2	(bókstavurin) t
T3	(tlm.)nærkvæmsliga, fullkomiliga, frálíkt, óført (t.d.it suits me to a T)
ta	(tlm.)takk!
Taal	(gl., SuA.) the Taal Afrikaans(hollendskt málføri í Høvdalandi í Suðurafrika)
tab	1(á klæðum) stroppur, honk, lykkja2(við upplýsingum) spjaldur, skelti;(serst.á plaggi) merkiseðil; (á seðli í kortsavni) skiljiblað, oyra (snippur ið stendur upp úr seðli)3(tlm.)tablett;Snarkotikatablett, lsd-tablett4(am.;á blikkdós) ringur (at lata upp við)5(serst. am. tlm.)rokning;pick up the tabgjalda rokningina6(am. tlm.:um blað)tabloid7(stb.)sigarett8(flogm.)eykaróður á veli og veingjum9(herm.)tignarmerki á kraga, kragatignarmerki (hjá yvirmonnum í heryvirleiðsluni);(eis.)yvirmaður í heryvirleiðsluni10(teld.)spjaldur (á knappaborði) teigari, tabulatorur11flippur, snippur, tunga12(á endanum á skólissu) hólkur13[íyms. samb.]keep -s/a tab onhava eyguni eftir, ansa eftir, geva væl gætur, gæta, vita skil á;once they get tab on you(ansa tær) teir eyguni eftir tær
tabard	(sø.)skikkja (við skjaldarmerki) ið riddarar bóru uttan á herklæðum
Tabasco sauce	(uml.) paprikasós
tabby1	1stríput ketta/løða2(gl.)gomul genta; sleygivætti3silkiplagg við áprentaðum mynstrum, moiré
tabby2	gera aldumynstur (pressa plagg millum mynstraðar valsar, soleiðis at tað fær aldumynstur)
tabby3	1stríputur2(gl.)(klæði, plagg) við alduskapaðum mynstrum við skiftandi litspæli
tabcontrol,tab control	(teld) teigarastýring
tabernacle	1tjaldtempul (hjá ísraelsmonnum í fornøld)2(byggl.)útskot, útvik, innvik3(sigl.)stangarspor
tabes	(lækn.)teringur, svinn, mønuhjánan
tabescent	sum hjánarel.trænar burtur
tabetic	sum hevur mønuhjánan, mønuhjánaður
tab key	teigaraknappur
table1	1borð2(serst.at skriva á) talva; pláta3(listio.tíl.)skrá, yvirlit, stílur4(serst. stfr.)tabell (t.d.the five times tablefimmtabellin)5(landafr.)háslætti6(teld.)talva7[íyms. samb.]attabletil borðs, sita til borðs;clearthe tabletaka av borðinum;laythe tableborðreiða,(tlm.)dekka borð;leavethe tablefara frá borði;setthe tablebera inn á borðið;tableofcontentsinnihaldsyvirlit, evnisinnihald, stílur;layonthe tableseta fram (t.d.table a motionuppskot);(am.)leggja til viks,Ssúlta;turnthe -s on sbyvenda leikinum (stríðnumel.viðurskiftunum) ímóti einum, so ein sjálvur fær fyrimun; fáa høvdið fyri seg;the -s are turnednú er viðvent(el.umvent) í holuni
table2	1leggja eitt á borðið, seta fram(t.d.lógaruppskot); gera (lista)2(am.)leggja til viks, leggja burtur(t.d.lógaruppskot), freista, útseta;Ssúlta
tableau	(sjónl.)kyrrleikmynd, still leikmynd
tableau curtain	(sjónl.)millumteppi
table base	grundvatnsmáli, grunnvatnstøða (hæddin á grundvatni tá ið hon verður máld)
table board	(am.) kostarhald (ikki vistarhald)
