v1	(st.)1verb2verse3versus4victory5vide6viscount7volume
V2	(bókstavur) v
V3	(st.)volt
VA	(st.)1(Royal Order of) Victoria and Albert2vice-admiralvaraflotaharri, varaadmiralur
Va.	(st.)Virginia (stakríki í USA)
vac	1(st., tlm.) vacation(summar)frítíð2(st., tlm.) vacuum cleanerdustsúgvari,(tlm.)støvsúgvari
vacancy	1tómleiki2tómt rúm, tómi3(viðv.starvi) leystel.falt starv4(á gistingarhúsio.tíl.)rúm til leigu, leyst rúm5(fl.m.)innantómleiki, andloysi, at vera býttur;stare into vacancystara út í tóman heim, sita og gánael.gena /ge:na/
vacant	1tómur (t.d.vacant space)2leysur, falur (t.d.vacant position, vacant room)3(um starv) ósettur, leysur4(fl.m.)innantómur, fávitskutur (t.d.vacant expression),tómligur, fjarur(t.d.fjart eygnabragd)5(niðr.)einkisligur, innihaldsleysur, andleysur, turrgeldur
vacant possession	(løgfr.)[eitt, sum kann fáastel.sum ber til at taka við straks(t.d.hús, íbúð)]
vacate	1rýma úr, flyta úr (t.d.vacate a flat);(um starv) fara úr2(løgfr.)taka av, strika, ónýta
vacation1	1frítíð2(smb.vacate)fráflyting, burturflyting; (starvio.tíl.)fráfaring, at fara úr starvi
vacation2	(am.)haldael.hava frí
vacationer	(am.)fólk ið heldurel.hevur frí
vaccinate	koppa, koppseta
vaccination	kopping, koppseting
vaccinator	fólk ið koppsetur, koppsetari
vaccine	koppingarevni, koppingarvágur, vaksina
vacillate	draga á bæði, ivast, himprast, drála, mala á hælinum, vera støðuleysur, vera óstøðugur (t.d.his tendency to vacillate makes him a poor leader)
vacillation	støðuloysi, at vera óstøðugur, at ivast, at standa og himprast, vingl, himpr, at mala á hælinum, at draga á bæði
vacuity	1tómleiki; tómi2tómtel.falt rúm3(fl.m.)tómi; at vera fávitskuturel.heilatómur;vacuities fltinnantóm orð
vacuole	1(lívfr.)kyknubløðra, vakuola2(plfr.)sevjurúm
vacuous	innantómur, einkisligur
vacuum1	tómi, lufttómt rúm, vakuum;(tlm.)dustsúgvari
vacuum2	dustsúgva,(tlm.)støvsúgva, støvsuka
vacuum3	tóm-, tóma-
vacuum bottle	varmafløska, hitafløska, termofløska
vacuum brake	tómabremsa, vakuumbremsa
vacuum-clean	dustsúgva
vacuum cleaner	dustsúgvari, støvsúgvari
vacuum flask	varmafløska, termofløska
vacuum gauge	(tøkn.)tómamát
vacuum jug	varmakanna, termokanna
vacuum packed	vakuumpakkaður
vacuum pump	(tøkn.)tómapumpa, vakuumpumpa
vacuum tube	(tøkn.)tómarør, vakuumrør
vade mecum	lummabók, handbók
vagabond1	landastrok, farumkring, flakkari
vagabond2	sum flakkar, valtrarel.reikar, flakkandi, valtrandi, reikandi
vagabondage	flakkan, valtran, strok;(løgfr.)umrenning
vagaries	lúnur(flt),ríggjur(flt);eitt, ið skjýtst/stingst upp á ein (t.d.the vagaries of nature)
vagina	(likam.)skeið, móðurskeið
vaginal	skeiðar-, móðurskeiðar-, skap-
vagrancy	1flakkan, valtran, strok2(løgfr.)umrenning
vagrant1	1flakkari, landastrok, farumkring2(løgfr.)umrenningur
vagrant2	sum flakkarel.reikar, valtrandi, flakkandi, sum ferðast, ferðandi
vague	1(um fólk) veikur, óvissur, óneyvur, óklárur, gjánkaligur, ógreiður, lítið ítøkiligur, lítið ígrípiligur2(um orðing, kenslur, minni) kámur, veikur, óklárur, óítøkiligur, ógreiður;vague longingóítøkiligur longsil/tráan//saknur;vague promiselova eitt so gjánkaliga;vague explanationgjánkalig frágreiðing;I have a vague memory of iteg ørminnist um tað, eg hómi tað, eg minnist tað kámt;the minister made a vague statementráðharrin segði einki ítøkiligt3(um umhvarv, fjallagrein, døkka, gráa) kámur, óskilligur;vague outlineskámt umhvarv
vain	1(um framsøgn/útsøgn) tómur, einkisverdur, innantómur (t.d.boast; promise; threat)2(gl.)fáfongdur3nyttuleysur, fánýtur, sum er til onga nyttu, sum er til fánýtis;in vaintil einkis, til fánýtis, til onga nyttu;take his name in vainnýta navn hansara í gáloysi4hástórur, reypandi, pretin;vain oferpin av, errin av
vainglorious	sum heldur nógv um seg sjálvan, gabbutur, fáfongdur, erpin, sjálvglaður, tilgjørdur, uppgjørdur, uppblástur
vainglory	reyp, gabb, breggj, fáfongd, sjálvgleði
vainqueur1	1sigrari, sigurvegari, sigurvinnari, sigurharri (tlm.)2vinnari
vainqueur2	bert í kallkyn1sigrandi, vinnandi2sigursælurViðm.í kvennkyni verður brúkt victorieuse: le j
valance	1(gardinu)kappi, slættur gardinukappi (úr viði)2ryktur bordi, fles (á hillo.tíl.)3tjald, umhang(t.d.á toilettborði)
vale1	(skaldsk.)dalur;vale of woeneyðardalur
vale2	(lat.)farvæl
valediction	1(forml.)at siga farvæl(serst.ísamb.við hátíðarliga fráfaring) (t.d.he lifted his hand and spread his palm in valediction)2(forml.)skilnaðarrøða; skilnaðarkvøða (t.d.his official memorial valediction)
valedictorian	(am.) næmingurel.studentur sum næminganna vegna heldur røðu á fráfaringarhátíðini
