w.	(st.)1weight2with
W1	(bókstavurin) w
W2	(st.)1Watt(s)2Wednesday3West4Western
WA	(st.)Western Australia
WAAC	(st.)Women’s Army Auxiliary Corps; (nú:WRAC); a Waac[wœk] limur íWAAC
WAAF	(st.)Women’s Auxiliary Air Force (nú:WRAF)
WAC	(st.) (am.)Women’s Army Corps; a Wac [wœk] limur íWAC
wacco	síwacko
wack	1Sserlingur, serskøltur, serur knokkur, løgin stavnur, ein sum er ikki sum hini2(stb.)vinmaður, kammirátur, (arbeiðs)felagi3(am.) ørvitisknokkur
wacko1	síwack1
wacko2	síwacky
wacky	Sóður í høvdinum, løgin, klikkaður, ikki rættsiktaður, tollutur
wad1	1tógvi, digla (ullar-el.bummullar-)2pláta (av ífyllutilfari,t.d.vatti)3(tøtt) rulla (av pappíri), pengabundi, bundi av pengaseðlum4(í høglpatrón) tettingarflís;(sø.)forløðing (í framløddari byrsu)
wad2	1stappa, proppa, trýsta, kúgva; kroystael.fergja saman2(um pappír) rulla saman3tippa4vatta, fóðra, polstra (við vatti)
wadable	sum er so grunnur at vaðandiel.vassandi er um
wadding	1vattfóður2plátuvatt3(gl. herm)framløðing
waddle1	vaggandi (stólpandiel.stetlandi) gongulag
waddle2	vagga, stólpa, stetla
waddy	(avstr.)lurkur, gassi
wade1	at vassael.vaða, vassan, vaðan
wade2	1vaða, vassa; vassa (tvørtur) um2(fl.m.)stríðael.knossa seg ígjøgnum eitt3[íyms. samb.]wade in (fl.m.)leggja uppí;wade into (tlm.)fara ágrýtin undir eitt (t.d.she waded into the job);leggja eftir einum (t.d.I must have offended her somehow, because she really waded into me); wade through1vassael.vaða íghøgnum (t.d.muddy water)2stríða seg ígjøgnum (t.d.a lot of data)
wader	1vaðfuglur2-s fltvaðbrøkur(t.e.stivlar og brøkur í einum), stivlabuksur
waders	vaðbuksur, stivlabuksur
wadi	(í Arábia, Norðurafrika og øðrum oyðimørkum) [áarfar har vatn bara rennur í regntíðini]
wading	(am.)at vassa, at vaða, vassan, vaðan
wading bird	(am.)vaðfuglur
wading pool	(am.)spælihylur, smábarnahylur, grunnur hylur
